,status,reference,instansi
95,no,badan keamanan rakyat,badan keamanan laut bakamla
96,yes,bkkbn,badan kependudukan dan keluarga berencana nasional bkkbn
97,yes,bkkbn provinsi sulawesi utara,badan kependudukan dan keluarga berencana nasional bkkbn
98,no,bank bri kantor cabang bkkbn,badan kependudukan dan keluarga berencana nasional bkkbn
99,no,keluarga berencana,badan kependudukan dan keluarga berencana nasional bkkbn
100,yes,kementerian investasi bkpm,badan koordinasi penanaman modal bkpm
101,yes,kementerian investasi,badan koordinasi penanaman modal bkpm
102,no,bbkpm surakarta,badan koordinasi penanaman modal bkpm
103,no,dinas penanaman modal dan pelayanan terpadu satu pintu,badan koordinasi penanaman modal bkpm
104,yes,badan meteorologi klimatologi dan geofisika,badan meteorologi klimatologi dan geofisika bmkg
105,yes,bmkg papua,badan meteorologi klimatologi dan geofisika bmkg
106,no,departemen teknik geofisika,badan meteorologi klimatologi dan geofisika bmkg
107,no,departemen geofisika  meteorologi,badan meteorologi klimatologi dan geofisika bmkg
108,yes,bnn kota bengkulu,badan narkotika nasional bnn
109,yes,badan narkotika nasional provinsi jawa barat,badan narkotika nasional bnn
110,no,badan search and rescue nasional,badan narkotika nasional bnn
111,no,badan nasional sertifikasi profesi,badan narkotika nasional bnn
112,yes,bnpb provinsi jawa barat,badan nasional penanggulangan bencana bnpb
113,yes,badan nasional penanggulangan bencana provinsi jawa barat,badan nasional penanggulangan bencana bnpb
114,no,badan penanggulangan bencana daerah,badan nasional penanggulangan bencana bnpb
115,no,badan penanggulangan bencana daerah kabupaten pacitan,badan nasional penanggulangan bencana bnpb
116,yes,bp2mi,badan pelindungan pekerja migran indonesia
117,yes,bp2mi jawa barat,badan pelindungan pekerja migran indonesia
118,no,purna pekerja migran indonesia,badan pelindungan pekerja migran indonesia
119,no,pekerja migran indonesia,badan pelindungan pekerja migran indonesia
120,yes,bpom kabupaten bogor,badan pengawas obat dan makanan bpom
121,yes,badan pom,badan pengawas obat dan makanan bpom
122,no,toko obat inafut 1,badan pengawas obat dan makanan bpom
123,no,badan pengawasan keuangan dan pembangunan,badan pengawas obat dan makanan bpom
124,yes,bpkp,badan pengawasan keuangan dan pembangunan bpkp
125,yes,perwakilan bpkp provinsi sulawesi barat,badan pengawasan keuangan dan pembangunan bpkp
126,no,badan pengelola keuangan haji bpkh,badan pengawasan keuangan dan pembangunan bpkp
127,no,badan pengawasan mahkamah agung,badan pengawasan keuangan dan pembangunan bpkp
128,yes,bppt,badan pengkajian dan penerapan teknologi bppt
129,yes,perwakilan bppt,badan pengkajian dan penerapan teknologi bppt
130,no,kementerian pendidikan kebudayaan riset dan teknologi,badan pengkajian dan penerapan teknologi bppt
131,no,badan pengkajian kebijakan iklim dan mutu industri,badan pengkajian dan penerapan teknologi bppt
132,yes,bssn,badan siber dan sandi negara bssn
133,yes,badan siber dan sandi negara,badan siber dan sandi negara bssn
134,no,pt beritakota media siber beritakotaid,badan siber dan sandi negara bssn
135,no,universitas siber asia,badan siber dan sandi negara bssn
136,yes,badan standardisasi nasional,badan standardisasi nasional bsn
137,yes,bsn,badan standardisasi nasional bsn
138,no,standard chartered indonesia,badan standardisasi nasional bsn
139,no,badan search and rescue nasional basarnas,badan standardisasi nasional bsn
140,yes,badan tenaga nuklir nasional,badan tenaga nuklir nasional batan
141,yes,batan,badan tenaga nuklir nasional batan
142,no,badan pengawas tenaga nuklir,badan tenaga nuklir nasional batan
143,no,badan standardisasi nasional bsn,badan tenaga nuklir nasional batan
144,yes,dewan ketahanan nasional,dewan ketahanan nasional wantannas
145,yes,wantannas,dewan ketahanan nasional wantannas
146,no,lembaga ketahanan nasional lemhannas,dewan ketahanan nasional wantannas
147,no,dewan nasional perubahan iklim,dewan ketahanan nasional wantannas
148,yes,kejaksaan negeri kota kediri,kejaksaan republik indonesia
149,yes,kejaksaaan tinggi provinsi jawa tengah,kejaksaan republik indonesia
150,no,komisi kejaksaan republik indonesia,kejaksaan republik indonesia
151,no,kepolisian negara republik indonesia resor kota pontianak,kejaksaan republik indonesia
152,yes,kepolisian negara republik indonesia resor kota pontianak,kepolisian negara republik indonesia
153,yes,kepolisian daerah provinsi di yogyakarta,kepolisian negara republik indonesia
154,no,perum percetakan negara republik indonesia pnri,kepolisian negara republik indonesia
155,no,ombudsman republik indonesia,kepolisian negara republik indonesia
156,yes,kpu kabupaten memberamo raya,komisi pemilihan umum kpu
157,yes,komisi pemilihan umum kabupaten fakfak,komisi pemilihan umum kpu
158,no,kpu bc tipe c soekarno hatta,komisi pemilihan umum kpu
159,no,kpu bc tipe b batam,komisi pemilihan umum kpu
160,yes,komisi pengawas persaingan usaha ri,komisi pengawas persaingan usaha kppu
161,yes,kppu ri,komisi pengawas persaingan usaha kppu
162,no,pelaku usaha di surabaya,komisi pengawas persaingan usaha kppu
163,no,komisi pengawas advokat,komisi pengawas persaingan usaha kppu
164,yes,lembaga ilmu pengetahuan indonesia,lembaga ilmu pengetahuan indonesia lipi
165,yes,perwakilan lembaga ilmu pengetahuan indonesia,lembaga ilmu pengetahuan indonesia lipi
166,no,lembaga pembiayaan ekspor indonesia,lembaga ilmu pengetahuan indonesia lipi
167,no,akademi ilmu pengetahuan indonesia,lembaga ilmu pengetahuan indonesia lipi
168,yes,lembaga kebijakan pengadaan barang jasa pemerintah,lembaga kebijakan pengadaan barang jasa pemerintah lkpp
169,yes,lkpp ri,lembaga kebijakan pengadaan barang jasa pemerintah lkpp
170,no,pt jasa raharja persero,lembaga kebijakan pengadaan barang jasa pemerintah lkpp
171,no,lembaga sertifikasi profesi pengadaan indonesia,lembaga kebijakan pengadaan barang jasa pemerintah lkpp
172,yes,lembaga ketahanan nasional,lembaga ketahanan nasional lemhanas
173,yes,lemhannas ri,lembaga ketahanan nasional lemhanas
174,no,dewan ketahanan nasional wantannas,lembaga ketahanan nasional lemhanas
175,no,lembaga penerbangan dan antariksa nasional lapan,lembaga ketahanan nasional lemhanas
176,yes,lembaga penerbangan dan antariksa nasional,lembaga penerbangan dan antariksa nasional lapan
177,yes,lapan,lembaga penerbangan dan antariksa nasional lapan
178,no,perum lembaga penyelenggara pelayanan navigasi penerbangan indonesia lppnpi,lembaga penerbangan dan antariksa nasional lapan
179,no,lembaga ketahanan nasional lemhanas,lembaga penerbangan dan antariksa nasional lapan
180,yes,ombudsman republik indonesia,ombudsman republik indonesia ori
181,yes,ombudsman ri,ombudsman republik indonesia ori
182,no,perpustakaan nasional republik indonesia,ombudsman republik indonesia ori
183,no,ombudsman malaysia,ombudsman republik indonesia ori
184,yes,pusat pelaporan dan analisis transaksi keuangan,pusat pelaporan dan analisis transaksi keuangan ppatk
185,yes,ppatk,pusat pelaporan dan analisis transaksi keuangan ppatk
186,no,pusat analisis dan harmonisasi kebijakan,pusat pelaporan dan analisis transaksi keuangan ppatk
187,no,pusat pelaporan dan pembinaan keuangan kemhan ri,pusat pelaporan dan analisis transaksi keuangan ppatk
188,yes,sekretariat kabinet republik indonesia,sekretariat kabinet
189,yes,setkab,sekretariat kabinet
190,no,sekretariat daerah kabupaten klaten,sekretariat kabinet
191,no,sekretariat direktorat jenderal pajak,sekretariat kabinet
192,yes,anri,arsip nasional republik indonesia anri
193,yes,arsip nasional ri,arsip nasional republik indonesia anri
194,no,perpustakaan nasional republik indonesia,arsip nasional republik indonesia anri
195,no,dinas arsip dan perpustakaan,arsip nasional republik indonesia anri
196,yes,tni angkatan udara,tentara nasional indonesia tni
197,yes,inspektorat jenderal tni,tentara nasional indonesia tni
198,no,pt pelayaran nasional indonesia persero pelni,tentara nasional indonesia tni
199,no,komite olahraga nasional indonesia,tentara nasional indonesia tni
200,yes,kasn ri,komisi aparatur sipil negara kasn
201,yes,komisi aparatur sipil negara ri,komisi aparatur sipil negara kasn
202,no,kementerian pendayagunaan aparatur negara dan reformasi birokrasi kem panrb,komisi aparatur sipil negara kasn
203,no,deputi bidang kebijakan pengembangan kompetensi aparatur sipil negara,komisi aparatur sipil negara kasn
204,yes,bnsp republik indonesia,badan nasional sertifikasi profesi bnsp
205,yes,badan nasional sertifikasi profesi republik indonesia,badan nasional sertifikasi profesi bnsp
206,no,badan nasional penanggulangan bencana bnpb,badan nasional sertifikasi profesi bnsp
207,no,badan nasional penempatan dan perlindungan tenaga kerja indonesia bnp2tki,badan nasional sertifikasi profesi bnsp
208,yes,badan pengatur hilir minyak dan gas bumi,badan pengatur hilir minyak dan gas bumi bph migas
209,yes,bph migas,badan pengatur hilir minyak dan gas bumi bph migas
210,no,skk migas,badan pengatur hilir minyak dan gas bumi bph migas
211,no,satuan kerja khusus pelaksana kegiatan usaha hulu minyak dan gas bumi,badan pengatur hilir minyak dan gas bumi bph migas
212,yes,dewan pertimbangan presiden republik indonesia,dewan pertimbangan presiden wantimpres
213,yes,wantimpres ri,dewan pertimbangan presiden wantimpres
214,no,dewan perwakilan rakyat,dewan pertimbangan presiden wantimpres
215,no,dewan presiden subang national golf club,dewan pertimbangan presiden wantimpres
216,yes,lembaga pembiayaan ekspor,lembaga pembiayaan ekspor indonesia
217,no,lembaga pembiayaan,lembaga pembiayaan ekspor indonesia
218,yes,lpei,lembaga pembiayaan ekspor indonesia
219,yes,indonesia eximbank,lembaga pembiayaan ekspor indonesia
220,no,lembaga pembiayaan indonesia,lembaga pembiayaan ekspor indonesia
221,no,kantor staf,kantor staf presiden
222,no,kantor presiden,kantor staf presiden
223,yes,kantor staf presiden,kantor staf presiden
224,yes,badan penyelenggara jaminan sosial kesehatan,badan penyelenggara jaminan sosial kesehatan bpjs kesehatan
225,yes,bpjs kesehatan,badan penyelenggara jaminan sosial kesehatan bpjs kesehatan
226,no,bpjs,badan penyelenggara jaminan sosial kesehatan bpjs kesehatan
227,no,badan penyelenggara jaminan sosial,badan penyelenggara jaminan sosial kesehatan bpjs kesehatan
228,yes,badan penyelenggara jaminan sosial ketenagakerjaan,badan penyelenggara jaminan sosial ketenagakerjaan bpjamsostek
229,yes,bpjamsostek,badan penyelenggara jaminan sosial ketenagakerjaan bpjamsostek
230,yes,bpjs ketenagakerjaan,badan penyelenggara jaminan sosial ketenagakerjaan bpjamsostek
231,no,bpjs,badan penyelenggara jaminan sosial ketenagakerjaan bpjamsostek
232,no,badan penyelenggara jaminan sosial,badan penyelenggara jaminan sosial ketenagakerjaan bpjamsostek
233,yes,bank indonesia bi,bank indonesia bi
234,yes,bi,bank indonesia bi
235,no,bank internasional indonesia,bank indonesia bi
236,yes,bnpp,badan nasional pengelola perbatasan
237,no,badan nasional,badan nasional pengelola perbatasan
238,no,badan nasional pengelola,badan nasional pengelola perbatasan
239,yes,badan pembinaan ideologi,badan pembinaan ideologi pancasila
240,yes,bpip,badan pembinaan ideologi pancasila
241,no,badan pembinaan,badan pembinaan ideologi pancasila
242,yes,radio republik indonesia,lembaga penyiaran publik radio republik indonesia
243,yes,rri,lembaga penyiaran publik radio republik indonesia
244,no,lembaga penyiaran publik,lembaga penyiaran publik radio republik indonesia
245,yes,djsn,dewan jaminan sosial nasional
246,yes,dewan jaminan sosial,dewan jaminan sosial nasional
247,no,dewan,dewan jaminan sosial nasional
248,yes,pemkab kepulauan seribu,pemerintah kabupaten kepulauan seribu
249,yes,pemerintah kab kepulauan seribu,pemerintah kabupaten kepulauan seribu
250,no,pemerintah kabupaten kepulauan yapen,pemerintah kabupaten kepulauan seribu
251,no,pemerintah kabupaten kepulauan anambas,pemerintah kabupaten kepulauan seribu
252,yes,pemkot jakarta barat,pemerintah kota jakarta barat
253,yes,pemerintah kota adminsitrasi jakarta barat,pemerintah kota jakarta barat
254,no,pemerintah kota jakarta timur,pemerintah kota jakarta barat
255,no,pemerintah kota jakarta pusat,pemerintah kota jakarta barat
256,yes,pemkot jakarta pusat,pemerintah kota jakarta pusat
257,yes,pemerintah kota administrasi jakarta pusat,pemerintah kota jakarta pusat
258,no,pemerintah kota jakarta barat,pemerintah kota jakarta pusat
259,no,pemerintah kota jakarta timur,pemerintah kota jakarta pusat
260,yes,pemkot jakarta timur,pemerintah kota jakarta timur
261,yes,pemerintah kota administrasi jakarta timur,pemerintah kota jakarta timur
262,no,pemerintah kota jakarta selatan,pemerintah kota jakarta timur
263,no,pemerintah kota jakarta pusat,pemerintah kota jakarta timur
264,yes,pemkot jakarta utara,pemerintah kota jakarta utara
265,yes,pemerintah kota administrasi jakarta utara,pemerintah kota jakarta utara
266,no,pemerintah kota jakarta timur,pemerintah kota jakarta utara
267,no,pemerintah kota jakarta pusat,pemerintah kota jakarta utara
268,yes,pemprov dki jakarta,pemerintah provinsi dki jakarta
269,yes,pemerintah provinsi daerah khusus ibukota jakarta,pemerintah provinsi dki jakarta
270,no,pemerintah provinsi jawa barat,pemerintah provinsi dki jakarta
271,no,pemerintah provinsi bali,pemerintah provinsi dki jakarta
272,yes,pemkab boalemo,pemerintah kabupaten boalemo
273,no,boalemo,pemerintah kabupaten boalemo
274,yes,pemerintah boalemo,pemerintah kabupaten boalemo
275,yes,pemkab bone bolango,pemerintah kabupaten bone bolango
276,no,bone bolango,pemerintah kabupaten bone bolango
277,yes,pemerintah bone bolango,pemerintah kabupaten bone bolango
278,yes,pemkab gorontalo utara,pemerintah kabupaten gorontalo utara
279,no,gorontalo utara,pemerintah kabupaten gorontalo utara
280,yes,pemerintah gorontalo utara,pemerintah kabupaten gorontalo utara
281,yes,pemkot kota gorontalo,pemerintah kota gorontalo
282,no,kota gorontalo,pemerintah kota gorontalo
283,yes,pemprov gorontalo,pemerintah provinsi gorontalo
284,no,gorontalo,pemerintah provinsi gorontalo
285,yes,pemkab bungo,pemerintah kabupaten bungo
286,no,bungo,pemerintah kabupaten bungo
287,yes,pemerintah bungo,pemerintah kabupaten bungo
288,yes,pemkab kerinci,pemerintah kabupaten kerinci
289,no,kerinci,pemerintah kabupaten kerinci
290,yes,pemerintah kerinci,pemerintah kabupaten kerinci
291,yes,pemkab tanjung jabung timur,pemerintah kabupaten tanjung jabung timur
292,no,tanjung jabung timur,pemerintah kabupaten tanjung jabung timur
293,yes,pemerintah tanjung jabung timur,pemerintah kabupaten tanjung jabung timur
294,yes,pemkab tebo,pemerintah kabupaten tebo
295,no,tebo,pemerintah kabupaten tebo
296,yes,pemerintah tebo,pemerintah kabupaten tebo
297,yes,pemkab bandung barat,pemerintah kabupaten bandung barat
298,no,bandung barat,pemerintah kabupaten bandung barat
299,yes,pemerintah bandung barat,pemerintah kabupaten bandung barat
300,yes,pemkab bekasi,pemerintah kabupaten bekasi
301,no,bekasi,pemerintah kabupaten bekasi
302,yes,pemerintah bekasi,pemerintah kabupaten bekasi
303,yes,pemkab ciamis,pemerintah kabupaten ciamis
304,no,ciamis,pemerintah kabupaten ciamis
305,yes,pemerintah ciamis,pemerintah kabupaten ciamis
306,yes,pemkab cirebon,pemerintah kabupaten cirebon
307,no,cirebon,pemerintah kabupaten cirebon
308,yes,pemerintah cirebon,pemerintah kabupaten cirebon
309,yes,pemkab indramayu,pemerintah kabupaten indramayu
310,no,indramayu,pemerintah kabupaten indramayu
311,yes,pemerintah indramayu,pemerintah kabupaten indramayu
312,yes,pemkab karawang,pemerintah kabupaten karawang
313,no,karawang,pemerintah kabupaten karawang
314,yes,pemerintah karawang,pemerintah kabupaten karawang
315,yes,pemkab kuningan,pemerintah kabupaten kuningan
316,no,kuningan,pemerintah kabupaten kuningan
317,yes,pemerintah kuningan,pemerintah kabupaten kuningan
318,yes,pemkab pangandaran,pemerintah kabupaten pangandaran
319,no,pangandaran,pemerintah kabupaten pangandaran
320,yes,pemerintah pangandaran,pemerintah kabupaten pangandaran
321,yes,pemkab subang,pemerintah kabupaten subang
322,no,subang,pemerintah kabupaten subang
323,yes,pemerintah subang,pemerintah kabupaten subang
324,yes,pemkab sukabumi,pemerintah kabupaten sukabumi
325,no,sukabumi,pemerintah kabupaten sukabumi
326,yes,pemerintah sukabumi,pemerintah kabupaten sukabumi
327,yes,pemkab sumedang,pemerintah kabupaten sumedang
328,no,sumedang,pemerintah kabupaten sumedang
329,yes,pemerintah sumedang,pemerintah kabupaten sumedang
330,yes,pemkot bandung,pemerintah kota bandung
331,no,bandung,pemerintah kota bandung
332,yes,pemkot banjar,pemerintah kota banjar
333,no,banjar,pemerintah kota banjar
334,yes,pemkot bekasi,pemerintah kota bekasi
335,no,bekasi,pemerintah kota bekasi
336,yes,pemkot cimahi,pemerintah kota cimahi
337,no,cimahi,pemerintah kota cimahi
338,yes,pemerintah cimahi,pemerintah kota cimahi
339,yes,pemkot depok,pemerintah kota depok
340,no,depok,pemerintah kota depok
341,yes,pemerintah depok,pemerintah kota depok
342,yes,pemkot sukabumi,pemerintah kota sukabumi
343,no,sukabumi,pemerintah kota sukabumi
344,yes,pemkot tasikmalaya,pemerintah kota tasikmalaya
345,no,tasikmalaya,pemerintah kota tasikmalaya
346,yes,pemprov jawa barat,pemerintah provinsi jawa barat
347,no,jawa barat,pemerintah provinsi jawa barat
348,yes,pemerintah jawa barat,pemerintah provinsi jawa barat
349,yes,pemprov jabar,pemerintah provinsi jawa barat
350,yes,pemkab banjarnegara,pemerintah kabupaten banjarnegara
351,no,banjarnegara,pemerintah kabupaten banjarnegara
352,yes,pemerintah banjarnegara,pemerintah kabupaten banjarnegara
353,yes,pemkab banyumas,pemerintah kabupaten banyumas
354,no,banyumas,pemerintah kabupaten banyumas
355,yes,pemerintah banyumas,pemerintah kabupaten banyumas
356,yes,pemkab batang,pemerintah kabupaten batang
357,no,batang,pemerintah kabupaten batang
358,yes,pemerintah batang,pemerintah kabupaten batang
359,yes,pemkab blora,pemerintah kabupaten blora
360,no,blora,pemerintah kabupaten blora
361,yes,pemerintah blora,pemerintah kabupaten blora
362,yes,pemkab boyolali,pemerintah kabupaten boyolali
363,no,boyolali,pemerintah kabupaten boyolali
364,yes,pemerintah boyolali,pemerintah kabupaten boyolali
365,yes,pemkab brebes,pemerintah kabupaten brebes
366,no,brebes,pemerintah kabupaten brebes
367,yes,pemerintah brebes,pemerintah kabupaten brebes
368,yes,pemkab cilacap,pemerintah kabupaten cilacap
369,no,cilacap,pemerintah kabupaten cilacap
370,yes,pemerintah cilacap,pemerintah kabupaten cilacap
371,yes,pemkab demak,pemerintah kabupaten demak
372,no,demak,pemerintah kabupaten demak
373,yes,pemerintah demak,pemerintah kabupaten demak
374,yes,pemkab grobogan,pemerintah kabupaten grobogan
375,no,grobogan,pemerintah kabupaten grobogan
376,yes,pemerintah grobogan,pemerintah kabupaten grobogan
377,yes,pemkab jepara,pemerintah kabupaten jepara
378,no,jepara,pemerintah kabupaten jepara
379,yes,pemerintah jepara,pemerintah kabupaten jepara
380,yes,pemkab karanganyar,pemerintah kabupaten karanganyar
381,no,karanganyar,pemerintah kabupaten karanganyar
382,yes,pemerintah karanganyar,pemerintah kabupaten karanganyar
383,yes,pemkab kebumen,pemerintah kabupaten kebumen
384,no,kebumen,pemerintah kabupaten kebumen
385,yes,pemerintah kebumen,pemerintah kabupaten kebumen
386,yes,pemkab kendal,pemerintah kabupaten kendal
387,no,kendal,pemerintah kabupaten kendal
388,yes,pemerintah kendal,pemerintah kabupaten kendal
389,yes,pemkab klaten,pemerintah kabupaten klaten
390,no,klaten,pemerintah kabupaten klaten
391,yes,pemerintah klaten,pemerintah kabupaten klaten
392,yes,pemkab pekalongan,pemerintah kabupaten pekalongan
393,no,pekalongan,pemerintah kabupaten pekalongan
394,yes,pemerintah pekalongan,pemerintah kabupaten pekalongan
395,yes,pemkab pemalang,pemerintah kabupaten pemalang
396,no,pemalang,pemerintah kabupaten pemalang
397,yes,pemerintah pemalang,pemerintah kabupaten pemalang
398,yes,pemkab purbalingga,pemerintah kabupaten purbalingga
399,no,purbalingga,pemerintah kabupaten purbalingga
400,yes,pemerintah purbalingga,pemerintah kabupaten purbalingga
401,yes,pemkab purworejo,pemerintah kabupaten purworejo
402,no,purworejo,pemerintah kabupaten purworejo
403,yes,pemerintah purworejo,pemerintah kabupaten purworejo
404,yes,pemkab rembang,pemerintah kabupaten rembang
405,no,rembang,pemerintah kabupaten rembang
406,yes,pemerintah rembang,pemerintah kabupaten rembang
407,yes,pemkab semarang,pemerintah kabupaten semarang
408,no,semarang,pemerintah kabupaten semarang
409,yes,pemerintah semarang,pemerintah kabupaten semarang
410,yes,pemkab sukoharjo,pemerintah kabupaten sukoharjo
411,no,sukoharjo,pemerintah kabupaten sukoharjo
412,yes,pemerintah sukoharjo,pemerintah kabupaten sukoharjo
413,yes,pemkab tegal,pemerintah kabupaten tegal
414,no,tegal,pemerintah kabupaten tegal
415,yes,pemerintah tegal,pemerintah kabupaten tegal
416,yes,pemkab wonogiri,pemerintah kabupaten wonogiri
417,no,wonogiri,pemerintah kabupaten wonogiri
418,yes,pemerintah wonogiri,pemerintah kabupaten wonogiri
419,yes,pemkab wonosobo,pemerintah kabupaten wonosobo
420,no,wonosobo,pemerintah kabupaten wonosobo
421,yes,pemerintah wonosobo,pemerintah kabupaten wonosobo
422,yes,pemkot salatiga,pemerintah kota salatiga
423,no,salatiga,pemerintah kota salatiga
424,yes,pemerintah salatiga,pemerintah kota salatiga
425,yes,pemprov jawa tengah,pemerintah provinsi jawa tengah
426,no,jawa tengah,pemerintah provinsi jawa tengah
427,yes,pemerintah jawa tengah,pemerintah provinsi jawa tengah
428,yes,pemprov jateng,pemerintah provinsi jawa tengah
429,yes,pemkab bangkalan,pemerintah kabupaten bangkalan
430,no,bangkalan,pemerintah kabupaten bangkalan
431,yes,pemerintah bangkalan,pemerintah kabupaten bangkalan
432,yes,pemkab blitar,pemerintah kabupaten blitar
433,no,blitar,pemerintah kabupaten blitar
434,yes,pemerintah blitar,pemerintah kabupaten blitar
435,yes,pemkab bojonegoro,pemerintah kabupaten bojonegoro
436,no,bojonegoro,pemerintah kabupaten bojonegoro
437,yes,pemerintah bojonegoro,pemerintah kabupaten bojonegoro
438,yes,pemkab bondowoso,pemerintah kabupaten bondowoso
439,no,bondowoso,pemerintah kabupaten bondowoso
440,yes,pemerintah bondowoso,pemerintah kabupaten bondowoso
441,yes,pemkab jember,pemerintah kabupaten jember
442,no,jember,pemerintah kabupaten jember
443,yes,pemerintah jember,pemerintah kabupaten jember
444,yes,pemkab jombang,pemerintah kabupaten jombang
445,no,jombang,pemerintah kabupaten jombang
446,yes,pemerintah jombang,pemerintah kabupaten jombang
