,text_a,text_b,labels,prediksi
60,badan pengelola keuangan haji bpkh,bpkh,1,1
61,badan pengelola keuangan haji bpkh,badan pengelola keuangan,0,0
62,badan pengelola keuangan haji bpkh,bpk,0,1
63,badan pengelola keuangan haji bpkh,badan pengelola haji,0,1
64,lembaga penjamin simpanan lps,lembaga penjamin simpanan,1,1
65,lembaga penjamin simpanan lps,lps,1,1
66,lembaga penjamin simpanan lps,lembaga penjamin,0,1
67,lembaga penjamin simpanan lps,lembaga simpanan,0,1
68,otoritas jasa keuangan ojk,otoritas jasa keuangan,1,1
69,otoritas jasa keuangan ojk,ojk,1,1
70,otoritas jasa keuangan ojk,otoritas keuangan,0,0
71,otoritas jasa keuangan ojk,otoritas jasa,0,0
72,satuan kerja khusus pelaksana kegiatan usaha hulu minyak dan gas bumi skk migas,satuan kerja khusus pelaksana kegiatan usaha hulu minyak dan gas bumi,1,1
73,satuan kerja khusus pelaksana kegiatan usaha hulu minyak dan gas bumi skk migas,skk migas,1,1
74,satuan kerja khusus pelaksana kegiatan usaha hulu minyak dan gas bumi skk migas,satuan kerja khusus,0,0
75,satuan kerja khusus pelaksana kegiatan usaha hulu minyak dan gas bumi skk migas,satuan kerja khusus pelaksana kegiatan usaha,0,0
76,pemerintah kota jakarta selatan,pemkot jakarta selatan,1,1
77,pemerintah kota jakarta selatan,pemerintah kota administrasi jakarta selatan,1,1
78,pemerintah kota jakarta selatan,pemerintah kota jakarta pusat,0,0
79,pemerintah kota jakarta selatan,pemerintah kota jakarta barat,0,0
80,pemerintah kabupaten pohuwato,pemkab pohuwato,1,1
81,pemerintah kabupaten pohuwato,pohuwato,0,0
82,pemerintah kabupaten pohuwato,pemerintah pohuwato,1,1
83,pemerintah kabupaten muaro jambi,pemkab muaro jambi,1,1
84,pemerintah kabupaten muaro jambi,muaro jambi,0,0
85,pemerintah kabupaten muaro jambi,pemerintah muaro jambi,1,1
86,pemerintah kabupaten tanjung jabung barat,pemkab tanjung jabung barat,1,1
87,pemerintah kabupaten tanjung jabung barat,tanjung jabung barat,0,0
88,pemerintah kabupaten tanjung jabung barat,pemerintah tanjung jabung barat,1,1
89,pemerintah provinsi jambi,pemprov jambi,1,1
90,pemerintah provinsi jambi,jambi,0,0
91,pemerintah kabupaten bandung,pemkab bandung,1,1
92,pemerintah kabupaten bandung,bandung,0,0
93,pemerintah kabupaten bandung,pemerintah bandung,1,1
94,pemerintah kabupaten bogor,pemkab bogor,1,1
95,pemerintah kabupaten bogor,bogor,0,0
96,pemerintah kabupaten bogor,pemerintah bogor,1,1
97,pemerintah kabupaten cianjur,pemkab cianjur,1,1
98,pemerintah kabupaten cianjur,cianjur,0,0
99,pemerintah kabupaten cianjur,pemerintah cianjur,1,1
100,pemerintah kabupaten garut,pemkab garut,1,1
101,pemerintah kabupaten garut,garut,0,0
102,pemerintah kabupaten garut,pemerintah garut,1,1
103,pemerintah kabupaten majalengka,pemkab majalengka,1,1
104,pemerintah kabupaten majalengka,majalengka,0,0
105,pemerintah kabupaten majalengka,pemerintah majalengka,1,1
106,pemerintah kabupaten purwakarta,pemkab purwakarta,1,1
107,pemerintah kabupaten purwakarta,purwakarta,0,0
108,pemerintah kabupaten purwakarta,pemerintah purwakarta,1,1
109,pemerintah kota bogor,pemkot bogor,1,1
110,pemerintah kota bogor,bogor,0,0
111,pemerintah kabupaten magelang,pemkab magelang,1,1
112,pemerintah kabupaten magelang,magelang,0,0
113,pemerintah kabupaten magelang,pemerintah magelang,1,1
114,pemerintah kabupaten sragen,pemkab sragen,1,1
115,pemerintah kabupaten sragen,sragen,0,0
116,pemerintah kabupaten sragen,pemerintah sragen,1,1
117,pemerintah kota pekalongan,pemkot pekalongan,1,1
118,pemerintah kota pekalongan,pekalongan,0,0
119,pemerintah kota semarang,pemkot semarang,1,1
120,pemerintah kota semarang,semarang,0,0
121,pemerintah kabupaten banyuwangi,pemkab banyuwangi,1,1
122,pemerintah kabupaten banyuwangi,banyuwangi,0,0
123,pemerintah kabupaten banyuwangi,pemerintah banyuwangi,1,1
124,pemerintah kabupaten gresik,pemkab gresik,1,1
125,pemerintah kabupaten gresik,gresik,0,0
126,pemerintah kabupaten gresik,pemerintah gresik,1,1
127,pemerintah kabupaten malang,pemkab malang,1,1
128,pemerintah kabupaten malang,malang,0,0
129,pemerintah kabupaten malang,pemerintah malang,1,1
130,pemerintah kabupaten madiun,pemkab madiun,1,1
131,pemerintah kabupaten madiun,madiun,0,0
132,pemerintah kabupaten madiun,pemerintah madiun,1,1
133,pemerintah kabupaten sampang,pemkab sampang,1,1
134,pemerintah kabupaten sampang,sampang,0,0
135,pemerintah kabupaten sampang,pemerintah sampang,1,1
136,pemerintah kabupaten situbondo,pemkab situbondo,1,1
137,pemerintah kabupaten situbondo,situbondo,0,0
138,pemerintah kabupaten situbondo,pemerintah situbondo,1,1
139,pemerintah kota mojokerto,pemkot mojokerto,1,1
140,pemerintah kota mojokerto,mojokerto,0,0
141,pemerintah kabupaten melawi,pemkab melawi,1,1
142,pemerintah kabupaten melawi,melawi,0,0
143,pemerintah kabupaten melawi,pemerintah melawi,1,1
144,pemerintah kabupaten banjar,pemkab banjar,1,1
145,pemerintah kabupaten banjar,banjar,0,0
146,pemerintah kabupaten banjar,pemerintah banjar,1,1
147,pemerintah kabupaten barito kuala,pemkab barito kuala,1,1
148,pemerintah kabupaten barito kuala,barito kuala,0,0
149,pemerintah kabupaten barito kuala,pemerintah barito kuala,1,1
150,pemerintah kabupaten kotabaru,pemkab kotabaru,1,1
151,pemerintah kabupaten kotabaru,kotabaru,0,0
152,pemerintah kabupaten kotabaru,pemerintah kotabaru,1,1
153,pemerintah kabupaten aceh besar,pemkab aceh utara,0,0
154,pemerintah kabupaten aceh besar,pemprov nanggroe aceh darusalam,0,0
155,pemerintah kabupaten aceh besar,pemerintah provinsi nanggroe aceh darusalam,0,0
156,pemerintah kabupaten aceh besar,pemkot banda aceh,0,0
157,pemerintah kabupaten aceh besar,pemerintah kabupaten aceh utara,0,0
158,pemerintah kabupaten aceh besar,pemkab aceh barat daya,0,0
159,pemerintah kabupaten aceh besar,pemerintah kabupaten aceh barat daya,0,0
160,pemerintah kabupaten aceh besar,pemkab aceh tengah,0,0
161,pemerintah kabupaten aceh besar,pemerintah kabupaten aceh tengah,0,0
162,pemerintah kabupaten aceh besar,pemerintah kota banda aceh,0,0
163,pemerintah kabupaten aceh besar,pemerintah kabupaten aceh tenggara,0,0
164,pemerintah kabupaten aceh besar,pemkab aceh besar,1,1
165,pemerintah kabupaten aceh besar,pemerintah kabupaten aceh tamiang,0,0
166,pemerintah kabupaten aceh besar,pemerintah kabupaten aceh timur,0,0
167,pemerintah kabupaten aceh besar,pemerintah kabupaten aceh barat,0,0
168,pemerintah kabupaten aceh besar,pemerintah kabupaten aceh singkil,0,0
169,pemerintah kabupaten aceh besar,pemkab aceh tenggara,0,0
170,pemerintah kabupaten aceh besar,pemkab aceh timur,0,0
171,pemerintah kabupaten aceh besar,pemkab aceh selatan,0,0
172,pemerintah kabupaten aceh besar,pemkab aceh singkil,0,0
173,pemerintah kabupaten aceh besar,pemerintah kabupaten aceh jaya,0,0
174,pemerintah kabupaten aceh besar,pemkab aceh tamiang,0,0
175,pemerintah kabupaten aceh besar,pemerintah kabupaten aceh selatan,0,0
176,pemerintah kabupaten aceh besar,pemkab aceh barat,0,0
177,pemerintah kabupaten aceh besar,pemkab aceh jaya,0,0
178,pemerintah kabupaten aceh singkil,pemerintah kabupaten aceh jaya,0,0
179,pemerintah kabupaten aceh singkil,pemerintah kabupaten aceh tengah,0,0
180,pemerintah kabupaten aceh singkil,pemkab aceh tengah,0,0
181,pemerintah kabupaten aceh singkil,pemkab aceh jaya,0,0
182,pemerintah kabupaten aceh singkil,pemkab aceh singkil,1,1
183,pemerintah kabupaten aceh singkil,pemkab aceh utara,0,0
184,pemerintah kabupaten aceh singkil,pemkot banda aceh,0,0
185,pemerintah kabupaten aceh singkil,pemerintah kota banda aceh,0,0
186,pemerintah kabupaten aceh singkil,pemkab aceh besar,0,0
187,pemerintah kabupaten aceh singkil,pemerintah kabupaten aceh besar,0,0
188,pemerintah kabupaten aceh singkil,pemkab aceh timur,0,0
189,pemerintah kabupaten aceh singkil,pemerintah kabupaten aceh timur,0,0
190,pemerintah kabupaten aceh singkil,pemkab aceh tamiang,0,0
191,pemerintah kabupaten aceh singkil,pemerintah kabupaten aceh tamiang,0,0
192,pemerintah kabupaten aceh singkil,pemerintah provinsi nanggroe aceh darusalam,0,0
193,pemerintah kabupaten aceh singkil,pemerintah kabupaten aceh utara,0,0
194,pemerintah kabupaten aceh singkil,pemkab aceh barat daya,0,0
195,pemerintah kabupaten aceh singkil,pemerintah kabupaten aceh barat daya,0,0
196,pemerintah kabupaten aceh singkil,pemprov nanggroe aceh darusalam,0,0
197,pemerintah kabupaten aceh singkil,pemerintah kabupaten aceh barat,0,0
198,pemerintah kabupaten aceh singkil,pemkab aceh selatan,0,0
199,pemerintah kabupaten aceh singkil,pemerintah kabupaten aceh selatan,0,0
200,pemerintah kabupaten aceh singkil,pemkab aceh barat,0,0
201,pemerintah kabupaten aceh singkil,pemerintah kabupaten aceh tenggara,0,0
202,pemerintah kabupaten aceh singkil,pemkab aceh tenggara,0,0
203,pemerintah kabupaten aceh tamiang,pemkab aceh singkil,0,0
204,pemerintah kabupaten aceh tamiang,pemkab aceh utara,0,0
205,pemerintah kabupaten aceh tamiang,pemerintah kabupaten aceh singkil,0,0
206,pemerintah kabupaten aceh tamiang,pemerintah kabupaten aceh utara,0,0
207,pemerintah kabupaten aceh tamiang,pemprov nanggroe aceh darusalam,0,0
208,pemerintah kabupaten aceh tamiang,pemerintah provinsi nanggroe aceh darusalam,0,0
209,pemerintah kabupaten aceh tamiang,pemerintah kabupaten aceh besar,0,0
210,pemerintah kabupaten aceh tamiang,pemkab aceh besar,0,0
211,pemerintah kabupaten aceh tamiang,pemkab aceh tengah,0,0
212,pemerintah kabupaten aceh tamiang,pemerintah kabupaten aceh tengah,0,0
213,pemerintah kabupaten aceh tamiang,pemerintah kabupaten aceh tenggara,0,0
214,pemerintah kabupaten aceh tamiang,pemerintah kabupaten aceh barat,0,0
215,pemerintah kabupaten aceh tamiang,pemkab aceh barat,0,0
216,pemerintah kabupaten aceh tamiang,pemkab aceh timur,0,0
217,pemerintah kabupaten aceh tamiang,pemerintah kabupaten aceh timur,0,0
218,pemerintah kabupaten aceh tamiang,pemkab aceh barat daya,0,0
219,pemerintah kabupaten aceh tamiang,pemerintah kabupaten aceh barat daya,0,0
220,pemerintah kabupaten aceh tamiang,pemerintah kota banda aceh,0,0
221,pemerintah kabupaten aceh tamiang,pemkot banda aceh,0,0
222,pemerintah kabupaten aceh tamiang,pemkab aceh selatan,0,0
223,pemerintah kabupaten aceh tamiang,pemerintah kabupaten aceh selatan,0,0
224,pemerintah kabupaten aceh tamiang,pemkab aceh jaya,0,0
225,pemerintah kabupaten aceh tamiang,pemkab aceh tamiang,1,1
226,pemerintah kabupaten aceh tamiang,pemkab aceh tenggara,0,0
227,pemerintah kabupaten aceh tamiang,pemerintah kabupaten aceh jaya,0,0
228,pemerintah kabupaten aceh utara,pemerintah kota banda aceh,0,0
229,pemerintah kabupaten aceh utara,pemkot banda aceh,0,0
230,pemerintah kabupaten aceh utara,pemkab aceh tamiang,0,0
231,pemerintah kabupaten aceh utara,pemkab aceh singkil,0,0
232,pemerintah kabupaten aceh utara,pemerintah kabupaten aceh selatan,0,0
233,pemerintah kabupaten aceh utara,pemerintah kabupaten aceh tamiang,0,0
234,pemerintah kabupaten aceh utara,pemkab aceh tengah,0,0
235,pemerintah kabupaten aceh utara,pemerintah kabupaten aceh tengah,0,0
236,pemerintah kabupaten aceh utara,pemkab aceh besar,0,0
237,pemerintah kabupaten aceh utara,pemkab aceh barat daya,0,0
238,pemerintah kabupaten aceh utara,pemerintah kabupaten aceh besar,0,0
239,pemerintah kabupaten aceh utara,pemerintah kabupaten aceh timur,0,0
240,pemerintah kabupaten aceh utara,pemkab aceh selatan,0,0
241,pemerintah kabupaten aceh utara,pemerintah kabupaten aceh singkil,0,0
242,pemerintah kabupaten aceh utara,pemerintah kabupaten aceh barat daya,0,0
243,pemerintah kabupaten aceh utara,pemkab aceh timur,0,0
244,pemerintah kabupaten aceh utara,pemkab aceh jaya,0,0
245,pemerintah kabupaten aceh utara,pemerintah kabupaten aceh jaya,0,0
246,pemerintah kabupaten aceh utara,pemkab aceh tenggara,0,0
247,pemerintah kabupaten aceh utara,pemprov nanggroe aceh darusalam,0,0
248,pemerintah kabupaten aceh utara,pemkab aceh barat,0,0
249,pemerintah kabupaten aceh utara,pemerintah kabupaten aceh barat,0,0
250,pemerintah kabupaten aceh utara,pemerintah kabupaten aceh tenggara,0,0
251,pemerintah kabupaten aceh utara,pemkab aceh utara,1,1
252,pemerintah kabupaten aceh utara,pemerintah provinsi nanggroe aceh darusalam,0,0
253,pemerintah kabupaten barito timur,pemerintah kabupaten barito selatan,0,0
254,pemerintah kabupaten barito timur,pemkab barito utara,0,0
255,pemerintah kabupaten barito timur,pemerintah kabupaten barito utara,0,0
256,pemerintah kabupaten barito timur,pemkab barito timur,1,1
257,pemerintah kabupaten barito timur,pemkab barito selatan,0,0
258,pemerintah kabupaten bener meriah,pemkab bener meriah,1,1
259,pemerintah kabupaten bener meriah,komisi independen kabupaten bener meriah,0,0
260,pemerintah kabupaten bener meriah,kip kabupaten bener meriah,0,0
261,pemerintah kabupaten flores timur,pemkab flores timur,1,1
262,pemerintah kabupaten flores timur,pemerintah kabupaten flores,1,0
263,pemerintah kabupaten flores timur,pemkab flores,1,0
264,pemerintah kabupaten halmahera barat,pemerintah kabupaten halmahera utara,0,0
265,pemerintah kabupaten halmahera barat,pemkab halmahera selatan,0,0
266,pemerintah kabupaten halmahera barat,pemerintah kabupaten halmahera selatan,0,0
267,pemerintah kabupaten halmahera barat,pemerintah kabupaten halmahera tengah,0,0
268,pemerintah kabupaten halmahera barat,pemkab halmahera barat,1,1
269,pemerintah kabupaten halmahera barat,pemkab halmahera utara,0,0
270,pemerintah kabupaten halmahera barat,pemkab halmahera tengah,0,0
271,pemerintah kabupaten halmahera barat,pemerintah kabupaten halmahera timur,0,0
272,pemerintah kabupaten halmahera barat,pemkab halmahera timur,0,0
273,pemerintah kabupaten halmahera timur,pemkab halmahera timur,1,1
274,pemerintah kabupaten halmahera timur,pemerintah kabupaten halmahera selatan,0,0
275,pemerintah kabupaten halmahera timur,pemerintah kabupaten halmahera utara,0,0
276,pemerintah kabupaten halmahera timur,pemerintah kabupaten halmahera barat,0,0
277,pemerintah kabupaten halmahera timur,pemkab halmahera barat,0,0
278,pemerintah kabupaten halmahera timur,pemerintah kabupaten halmahera tengah,0,0
279,pemerintah kabupaten halmahera timur,pemkab halmahera tengah,0,0
280,pemerintah kabupaten halmahera timur,pemkab halmahera selatan,0,0
281,pemerintah kabupaten halmahera timur,pemkab halmahera utara,0,0
282,pemerintah kabupaten jayapura,pemerintah kabupaten jayawijaya,0,0
283,pemerintah kabupaten jayapura,pemkab jayawijaya,0,0
284,pemerintah kabupaten jayapura,pemkab jayapura,1,1
285,pemerintah kabupaten karimun,pemkab karimun,1,1
286,pemerintah kabupaten karimun,karimun jawa,0,0
287,pemerintah kabupaten katingan,bps kabupaten katingan,0,0
288,pemerintah kabupaten katingan,badan pusat statistik kabupaten katingan,0,0
289,pemerintah kabupaten katingan,pemkab katingan,1,1
290,pemerintah kabupaten katingan,kuningan,0,0
291,pemerintah kabupaten kepulauan anambas,pemerintah kabupaten kepulauan aru,0,0
292,pemerintah kabupaten kepulauan anambas,pemkab anambas,1,1
293,pemerintah kabupaten kepulauan anambas,pemkab kepulauan aru,0,0
294,pemerintah kabupaten kepulauan anambas,pemerintah kabupaten kepulauan sula,0,0
295,pemerintah kabupaten kepulauan anambas,pemkab kepulauan sula,0,0
296,pemerintah kabupaten kepulauan anambas,pemerintah kabupaten anambas,1,1
297,pemerintah kabupaten kepulauan anambas,pemerintah kabupaten kepulauan yapen,0,0
298,pemerintah kabupaten kepulauan anambas,pemkab kepulauan yapen,0,0
299,pemerintah kabupaten kepulauan anambas,pemkab kepulauan anambas,1,1
300,pemerintah kabupaten lampung timur,pemerintah kabupaten lampung selatan,0,0
301,pemerintah kabupaten lampung timur,pemkab lampung selatan,0,0
302,pemerintah kabupaten lampung timur,pemerintah kota bandar lampung,0,0
303,pemerintah kabupaten lampung timur,pemkot bandar lampung,0,0
304,pemerintah kabupaten lampung timur,pemerintah provinsi lampung,0,0
305,pemerintah kabupaten lampung timur,pemprov lampung,0,0
306,pemerintah kabupaten lampung timur,pemkab lampung timur,1,1
307,pemerintah kabupaten lampung timur,pemkab lampung utara,0,0
308,pemerintah kabupaten lampung timur,pemkab lampung barat,0,0
309,pemerintah kabupaten lampung timur,pemerintah kabupaten lampung barat,0,0
310,pemerintah kabupaten lampung timur,pemerintah kabupaten lampung utara,0,0
311,pemerintah kabupaten lampung timur,pemerintah kabupaten lampung tengah,0,0
312,pemerintah kabupaten lampung timur,pemkab lampung tengah,0,0
313,pemerintah kabupaten lembata,lembang,0,0
314,pemerintah kabupaten lembata,pemkab lembata,1,1
315,pemerintah kabupaten lombok barat,pemerintah kabupaten lombok tengah,0,0
316,pemerintah kabupaten lombok barat,pemkab lombok tengah,0,0
317,pemerintah kabupaten lombok barat,pemkab lombok barat,1,1
318,pemerintah kabupaten lombok barat,pemerintah kabupaten lombok utara,0,0
319,pemerintah kabupaten lombok barat,pemkab lombok utara,0,0
320,pemerintah kabupaten lombok barat,pemkab lombok timur,0,0
321,pemerintah kabupaten lombok barat,pemerintah kabupaten lombok timur,0,0
322,pemerintah kabupaten lombok utara,pemkab lombok tengah,0,0
323,pemerintah kabupaten lombok utara,pemerintah kabupaten lombok barat,0,0
324,pemerintah kabupaten lombok utara,pemkab lombok barat,0,0
325,pemerintah kabupaten lombok utara,pemerintah kabupaten lombok tengah,0,0
326,pemerintah kabupaten lombok utara,pemkab lombok utara,1,1
327,pemerintah kabupaten lombok utara,pemerintah kabupaten lombok timur,0,0
328,pemerintah kabupaten lombok utara,pemkab lombok timur,0,0
329,pemerintah kabupaten malaka,pemkab maluku tenggara barat,0,0
330,pemerintah kabupaten malaka,pemkab maluku barat daya,0,0
331,pemerintah kabupaten malaka,pemerintah kabupaten maluku tenggara,0,0
332,pemerintah kabupaten malaka,pemkab maluku tenggara,0,0
333,pemerintah kabupaten malaka,pemerintah kabupaten maluku tengah,0,0
334,pemerintah kabupaten malaka,pemkab maluku tengah,0,0
335,pemerintah kabupaten malaka,pemerintah kabupaten maluku tenggara barat,0,0
336,pemerintah kabupaten malaka,pemkab malaka,1,1
337,pemerintah kabupaten malaka,pemerintah kabupaten maluku barat daya,0,0
338,pemerintah kabupaten malaka,pemprov maluku,0,0
339,pemerintah kabupaten malaka,pemerintah provinsi maluku,0,0
340,pemerintah kabupaten maluku tenggara,pemprov maluku,0,0
341,pemerintah kabupaten maluku tenggara,pemerintah kabupaten maluku barat daya,0,0
342,pemerintah kabupaten maluku tenggara,pemerintah provinsi maluku,0,0
343,pemerintah kabupaten maluku tenggara,pemkab maluku barat daya,0,0
344,pemerintah kabupaten maluku tenggara,pemkab maluku tengah,0,0
345,pemerintah kabupaten maluku tenggara,pemkab maluku tenggara,1,1
346,pemerintah kabupaten maluku tenggara,pemkab malaka,0,0
347,pemerintah kabupaten maluku tenggara,pemerintah kabupaten maluku tenggara barat,0,0
348,pemerintah kabupaten maluku tenggara,pemerintah kabupaten malaka,0,0
349,pemerintah kabupaten maluku tenggara,pemkab maluku tenggara barat,0,0
350,pemerintah kabupaten maluku tenggara,pemerintah kabupaten maluku tengah,0,0
351,pemerintah kabupaten maluku tenggara barat,pemkab malaka,0,0
352,pemerintah kabupaten maluku tenggara barat,pemerintah kabupaten malaka,0,0
353,pemerintah kabupaten maluku tenggara barat,pemkab maluku tengah,0,0
354,pemerintah kabupaten maluku tenggara barat,pemerintah kabupaten maluku tengah,0,0
355,pemerintah kabupaten maluku tenggara barat,pemerintah provinsi maluku,0,0
356,pemerintah kabupaten maluku tenggara barat,pemprov maluku,0,0
357,pemerintah kabupaten maluku tenggara barat,pemerintah kabupaten maluku tenggara,0,0
358,pemerintah kabupaten maluku tenggara barat,pemkab maluku tenggara,0,0
359,pemerintah kabupaten maluku tenggara barat,pemkab maluku tenggara barat,1,1
360,pemerintah kabupaten maluku tenggara barat,pemerintah kabupaten maluku barat daya,0,0
361,pemerintah kabupaten maluku tenggara barat,pemkab maluku barat daya,0,0
362,pemerintah kabupaten merauke,pemkab merauke,1,1
363,pemerintah kabupaten merauke,merapi,0,0
364,pemerintah kabupaten nagan raya,jakarta raya,0,0
365,pemerintah kabupaten nagan raya,pemkab nagan raya,1,1
366,pemerintah kabupaten ngada,pemerintah kabupaten nduga,0,0
367,pemerintah kabupaten ngada,pemkab nduga,0,0
368,pemerintah kabupaten ngada,pemkab ngada,1,1
369,pemerintah kabupaten pidie jaya,pemkab puncak jaya,0,0
370,pemerintah kabupaten pidie jaya,pemerintah kabupaten puncak jaya,0,0
371,pemerintah kabupaten pidie jaya,pemkab pidie jaya,1,1
372,pemerintah kabupaten pidie jaya,pemerintah kabupaten pidie,0,0
373,pemerintah kabupaten pidie jaya,pemkab pidie,0,0
374,pemerintah kabupaten pidie jaya,pemerintah kabupaten intan jaya,0,0
375,pemerintah kabupaten pidie jaya,pemkab intan jaya,0,0
376,pemerintah kabupaten pidie jaya,pemerintah kabupaten lanny jaya,0,0
377,pemerintah kabupaten pidie jaya,pemkab lanny jaya,0,0
378,pemerintah kabupaten pulau taliabu,pemkab taliabu,1,1
379,pemerintah kabupaten pulau taliabu,pemerintah kabupaten pulau morotai,0,0
380,pemerintah kabupaten pulau taliabu,pemkab pulau morotai,0,0
381,pemerintah kabupaten pulau taliabu,pemerintah kabupaten taliabu,1,1
382,pemerintah kabupaten pulau taliabu,pemkab pulau taliabu,1,1
383,pemerintah kabupaten sarmi,pemkab sarmi,1,1
384,pemerintah kabupaten sarmi,pemerintah kabupaten seram,0,0
385,pemerintah kabupaten sarmi,pemkab seram,0,0
386,pemerintah kabupaten sikka,kpu kabupaten sikka,0,0
387,pemerintah kabupaten sikka,pemkab sikka,1,1
388,pemerintah kabupaten sikka,bps kabupaten sikka,0,0
389,pemerintah kabupaten sikka,komisi pemilihan umum kabupaten sikka,0,0
390,pemerintah kabupaten sikka,badan pusat statistuk kabupaten sikka,0,0
391,pemerintah kabupaten sumba barat,pemkab sumba barat daya,0,0
392,pemerintah kabupaten sumba barat,pemerintah kabupaten sumba barat daya,0,1
393,pemerintah kabupaten sumba barat,pemprov sumbar,0,0
394,pemerintah kabupaten sumba barat,pemerintah provinsi sumbar,0,0
395,pemerintah kabupaten sumba barat,pemerintah kabupaten sumbawa barat,0,1
396,pemerintah kabupaten sumba barat,pemkab sumbawa barat,0,1
397,pemerintah kabupaten sumba barat,pemerintah kabupaten sumbawa,0,0
398,pemerintah kabupaten sumba barat,pemkab sumbawa,0,0
399,pemerintah kabupaten sumba barat,pemkab sumba barat,1,1
400,pemerintah kabupaten sumba barat,pemkab sumba timur,0,0
