index,instansi,sinonim,pred,prob
7080,pt perusahaan listrik negara persero pln,kontraktor listrik,0,0.9935469031333924
7102,atr bpn,kantor atr bpn kota salatiga,1,0.9958298802375792
7545,pemerintah kabupaten kudus,pemerintah kabupaten kudus,1,0.9988258481025696
8427,pt pupuk indonesia,distributor pupuk bersubsidi,0,0.9904146194458008
8432,kementerian hukum,advokat kuasa hukum,0,0.9850731492042542
8436,primissima batik,universitas islam batik,0,0.9902133345603944
8452,pt bank mandiri persero tbk,direktur cv edlin lestari mandiri,0,0.9585453271865844
8566,pemerintah kabupaten lebong,dinas koperasi dan ukm kabupaten sleman,0,0.9992235898971558
8962,"Bukan instansi BUMN, Kementerian, Pemerintah",perhimpunan pedagang surat utang,0,0.9234851002693176
8964,mahkamah konstitusi,mahkamah,0,0.9956071972846984
9386,pt asuransi jasa indonesia persero,pt asuransi jasa indonesia persero,1,0.998798370361328
9761,kementerian pendayagunaan aparatur negara dan reformasi birokrasi kem panrb,hotel vasa dan hotel bumi,0,0.997706174850464
9783,kementerian pendidikan kebudayaan riset dan teknologi,dinas pendidikan sekolah smp sd,0,0.996425211429596
10023,pemkot malang,bank syariah indonesia malang,1,0.9850258231163024
10032,kementerian pembangunan manusia,kementerian kesehatan,0,0.998166799545288
10120,pemerintah kabupaten intan jaya,perusahaan renis jaya,0,0.9986252784729004
10173,pt indra karya,pt candi arta,0,0.9957635402679444
10511,pt asuransi pegawai negeri,founder astronacci pegawai swasta,0,0.96538645029068
10513,"Bukan instansi BUMN, Kementerian, Pemerintah",roseana widyanti sh mkn,1,0.8667650818824768
10514,"Bukan instansi BUMN, Kementerian, Pemerintah",think artha,0,0.7358212471008301
10515,"Bukan instansi BUMN, Kementerian, Pemerintah",laboratorium valid,1,0.6592226028442383
10566,badan meteorologi klimatologi dan geofisika bmkg,ksp kospinjasa dan ksp pangestu,1,0.9546340703964232
10684,badan narkotika nasional bnn,badan narkotika nasional,1,0.995578110218048
10705,pemkab kampar,man 2 kampar,1,0.938216507434845
10738,nasabah bank mandiri pemilik toko parfum,nasabah bank mandiri pemilik toko parfum,1,0.9978602528572084
10793,pt bri cabang bojonegoro dan pt bri cabang nganjuk,babk bjb cabang karawang,1,0.9957574009895324
10835,pt bgr,pt rianda usaha mandiri,1,0.6769561171531677
11231,pt boma bisma indra persero cabang jakarta,direktur jakarta convention center,1,0.7657345533370972
11244,pt bni,tidak diketahui namun diduga nasabah bni,1,0.987117350101471
11620,pt nindya karya persero,pt kordon putra sinerga,0,0.992294430732727
11647,pt garuda indonesia,garuda food,0,0.985863983631134
11651,"Bukan instansi BUMN, Kementerian, Pemerintah",cv hotma sinar surya,0,0.7747016549110413
12083,pt garuda indonesia,pt garuda indonesia,1,0.9980437755584716
12235,komisi pemilihan umum kabupaten fakfak,umum,0,0.9983739852905272
12684,pemkab malinau,ketua dprd kabupaten malinau,1,0.8997366428375244
13071,perum bulog,pt bulog cabang surakarta,1,0.9975918531417848
13110,pemkab rejang lebong,loka pom di loka rejang lebong dan bpom di bengkulu,1,0.9710152745246888
13269,badan pengelola keuangan haji bpkh,kementerian keuangan bangladesh,1,0.5744460225105286
13682,pemerintah kota jakarta selatan,pt semen jakarta,0,0.9986318945884703
13937,bnsp republik indonesia,bank indonesia bank sentral republik indonesia,1,0.9215927124023438
13952,pemerintah kabupaten lombok barat,universitas hamzanwadi lombok ntb,0,0.9971722960472108
14014,pemerintah grobogan,pemerintah kabupaten grobogan,1,0.9989365935325624
15159,nasabah bank mandiri pemilik toko parfum,toko muhanah,0,0.7242622375488281
15160,"Bukan instansi BUMN, Kementerian, Pemerintah",rs banyumanik,0,0.912861943244934
15226,kementerian pekerjaan umum dan perumahan rakyat pupr,kementerian pupr,1,0.9981570839881896
15227,"Bukan instansi BUMN, Kementerian, Pemerintah",kgi sekuritas,1,0.9825196266174316
15254,pt bgr,pt hidup tujuh lautan,1,0.9536058306694032
15613,hotel natour,hotel horison,0,0.989190936088562
15876,pt telkom,pt nusa biru abadi,0,0.9969786405563354
16059,pt bank mandiri cabang samarinda,bank mandiri medan,1,0.9425366520881652
16931,pemerintah kabupaten pemalang,pemerintah kabupaten pemalang,1,0.9990022778511048
17391,pt vtp,pt lisna syifa prima padang,1,0.8419325351715088
17660,ptpn iii,ptpn xii,0,0.9574662446975708
17720,pemerintah kabupaten tapanuli selatan,polres kabtapanuli selatan,0,0.9990352392196656
17723,pemkot bima,uptd kab bima,1,0.9967761635780334
17732,pemerintah kabupaten tuban,fave hotel tuban,0,0.9965419173240662
17793,pemerintah kabupaten bolaang mongondow timur,dinas kesehatan sumba timur,0,0.9992290735244752
17795,pt hotel indonesia natour,el royal hotel,0,0.9894885420799256
17799,"Bukan instansi BUMN, Kementerian, Pemerintah",camat kecamatan mulak sebingkai,0,0.9709166288375854
17800,kacab bri samarinda 1,smk pasundan 1,0,0.7720465660095215
17801,"Bukan instansi BUMN, Kementerian, Pemerintah",wajib pajak individu,0,0.9207178950309752
17866,badan pelindungan pekerja migran indonesia,badan pelindungan pekerja migran indonesia,1,0.9989961981773376
18062,anggota dewan perwakilan rakyat,anggota dprd fraksi ppp,0,0.9901360869407654
18074,pemkot bitung,kkp kelas iii bitung,1,0.9835574626922609
18076,"Bukan instansi BUMN, Kementerian, Pemerintah",terlampir,0,0.7625112533569336
18078,kementerian desa pdtt,desa mekarharja,0,0.9981219172477722
18152,pt kiw,pt artha teknik abadi,1,0.9531158208847046
18462,"Bukan instansi BUMN, Kementerian, Pemerintah",rincian terlampir,0,0.5605345964431763
18535,pt kiw,pt pelayaran bina benua samudera banjarmasin,1,0.9600265026092528
18856,"Bukan instansi BUMN, Kementerian, Pemerintah",cv sabeena rizky perkasa,0,0.5323050618171692
19239,pemkot cirebon,pt cirebon energi prasarana cepr,1,0.9844957590103148
19265,pt bank bni,tidak diketahui namun diduga debitur bni,1,0.9870306849479676
19288,pemprov jambi,bpom di jambi,1,0.9917154908180236
19294,asuransi sosial angkatan bersenjata republik indonesia,panitia proyek sosial pk lpdp,1,0.9495266079902648
19386,pt pegadaian sentra layanan ultra mikro loa,pegawai pt oigo infrastruktur,1,0.88615882396698
274,pt pos indonesia kc cirebon,pt pos indonesia kc cirebon,1,0.9989162683486938
386,pt pertani,pt victory chingluh,0,0.9954908490180968
666,"Bukan instansi BUMN, Kementerian, Pemerintah",cv jangkar pacific,1,0.546626091003418
704,pt bank mandiri cabang samarinda,bank mandiri cabang samarinda,1,0.998571515083313
766,pemkot yogyakarta,madrasah muallimaat muhammadiyah yogyakarta,1,0.7097949981689453
804,bri kcp bkkbn,bri kcp bkkbn,1,0.9981122016906738
2014,pemkab penajam paser utara,pemerintah kabupaten penajam paser utara,1,0.9992509484291076
2087,"Bukan instansi BUMN, Kementerian, Pemerintah",panitia lokakarya,0,0.5998795032501221
2199,pt pos indonesia kc cirebon,pt pos,1,0.8311144709587097
2494,pt bni persero tbk,pt skp,1,0.9987974166870116
2999,pt sarana multigriya,pt kahayan berseri,0,0.9975467324256896
3302,kementerian investasi,kementerian investasi bkpm,1,0.9987266659736632
3384,pemerintah kabupaten seram bagian timur,kantor gubernur kalimantan timur,0,0.9982426166534424
3399,pemerintah kabupaten sidoarjo,pengadilan agama sidoarjo,0,0.9982041120529176
3400,"Bukan instansi BUMN, Kementerian, Pemerintah",cls france,1,0.5865809321403503
3409,pemerintah kabupaten intan jaya,jaya seluler indonesia,0,0.9984979629516602
3611,pemerintah provinsi bali,koperasi taxi bali,0,0.9960313439369202
3622,pln batubara,pln batubara,1,0.998357117176056
3686,pemerintah kabupaten mamuju tengah,dinas tenaga kerja prov jawa tengah,0,0.9986287355422974
4888,pemerintah kabupaten lamandau,pemerintah kabupaten lamandau,1,0.998679220676422
4894,pemerintah kabupaten deli serdang,dinas pppa deli serdang,0,0.9991349577903748
5279,pt jamkrindo,pt jamkrindo,1,0.9991242289543152
5308,pt bgr,pt rizky bumi persada indah,1,0.692747950553894
5925,pt kereta api indonesia,pt itdc,1,0.9989535808563232
6448,pt pegadaian kanwil iv balikpapan,pt pegadaian kanwil iv balikpapan,1,0.9982263445854188
6570,bank bri cabang blitar,bank bri cabang blitar,1,0.9986082911491394
6573,"Bukan instansi BUMN, Kementerian, Pemerintah",sasimi,1,0.927014708518982
6574,"Bukan instansi BUMN, Kementerian, Pemerintah",dapur rindang,0,0.861395537853241
6575,pemkot surakarta,universitas muhammadiyah surakarta,1,0.6342946887016296
6578,kementerian pertanian,menteri pertanian,0,0.9974864721298218
6973,pt bank rakyat indonesia bri,pt bank bri,1,0.9985260367393494
7040,pemerintahan badung,instansi pemerintahan,0,0.9979045391082764
7055,"Bukan instansi BUMN, Kementerian, Pemerintah",notaris hendrik kusalam,0,0.723730742931366
7057,pemerintah gresik,kecamatan gresik,0,0.9989413619041444
7059,pemkot mataram,alazhar islamic university mataram,1,0.9961125254631042
7201,pt smf,pt passokorang,1,0.9629809856414796
7826,pt askrindo,pt askrindo,1,0.9983432292938232
7967,pt smf,pt,1,0.995744287967682
8212,pemerintah kabupaten tanah bumbu,pengusaha galian tanah urug,0,0.9974186420440674
8989,pemerintah provinsi sumsel,pemerintah provinsi sumsel,1,0.9991711378097534
10232,pemkab merangin,pemerintah kabupaten merangin,1,0.9980465173721312
10250,pt bank bri persero cabang ujung batu,bank bahtermas,1,0.6559709310531616
10483,pt bri cabang bojonegoro dan pt bri cabang nganjuk,pt kafila pelita sukses,1,0.648780345916748
11105,pemkab lamongan,lpse kabupaten lamongan,1,0.9556057453155518
11418,pt jakarta industrial estate pulogadung,pt absy h hasanuddin,1,0.9957112073898317
11516,pt bgr,pt asuransi jasa indonesia cab samarinda,1,0.996459662914276
12187,pemprov lampung,asn kabid pajak bapenda provinsi lampung,1,0.6542302370071411
12196,"Bukan instansi BUMN, Kementerian, Pemerintah",korporasi,0,0.921589493751526
12198,kementerian desa pdtt,desa,0,0.9976876974105836
12205,badan meteorologi klimatologi dan geofisika,direktorat barang kebutuhan pokok dan barang penting,0,0.993730902671814
12263,"Bukan instansi BUMN, Kementerian, Pemerintah",hendrianto lijaya ien nio,1,0.7963376641273499
12318,pemprov nusa tenggara timur,koordinator bazis baznas jakarta timur,1,0.9970857501029968
12503,pt dkb,pt indonesia comnets plus,1,0.9885286688804626
14137,pemkab kutai timur,pemerintah kabupaten kutai timur,1,0.9987071752548218
14174,"Bukan instansi BUMN, Kementerian, Pemerintah",instituto para a qualidade de timorleste iqtlip,0,0.5415710210800171
14298,pt vtp,pt askrindo kanwil v denpasar,1,0.9941439032554626
15360,pemerintah kota cimahi,pemerintah kota cimahi,1,0.9990257024765016
15442,pemkab sumenep,bupati sumenep,1,0.9989168643951416
15445,"Bukan instansi BUMN, Kementerian, Pemerintah",cv putra pandawa,0,0.94135844707489
15553,pemerintah kabupaten bangka selatan,dinas kesehatan provinsi sumatera selatan,0,0.999250829219818
15591,otoritas jasa keuangan,otoritas jasa keuangan,1,0.997934103012085
15615,pemkab jombang,mdb jombang,1,0.9986112117767334
15966,pemerintah kabupaten kediri,pemerintah kota kediri,1,0.9992654919624328
16497,pemkot palembang,bdk palembang,1,0.9977664947509766
17696,pemkab tanah laut,pemerintah kabupaten tanah laut,1,0.9986202716827391
17827,pemkot surakarta,dpc apsi kota surakarta,1,0.996434450149536
17830,"Bukan instansi BUMN, Kementerian, Pemerintah",optik beta,1,0.8236639499664307
17832,badan pemeriksa keuangan bpk,bpk,1,0.9981404542922974
17897,kementerian energi dan sumber daya mineral esdm,kementerian esdm,1,0.9984045624732972
18790,pemerintah provinsi sumatera utara,pemerintah provinsi sumatera utara,1,0.99922776222229
19051,pt telkom,pt jatiwangi property group,0,0.9935951828956604
19192,pemkot surabaya,pelaku usaha di surabaya,1,0.9827072024345398
19200,"Bukan instansi BUMN, Kementerian, Pemerintah",rs pelengkap,0,0.6646341681480408
19220,pln batubara pln bb,perusahaan batubara,1,0.9919580221176147
19232,badan pusat statistik provinsi bali,kepala badan konservasi borobudur,0,0.9971895813941956
19291,pt virama karya persero,virama karya,1,0.9980672001838684
19349,pt pnm,pnm investment management,1,0.9945507645606996
19357,perum bulog kanwil kaltim  kaltara,kemenkumham kanwil prov riau,1,0.9115421772003174
19365,"Bukan instansi BUMN, Kementerian, Pemerintah",developer rekanan,0,0.7996399998664856
19595,pt bank mandiri cikampek,pt bank mandiri cikampek,1,0.9991318583488464
19820,penataran angkatan laut,kepala staf angkatan laut,1,0.9856700301170348
19936,pt pupuk indonesia,pt pulau rempah indonesia,0,0.9991121888160706
406,"Bukan instansi BUMN, Kementerian, Pemerintah",rsu mitra sehat,0,0.9764885902404784
407,"Bukan instansi BUMN, Kementerian, Pemerintah",royal woodpark residences,0,0.510901689529419
740,pt pertamina persero,pt airmas perkasa,0,0.9957270622253418
791,kementerian desa pdtt,salah satu perangkat desa,0,0.9954394698143004
1668,pemerintah kota singkawang,pemerintah kota singkawang,1,0.9979543685913086
1694,komisi pemilihan umum kabupaten fakfak,kpu kabupaten fakfak,1,0.9963979721069336
2118,pemerintah kabupaten aceh besar,kedutaan besar china jabatan science counselor,0,0.9905056357383728
2191,pt kiw,pt bahana sekuritas,1,0.7164655923843384
2505,pt dana tabungan dan asuransi pegawai negeri   taspen,sd negeri 2 kedung menjangan,0,0.9893998503684998
2514,"Bukan instansi BUMN, Kementerian, Pemerintah",instalasi farmasi klinik erha skin,0,0.8294928669929504
2516,pemkab halmahera selatan,bupati halmahera selatan,1,0.9985066056251526
2744,kementerian perencanaan pembangunan nasional ppn badan perencanaan pembangunan nasional bappenas,kementerian pariwisata dan ekonomi kreatif badan pariwisata dan ekonomi kreatif,1,0.9409753680229188
2802,pt bgr,pt pelayaran bunga nusa mahakam group,1,0.5126206874847412
3326,pt dkb,pt bank central asia tbk,1,0.9707223773002625
3777,pemerintah cilegon,pemerintah kota cilegon,1,0.9986948370933532
4539,pt bank tabungan negara persero btn,bank bsi,1,0.9955655932426452
4543,inspektorat jenderal tni,inspektorat jenderal tni,1,0.9987661838531494
4936,pemerintah kota pontianak,pemerintah kota pontianak,1,0.9989761114120485
5474,pemprov sulawesi barat,kapolda kalimantan barat,1,0.9966009259223938
5915,pemerintah kabupaten kebumen,dinas pekerjaan umum dan perumahan rakyat pemerintah kota pontianak,0,0.9993194341659546
6871,pemerintah kabupaten sumba barat daya,pt bumi daya plaza,0,0.9983826875686646
7197,pt penerbitan dan percetakan balai pustaka persero,pt sun chang indonesia,1,0.9872784614562988
7456,pemerintah kabupaten aceh jaya,cv indah jaya,0,0.998376488685608
7486,bnpb provinsi jawa barat,jalan rawa buaya no8 cengkareng jakarta barat,1,0.914592146873474
8757,pemerintah kabupaten wonogiri,pemerintah kabupaten wonogiri,1,0.9984696507453918
8758,pemerintah kab kepulauan seribu,kades penandingan kec pseksu kab lahat,0,0.9965028762817384
8797,kementerian pendayagunaan aparatur negara dan reformasi birokrasi kem panrb,induk koperasi kepolisian negara inkopol,0,0.9953676462173462
8806,kemenkumham,kemenkumham,1,0.9981356859207152
9067,pt telkom,pt hardaya widya graha,0,0.9964683055877686
9190,pemerintah sidoarjo,rsud sidoarjo,0,0.9959319233894348
9531,pt pos indonesia persero,pt pos indonesia,1,0.9978932738304138
10071,pt energi management indonesia persero,pt indracipta purisatria,0,0.9971302151679992
10155,"Bukan instansi BUMN, Kementerian, Pemerintah",samsul hidayat,1,0.8925928473472595
10156,kementerian desa,kecamatan pameungpeuk desa,0,0.9971861243247986
10164,pemerintah gresik,dinas kesehatan gresik,0,0.9984729886054992
10238,pt kiw,pt syabangun bumitirta,1,0.7462981343269348
10656,pemerintah kota gorontalo,disdik pemkot gorontalo,1,0.9971300959587096
10678,komisi pemilihan umum kpu,komisi pemilihan umum,1,0.9748129844665528
11026,pt perusahaan perdagangan indonesia persero,pt bnd,1,0.9987837672233582
11076,pemerintah kota medan,dinas pppa medan,0,0.9976438879966736
11200,pt vtp,pt roatex indonesia toll system,1,0.9167790412902832
11653,"Bukan instansi BUMN, Kementerian, Pemerintah",mediatron,0,0.937315821647644
11654,"Bukan instansi BUMN, Kementerian, Pemerintah",surapita unitrans,0,0.6689608097076416
11655,kantor staf presiden,staf,0,0.9909409880638124
11824,pemerintah kabupaten kepulauan mentawai,dinas pemberdayaan masyarakat dan desa kependudukan dan pencatatan sipil provinsi kepulauan riau,0,0.9991531372070312
12641,pemerintah kota probolinggo,pemerintah kota probolinggo,1,0.9989081621170044
12816,kementerian kelautan dan perikanan,kementerian pendidikan kebudayaan riset dan teknologi,0,0.9984757304191588
13241,pt jakarta industrial estate pulogadung,pt jakarta propertindo perseroda,1,0.9217193126678468
13250,kementerian pendidikan kebudayaan riset dan teknologi,satuan pendidikan,0,0.9950149655342102
13612,pemerintah kabupaten probolinggo,pemerintah kabupaten probolinggo,1,0.998991072177887
14848,pemprov dki jakarta,pt sasa inti jakarta,1,0.9961745738983154
14865,kemen bumn,rumah bumn wonogiri,1,0.8864474892616272
14933,kementerian energi dan sumber daya mineral esdm,ppbmn kementerian esdm,1,0.998081922531128
14934,"Bukan instansi BUMN, Kementerian, Pemerintah",dsme,1,0.9410873651504515
14939,badan nasional pencarian dan pertolongan bnpp,ex advisor organisasi dan sdm,1,0.9394854307174684
15833,pemerintah kabupaten kuningan,pemerintah kabupaten kuningan,1,0.9993226528167723
16196,"Bukan instansi BUMN, Kementerian, Pemerintah",one care solution,1,0.922258198261261
16591,pemerintah kabupaten puncak jaya,pt tata griya jaya,0,0.9984742999076844
16592,indonesia financial group ifg,ceo asri group,1,0.95222669839859
16657,pemerintah provinsi sulut,smk negeri 1 palasah cabang dinas pendidikan wilayah ix provinsi jawa barat,0,0.9969921112060548
16789,"Bukan instansi BUMN, Kementerian, Pemerintah",laboratorium klinik budi sehat,0,0.9726532697677612
16790,"Bukan instansi BUMN, Kementerian, Pemerintah",ksp,1,0.9957547187805176
16869,kominfo,balai besar pengujian perangkat telekomunikasi kementerian kominfo,1,0.7622277736663818
16883,pemerintah kota surabaya,politeknik pelayaran surabaya,0,0.9980042576789856
17505,pemerintah kabupaten maros,pemerintah kabupaten maros,1,0.998529314994812
18087,pemerintah provinsi nusa tenggara barat,universitas nusa putra,0,0.997618854045868
18089,"Bukan instansi BUMN, Kementerian, Pemerintah",cv karuniacipta buana,0,0.9702765345573424
18102,bank mandiri cabang gunungsari,cv mitra mandiri,1,0.6505025029182434
18485,pt telkom indonesia persero tbk,pt panca konstruksi,0,0.9970927238464355
18629,pt smf,pt hwi,1,0.9929494857788086
18872,badan siber dan sandi negara bssn,bssn,1,0.997448980808258
19072,pemerintah kabupaten lombok barat,dinas perindustrian dan perdagangan provinsi sumatera barat,0,0.9986721277236938
19156,bank mandiri pematang siantar kcp sutomo,bank mandiri pematang siantar kcp sutomo,1,0.998337984085083
19544,pemerintah kota pagar alam,pt bumi alam persada waterboom pesona modern,0,0.9963268637657166
357,pemerintah kabupaten kepulauan seribu,pemerintah kabupaten indragiri hilir,0,0.9995107650756836
752,"Bukan instansi BUMN, Kementerian, Pemerintah",rs mmc,1,0.9724233150482178
760,pemkot surabaya,hotel jw marriot surabaya,1,0.8844127655029297
1112,pt sarana multi infrastruktur persero pt smi,pt smi,1,0.9988886713981628
1437,bank rakyat indonesia cabang sintang,bank rakyat indonesia cabang sintang,1,0.9986866116523744
1439,"Bukan instansi BUMN, Kementerian, Pemerintah",kolektif,0,0.9315873980522156
1568,pt perkebunan nusantara iii,bapenda uppd kota semarang iii,1,0.9553630352020264
1666,pemerintah kabupaten aceh tenggara,bpma badan pengelola migas aceh,0,0.9982695579528807
1671,"Bukan instansi BUMN, Kementerian, Pemerintah",mahasiswa s3,0,0.8354218602180481
1718,pemkab sumedang,bank sumedang,1,0.8714596033096313
1848,kementerian pemberdayaan perempuan dan perlindungan anak,kementerian pemberdayaan perempuan dan perlindungan anak,1,0.9962448477745056
2466,pemerintah kabupaten gowa,pemerintah kabupaten gowa,1,0.9988980293273926
3050,"Bukan instansi BUMN, Kementerian, Pemerintah",ptpama kpc,1,0.972594916820526
3051,kementerian desa,kepala desa kertonegoro,0,0.9983032941818236
3064,pemerintah kabupaten tanjung jabung timur,desa suban kecamatan tanjung sakti pumu,0,0.9977651834487916
3132,pemerintah kota yogyakarta,politeknik kesehatan karya husuda yogyakarta,0,0.9965938925743104
3151,pt jakarta industrial estate pulogadung,kpknl jakarta v,1,0.9540935754776
3196,lembaga kebijakan pengadaan barang jasa pemerintah lkpp,perusahaan pengurusan jasa kepabeanan,0,0.9855560660362244
3213,arsip nasional ri,arsip nasional republik indonesia,1,0.9963885545730592
3617,pt smf,pt bank pembangunan daerah jawa barat dan banten tbk,1,0.9477365612983704
4121,pemerintah kabupaten gresik,rs semen gresik,0,0.9977134466171264
4246,kementerian desa,badan koordinasi nasional desa indonesia,0,0.9979968667030334
4680,pemerintah kabupaten muko muko,pemerintah bangladesh,1,0.8674394488334656
5201,pemkab aceh jaya,hotel bahtera jaya abadi,0,0.9978838562965392
5595,pemkot pematang siantar,staf exim pt siantar top tbk,1,0.6389811038970947
5709,bgr indonesia,bank indonesia pematangsiantar,1,0.8673742413520813
7056,pemkab sumedang,pemerintah kabupaten sumedang,1,0.9990543723106384
7061,lembaga administrasi negara,lembaga administrasi negara,1,0.9979695677757264
7131,"Bukan instansi BUMN, Kementerian, Pemerintah",rina fransisca tjong wajib pajak,0,0.6969431042671204
7574,pemkab tabalong,pemda kabupaten tabalong,1,0.9989859461784364
7578,pt bri,bri,1,0.9970001578330994
7621,pemkab lebak,kejaksaan negeri lebak,1,0.7906395196914673
8826,pemkab tanah datar,pemerintah kabupaten tanah datar,1,0.9990648627281188
8968,pt smf,komisaris pt blue bird,1,0.9876920580863952
9210,pemkab serang,bpr serang,1,0.9967689514160156
9216,pemerintah lamongan,universitas muhammadiyah lamongan,0,0.9978346228599548
9722,bank negara indonesia,pt bank negara indonesia persero tbk,1,0.9964466691017152
10412,pemprov ntt,pt ntt emerio,1,0.9931967258453368
10413,"Bukan instansi BUMN, Kementerian, Pemerintah",sesuai data lampiraan,1,0.6173616051673889
10806,pt bank rakyat indonesia,pt bank rakyat indonesia persero tbk,1,0.9966765642166138
11203,pemerintah kabupaten ogan komering ulu,ketua forum kades kec mulak ulu kades karang lebak,0,0.9983204007148744
11288,indonesia financial group ifg,bank syariah indonesia bsi kc soekarno hatta malang,1,0.956598460674286
12657,pemerintah kabupaten tegal,pemerintah kabupaten tegal,1,0.9988909363746644
12659,"Bukan instansi BUMN, Kementerian, Pemerintah",ketua dpp rei,1,0.966374933719635
12704,pt bank tabungan negara persero tbk btn,bank bjb,1,0.9853366017341614
13591,pemerintah kabupaten malang,pemerintah kabupaten malang,1,0.998582124710083
13953,pt bank tabungan negara persero btn,bank bjb bank bukopin bank btpn bank bsi,1,0.9852749109268188
13955,pemkab karanganyar,bumd kab karanganyar,1,0.9956858158111572
13958,"Bukan instansi BUMN, Kementerian, Pemerintah",panitia ok oce,1,0.7177528142929077
14025,badan penyelenggara jaminan sosial kesehatan bpjs kesehatan,badan penyelenggara jaminan sosial kesehatan,1,0.9622910022735596
14048,pemkot mataram,universitas islam negri uin mataram panitia the 3rd geotourism festival international conference,1,0.8310596346855164
14050,"Bukan instansi BUMN, Kementerian, Pemerintah",instansi terlampir,0,0.8662349581718445
14459,pemerintah kabupaten jeneponto,dinas kelautan perikanan dan peternakan kabupaten cianjur,0,0.99933260679245
14565,kemendikbudristek,kemendikbudristek,1,0.9979713559150696
14566,"Bukan instansi BUMN, Kementerian, Pemerintah",ptpama indominco,0,0.8304857015609741
14707,pt smf,pt kahatex,1,0.9811480641365052
14949,"Bukan instansi BUMN, Kementerian, Pemerintah",notarisppat,1,0.9255939722061156
14993,bgr indonesia,yayasan plan international indonesia,1,0.5279260873794556
15485,pt reasuransi indonesia utama persero,pt iwip,1,0.9975329637527466
15528,pemerintah kabupaten malang,rs aisyiah malang rumah sakit,0,0.996057391166687
15611,pemerintah kab kepulauan seribu,badan pengelola pendapatan daerah uppd kab purworejo,0,0.9979965090751648
15641,pt bgr,pt elo karsa utama,1,0.691725492477417
16296,pt dirgantara indonesia persero,pt pico tba,1,0.9865461587905884
16410,pt bgr,pt indonesia comnets plus icon,1,0.8848119378089905
16959,pt superintending company of indonesia,house of trusmi,0,0.8882410526275635
16961,"Bukan instansi BUMN, Kementerian, Pemerintah",pemdes blimbingreko,0,0.5465933680534363
16963,hotel natour,aston hotel,0,0.9842073917388916
16967,badan penyelenggara jaminan sosial kesehatan,pcc pratama cendekia consultant sebagai penyelenggara workshop,0,0.9426277875900269
16973,"Bukan instansi BUMN, Kementerian, Pemerintah",rs pelengkap medical center,0,0.8577313423156738
17357,pt askrindo,pt askrindo kc banjarmasin,1,0.9952194094657898
17747,pemkot yogyakarta,pt madu baru pabrik gula pabrik spiritus madukismo yogyakarta,1,0.8810359835624695
17752,"Bukan instansi BUMN, Kementerian, Pemerintah",rumah sakit fatma,0,0.8664091229438782
17753,"Bukan instansi BUMN, Kementerian, Pemerintah",emc,1,0.997359573841095
17826,pt kiw,pt susi air,1,0.9508458971977234
18137,pemkab temanggung,pd bkk temanggung,1,0.9960891008377076
18382,pt pindad,pt pindad persero,1,0.9993207454681396
18686,pt bgr,direktur utama pt indosat oorodeo hutchison,1,0.8032866716384888
19043,indonesia financial group,group musik,0,0.9737446904182434
19070,pt bgr,pt karoseri anak bangsa,1,0.9699244499206544
19662,pt boma bisma indra persero cabang jakarta,hrd perusahaan pt sumber alfaria trijaya,1,0.8466283679008484
