instansi;sinonim;pred;prob
kementerian perindustrian;Deputi Bidang Investasi Kementerian Pariwisata dan Ekonomi Kreatif;0;0.9965885877609252
pt jasa marga;PT Jasa Marga;1;0.9986658096313475
pemkab nias barat;BKPSDM  Kabupaten Nias Barat;1;0.9989789724349976
kementerian koperasi dan ukm;Kementerian Koperasi dan UKM RI;1;0.9985798597335817
pt bgr;PT Bank Central Asia Tbk;1;0.961873471736908
pemprov ntt;PT NTT (Emerio);1;0.9923866987228394
pemkab musi rawas;Pemerintah Kabupaten Musi Rawas;1;0.9988994598388672
pemkab temanggung;PT CJWI Temanggung;1;0.9974161386489868
pemerintah provinsi sumatera selatan;Kecamatan Lahat Selatan;0;0.9992444515228271
perum perhutani divisi regional jawa barat dan banten;RUSTINI HARTATI, SH., M.Kn dan Staf;1;0.8228548169136047
kementerian pendayagunaan aparatur negara dan reformasi birokrasi kem panrb;Dosen Pasca Sarjana Fakultas Hukum UI (Menteri Agraria dan Tata Ruang Indonesia ke-13);0;0.9936606287956238
badan pusat statistik provinsi bali;Pihak Pasar Nanggelan, Bali yang dinilai;0;0.9671419262886048
inspektorat jenderal tni;Inspektorat Jenderal TNI;1;0.9987388253211976
pemkot jayapura;Inspektorat Kabupaten Jayapura;1;0.9951240420341492
pemkab serang;Disnaker Kab. Serang;1;0.9951064586639404
pemkab magetan;Kab Magetan;1;0.9971998929977416
pemkot banjarmasin;PT. Asuransi Tri Pakarta Cabang Banjarmasin;1;0.9786434769630432
pemerintah kabupaten gresik;RS Semen Gresik;0;0.9984413981437684
pupuk indonesia;Badan Koordinasi Nasional Desa Indonesia;0;0.9984176158905028
pt pann pembiayaan maritim persero;PT Timah (Persero), Tbk;0;0.9887751340866088
pt bank mandiri cabang cikampek;Direktur CV. Edlin Lestari Mandiri;1;0.6275068521499634
bpjs ketenagakerjaan;BPJS Ketenagakerjaan Cabang Sidoarjo;1;0.9958064556121826
angkasa pura i;PT Angkasa Pura I (Persero);1;0.9985018968582152
pt smf;PT Distriversa Buana Mas Semarang;1;0.956419050693512
pemerintah kota metro;Pemerintah Kota Metro;1;0.9985693693161012
pemerintah kabupaten karanganyar;GP Farmasi Karanganyar;0;0.9973548650741576
pemerintah kabupaten empat lawang;PT LAWANG AGUNG SAKTI;0;0.9965900182724
bri insurance;BRI Insurance;1;0.997822880744934
pt telkom;PT Jatiwangi Property Group;0;0.9932066202163696
badan nasional pengelola perbatasan;Pengelola Apartemen Aspen;0;0.9799837470054626
kementerian desa;Mantan PJ Kepala Desa Kalidandan;0;0.995971381664276
pt jiwasraya;PT Citra Riantara Sejahtera;0;0.9971611499786376
pt indah karya;PT Prima Karya Propertindo;0;0.996737539768219
pt kiw;PT Audie Building Industry;1;0.9131683111190796
pemprov nusa tenggara barat;Pemerintah Provinsi Nusa Tenggara Barat;1;0.9989492297172546
pt bgr;PT TIMAH TBK;1;0.6637550592422485
pemerintah kabupaten lanny jaya;Hotel Bahtera Jaya Abadi;0;0.997645914554596
pemkab nias barat;BKD Kabupaten Nias Barat;1;0.9983773231506348
bps provinsi sulawesi utara;BPS PROVINSI SULAWESI UTARA;1;0.9990612864494324
pemerintah kabupaten timteng selatan;Dinas Kesehatan Provinsi Kalimantan Selatan;0;0.9990586638450624
jasa marga;Penyedia jasa instalatir listrik;0;0.9894373416900636
pemerintah bandung barat;Pemerintah Kabupaten Bandung Barat;1;0.999112069606781
pemprov banten;Balai Teknik Perkeretaapian Wilayah Jakarta dan Banten;1;0.910960018634796
kementerian sekretariat negara;Kementerian Sekretariat Negara;1;0.9984094500541688
debitur bni;tidak diketahui namun diduga debitur BNI;1;0.9851877689361572
kemendikbudristek;Pegawai Kemendikbudristek;1;0.9924301505088806
indonesia eximbank;Malaysia Eximbank;1;0.9969294667243958
pt pgn;PT. PGN;1;0.9984830021858216
pemerintah kabupaten asahan;Dinas Kesehatan Asahan;0;0.998650848865509
pt indra karya;PT Prasasti Nusa Lestari;0;0.9979159235954284
bank mandiri taspen;Bank Mandiri Taspen;1;0.998640239238739
pemprov di yogyakarta;PNS (Staf di kelurahan Pemaluan);0;0.977146565914154
pt bgr;Direktur Pengawas Umum PT Kartika Cipta Indonesia;1;0.5334477424621582
pemkot pasuruan;SMK PGRI 1 Kota Pasuruan;1;0.9682186841964722
pemkab lahat;Kades Penandingan Kec. Pseksu Kab Lahat;1;0.827339768409729
pt smf;PT Bank Danamon Indonesia Tbk;1;0.9085512161254884
pemerintah provinsi sulbar;Dinas Komunikasi dan Informatika Provinsi Papua;0;0.9986867308616638
indah karya;RS Pondok Indah;0;0.9882042407989502
kementerian pekerjaan umum dan perumahan rakyat pupr;Dinas PUPR;1;0.997719705104828
pelindo i;PT. Pelindo;1;0.7894218564033508
pemerintah kabupaten sumba tengah;Pemerintah Kabupaten Sumba Tengah;1;0.9983844757080078
kemen pupr ri;PUPR;1;0.9979875087738036
pemkab sumba tengah;Wakil Bupati Sumba Tengah;1;0.9567381143569946
pemkot banjarmasin;RS Ciputra Banjarmasin;1;0.9425042271614076
pt virama karya persero;VIRAMA KARYA;1;0.9978231191635132
batan;BATAN -- BRIN;1;0.9607824683189392
pt energi management indonesia;PT Gitajaya Makmur/ Manajemen tempat wisata Lembah Tumpang;0;0.994390308856964
kementerian komunikasi;kementerian pendidikan, kebudayaan, riset, dan teknologi;0;0.9979447722434998
pt bgr;PT Keska Lestari;1;0.7827855944633484
indofarma global medika cabang;Tim Bahasa Global;0;0.9626951813697816
pemkot balikpapan;PT. SSI Balikpapan;1;0.997364342212677
pt askrindo;PT. ASKRINDO KC Banjarmasin;1;0.9962406158447266
pemerintah kabupaten padang lawas;Balai Latihan Kerja Padang;0;0.9981727600097656
pt smf;PT Arkiatama dan Arbasel;1;0.7532373070716858
pemerintah balangan;PT. RIZKY BUMI BALANGAN;1;0.9664080142974854
pemkab boyolali;Pemerintah Kabupaten Boyolali;1;0.998759150505066
pt garuda indonesia;Garuda Food;0;0.9926694631576538
garam;PT. Gudang Garam & PT. Tri Sakti Purwosari;0;0.9857649207115172
pt pupuk indonesia;Pupuk Indonesia;1;0.9985405206680298
pt perusahaan listrik negara persero pln;PT Wijaya Mandiri Tintex;0;0.9933459758758544
pt bgr;PT Kereta Commuter Indonesia;1;0.8715476989746094
pt bgr;PT Airmas Perkasa;1;0.5392701625823975
indra karya indonesia;Universitas Islam Indonesia;0;0.998001992702484
pt pos indonesia kc cirebon;PT. Pos Indonesia KC Cirebon;1;0.998042106628418
ombudsman republik indonesia ori;Ombudsman Republik Indonesia;1;0.9970054030418396
pemerintah provinsi bali;Koperasi Taxi Bali;0;0.9974914789199828
kementerian desa pdtt;Desa;0;0.9974623918533324
pemerintah kabupaten mamberamo raya;Dinas Kesehatan Kabupaten Kampar;0;0.999257504940033
pemerintah provinsi sulawesi utara;Pemerintah Provinsi Kalimantan Utara;1;0.9990506768226624
bni kantor wilayah 12;BNI KANTOR WILAYAH 12;1;0.997535228729248
pemerintah kabupaten bandung barat;bapenda Kabupaten Bandung Barat;1;0.9935674071311952
kementerian desa;Desa Tohudan;0;0.9984827637672424
pemerintah provinsi nusa tenggara barat;PT. Buran Nusa Respati & Group;0;0.9880115389823914
otoritas jasa keuangan;Direktorat Jenderal Perimbangan Keuangan;0;0.9950538873672484
pt bank bni kantor cabang karawang;MUFG Bank;1;0.9833714365959167
bank negara indonesia;PT Bank DBS Indonesia;1;0.999320387840271
pemerintah kota singkawang;Pemerintah Kota Singkawang;1;0.9990864992141724
pemerintah kota pagar alam;PT. Bumi Alam Persada (Waterboom Pesona Modern);0;0.9953110814094543
pemkot lhokseumawe;Danlanal Lhokseumawe;1;0.9961833357810974
pemerintah kota batam;Pemerintah Kota Batam;1;0.9994519352912904
pemprov lampung;Pemerintah Provinsi Lampung;1;0.9579322338104248
pemerintah kabupaten bolaang mongondow timur;Pemerintah Kabupaten Bolaang Mongondow Timur;1;0.9990919828414916
asuransi sosial angkatan bersenjata republik indonesia;Panitia Proyek Sosial PK LPDP;1;0.9377217888832092
pt pegadaian kanwil iv balikpapan;PT. Pegadaian Kanwil IV Balikpapan;1;0.9982159733772278
kementerian luar negeri;Kementerian Perdagangan;0;0.9975537657737732
kementerian koperasi dan ukm;Koperasi Nusantara;0;0.996561586856842
mahkamah konstitusi;Mahkamah;0;0.9921830296516418
pemprov kalimantan tengah;Balai Keselamatan Kerja Provinsi Jawa Tengah;1;0.9113538265228271
pemprov jambi;BPOM di Jambi;1;0.9930548071861268
pemkab malang;Pemerintah Kabupaten Malang;1;0.998789608478546
pemerintah kabupaten ciamis;Pemerintah Kabupaten Ciamis;1;0.9989466071128844
pemerintah kabupaten kapuas hulu;Pemerintah Desa Kalangan Kecamatan Gemolong Kabupaten Sragen;0;0.9993151426315308
pt askrindo;PT. ASKRINDO;1;0.9979454874992372
pemprov kalsel;DPD APERSI KALSEL;1;0.9841629266738892
pt yodya karya persero region i;PT Yodya Karya;1;0.9978216886520386
kementerian pariwisata dan ekonomi kreatif;Pelaku Kreatif;0;0.9918141961097716
pt bgr;PT OXY GEMILANG JAYA;1;0.8583199381828308
pemkab dairi;Badan Keuangan dan Aset Daerah Pemkab Dairi;1;0.9938096404075624
pln persero;PT PLN Persero;1;0.998044490814209
badan pengawas obat dan makanan bpom;Badan Pengawas Obat dan Makanan;1;0.9229360222816468
kacab bri samarinda 1;SDN Sambeng 1;0;0.559440016746521
pemkot yogyakarta;Madrasah Mu'allimaat Muhammadiyah Yogyakarta;1;0.8905624747276306
pemkot singkawang;Hallo Mart Singkawang;1;0.9937593936920166
pemkab jombang;Klinik Mata Jombang;1;0.6234438419342041
pemkot cirebon;Bank BJB Cabang Cirebon;1;0.9955623149871826
pemkot bitung;KKP Kelas III Bitung;1;0.9917858242988586
pemkab karanganyar;BUMD Kab. Karanganyar;1;0.986539900302887
kacab bri samarinda 1;SMK 1 Pinrang;1;0.6621342301368713
pemerintah jepara;Pemerintah Kabupaten Demak;1;0.9990600943565368
pemerintah bengkulu selatan;Dinas Kesehatan Provinsi Sumatera Selatan;0;0.9992278814315796
badan pengatur hilir minyak dan gas bumi bph migas;CV. Bumi Indo;0;0.9752627015113832
pt asuransi jasa indonesia persero;PT. Asuransi Jasa Indonesia Cab. Samarinda;1;0.9937158226966858
nasabah bank mandiri pemilik toko parfum;TOKO CENTRAL CCTV;0;0.8857517838478088
pt bank mandiri cabang cikampek;Mandiri Club, Prudential Life Assurance, Visionet Internasional, Pefindo Biro Kredit;1;0.8337792754173279
pt adhi;PT Milenium Kreasi;0;0.9975065588951112
bgr indonesia;Fujitsu Indonesia;1;0.9672855734825134
pemerintah kota bitung;PERUMAHAN VILLA KOTA INTAN;0;0.998461127281189
pemerintah kabupaten sumba timur;Dinas Kesehatan Sumba Timur;0;0.999320387840271
pt asuransi kredit indonesia;PT. ASURANSI KREDIT INDONESIA;1;0.9987708926200868
badan penyelenggara jaminan sosial ketenagakerjaan bpjamsostek;PCC (PRATAMA CENDEKIA CONSULTANT) SEBAGAI PENYELENGGARA WORKSHOP;1;0.8684021234512329
pemkot surakarta;DPC APSI Kota Surakarta;1;0.9927064776420592
pemerintah kabupaten intan jaya;CV. Jaya Setya Plastik;0;0.9976995587348938
pemerintah kabupaten aceh timur;PT. Langkat Laut Timur;0;0.999001443386078
indonesia tourism development coporation;PT. CJ Feed and Care Indonesia;1;0.993443250656128
perseta asabri pensiunan polri;Pensiunan;0;0.8699392676353455
pemkab tanah laut;Pemerintah Kabupaten Tanah Laut;1;0.9988973140716552
kementerian desa pembangunan daerah tertinggal dan transmigrasi;Desa Songgodadi Kec. Petungkriyono;0;0.9929410219192504
pemkot sorong;kanwil DJBC papua, kanwil sulbagsel, DJBC sorong;1;0.9609045386314392
pt garuda indonesia;PT Garuda UKN;1;0.997426688671112
pemkab sumenep;Inspektorat Kabupaten Sumenep;1;0.9986395239830016
pemkab bangka;CV. Anugerah Semesta Bangka (Otak-otak ase);1;0.9877123236656188
pt bank bni kantor cabang karawang;PT Bank BNI Kantor Cabang Karawang;1;0.9984418749809264
pemkab malinau;Ketua DPRD Kabupaten Malinau;1;0.9032770991325378
pemerintah kalimantan barat;Pemerintah Provinsi Kalimantan Barat;1;0.9993209838867188
kementerian informatika;Kementerian Pendidikan, Kebudayaan, Riset, Dan Teknologi;0;0.9979185461997986
kementerian pemberdayaan perempuan dan perlindungan anak;Kementerian Pemberdayaan Perempuan Dan Perlindungan Anak;1;0.9959563612937928
bank mandiri cabang gunungsari;Bank Mandiri cabang Gunungsari;1;0.9979009628295898
pt bank mandiri;Bank Jago;0;0.9962931275367736
bgr indonesia;IIA Indonesia;1;0.972146451473236
mahkamah konstitusi;Mahkamah Konstitusi;1;0.9982421398162842
bnsp republik indonesia;Bank Syariah Indonesia (BSI) KC Soekarno Hatta, Malang;1;0.9812218546867372
kementerian hukum dan ham;Advokat/Kuasa Hukum;0;0.9794825911521912
bgr indonesia;Asosiasi Blockchain Indonesia;1;0.7699381709098816
komisi pengawas persaingan usaha ri;Pelaku usaha UMKM Pangan;0;0.9916468858718872
pemerintah cimahi;Pemerintah Kota Cimahi;1;0.9990390539169312
pemkab subang;DPRD Kab. Subang;1;0.9555384516716005
kementerian koordinator bidang perekonomian;Kementerian Koordinator Bidang Perekonomian;1;0.9984769225120544
pemerintah kabupaten batang;PT Jasamarga Semarang Batang;0;0.9985224604606628
bri kacap banjarnegara;BRI kacap Banjarnegara;1;0.9981217980384828
pemprov sumatera barat;Wakil Gubernur Sumatera Barat;1;0.9725291728973388
pt danareksa;PT Busana Remaja Agracipta;0;0.9947133660316468
pemerintah surakarta;Universitas Slamet Riyadi Surakarta;0;0.9957433342933656
pt bank mandiri;Bank Woori Saudara;0;0.9972077012062072
pemkab jombang;RSUD Jombang;1;0.8564490079879761
kemen pupr;Kementerian PUPR;1;0.998134195804596
pemerintah kabupaten mahakam ulu;PT. Pelayaran Bunga Nusa Mahakam & Group;0;0.9948699474334716
pemerintah kabupaten bener meriah;Desa Sendangsari, Kecamatan Bener;0;0.9968920350074768
bp batam;BP Batam;1;0.998187243938446
kemenkumham;Kemenkumham;1;0.9975714087486268
pt kawasan industri lampung;ASN Kabid Pajak Bapenda Provinsi Lampung;1;0.6293067336082458
pt jakarta industrial estate pulogadung;PT Jakarta Propertindo (Perseroda);1;0.704383134841919
pemerintah kota tanjung balai;DESA SUBAN KECAMATAN TANJUNG SAKTI PUMU;0;0.9966309666633606
pt bgr;PT Palawi Risorsis;1;0.6900006532669067
pemkot malang;Bank Syariah Indonesia Malang;1;0.9883660078048706
pt dkb;PT Pembangkitan Jawa-Bali (PT PJB);1;0.987762212753296
kementerian hukum dan ham;Hukum Universitas Nusa Cendana;0;0.9964460730552672
pt perusahaan listrik negara;Perusahaan Swasta;0;0.9948497414588928
kementerian desa pdtt;Desa Patobong;0;0.997610569000244
kementerian pendidikan kebudayaan riset dan teknologi;kementerian pendidikan, kebudayaan, riset dan teknologi;1;0.73015958070755
bank negara indonesia;PT. Bank Negara Indonesia (Persero) Tbk;1;0.9964869022369384
kementerian energi dan sumber daya mineral esdm;Kementerian ESDM;1;0.9978663325309752
pt bgr;PT RIANDA USAHA MANDIRI;1;0.629436731338501
pt pelabuhan indonesia persero;Pelabuhan;1;0.6666874885559082
pt indra karya;PT. ANGGORO KARYA;0;0.9952464699745178
pemerintah kota surakarta;Universitas Muhammadiyah Surakarta;0;0.9970678687095642
nasabah bank mandiri pemilik toko parfum;Toko Muhanah;0;0.8424031138420105
bri kc dmpu;BRI KC Dmpu;1;0.9979851245880128
pemerintah kabupaten sidoarjo;RSUD Sidoarjo;0;0.9971466660499572
pt perusahaan listrik negara;Kontraktor Listrik;0;0.9896013140678406
pemerintah kota probolinggo;Pemerintah Kabupaten Probolinggo;1;0.9993027448654176
pt virama;PT Kordon Putra Sinergi;0;0.9941388368606568
pt pegadaian kanwil iv balikpapan;KEMENKUMHAM KANWIL PROV RIAU;1;0.915065348148346
pemerintah provinsi dki jakarta;Mandarin Oriental Jakarta;0;0.9969593286514282
pemerintah kabupaten tana toraja;Pemerintah Desa Kedawong Diwek;0;0.9990578293800354
kementerian transmigrasi;Kementerian Pemuda Dan Olahraga;0;0.9980977177619934
jamkrindo;PT. Jamkrindo Kanwil VII Banjarmasin;1;0.9943004846572876
pt taman wisata candi;PT. Relasi Laksana Wisata;0;0.9801017045974731
pt bri;BRI;1;0.9969525337219238
pt jiwasraya;PT ASURANSI TRI PAKARTA;0;0.9961404204368592
pt waskita karya cabang bali;ITP Markandeya Bali;1;0.993299961090088
pt garuda indonesia;PT. BANGUN INTI SUKSES INDONESIA;0;0.9952654838562012
bank bri;Bank BRI Cab Fak-Fak;1;0.99861741065979
bri cabang temanggung;PD BPR BKK Temanggung;1;0.996717631816864
jamkrindo;PT. Jamkrindo;1;0.9988559484481812
kemendagri;Dharma Wanita Persatuan Kemendagri;1;0.8668601512908936
perum perumnas;Perum Perumnas Proyek Lampung;1;0.9897940158843994
pt garuda indonesia;PT. Garuda Indonesia;1;0.9973257780075072
kejaksaan negeri kota kediri;Kepala Seksi Intelejen Kejaksaan Negeri Kota Kediri;1;0.9952085614204408
pemkot semarang;Mahasiswa Universitas Diponegoro, Semarang;1;0.7893645763397217
pemerintah kabupaten aceh barat daya;PT. Bumi Daya Plaza;0;0.9983768463134766
pemerintah kabupaten buton tengah;DINAS TENAGA KERJA PROV JAWA TENGAH;0;0.9984250068664552
pemkab sumenep;Bupati Sumenep;1;0.9964751601219176
pt telkom;PT VICTORY CHINGLUH;0;0.9944829344749452
pt smf;PT Cinere Serpong Jaya;1;0.6046866178512573
bank negara indonesia;Pegawai Bank Negara Indonesia;1;0.9947570562362672
nasabah bank mandiri pemilik toko parfum;Pemilik d'Qta Aja Resto;0;0.6194750666618347
lpsk ri;Staf Ahli Bapak Sarmudji DPR RI Komisi VI;1;0.9527408480644226
pt bank tabungan negara persero tbk btn;BANK BJB;1;0.9835488200187684
pemkot palembang;Bappeda Kota Palembang;1;0.99785977602005
pemerintah kabupaten temanggung;Bank Surya Yudha Temanggung;0;0.9972630739212036
pemkab serang;Pemerintah Kota Serang;1;0.9989996552467346
pemerintah kabupaten malinau;Pemerintah Kabupaten Malinau;1;0.9987429976463318
kementerian hukum dan ham;Operator Desa Kalidandan dan Desa Blimbing;0;0.9984890222549438
pemerintah kabupaten kutai timur;Pemerintah Kabupaten Kutai Timur;1;0.9983972907066344
pt smf;PT Hariff;1;0.9835354089736938
pt reasuransi internasional indonesia;PT PICO TBA;1;0.98812335729599
pt semen indonesia;PT. Semen Jakarta;1;0.6539047956466675
pt dana tabungan dan asuransi pegawai negeri   taspen persero;Asuransi Jiwa Sinarmas;0;0.9891539216041564
pemkab gianyar;Kabupaten Gianyar;1;0.9947432279586792
pemkab wonogiri;PT. DELTOMED WONOGIRI;1;0.9962019324302672
indonesia re;Ikatan Kosultan Pajak Indonesia (IKPI) Cabang Jakarta Barat;1;0.9075081944465636
kementerian pendidikan kebudayaan riset dan teknologi;Hotel Vasa dan Hotel Bumi;0;0.9976577758789062
pt bri cabang bojonegoro dan pt bri cabang nganjuk;Babk BJB cabang Karawang;1;0.9970541000366212
