instansi,status,reference,similiarity
komisi yudisial,yes,ky,0.3120504915714264
komisi yudisial,yes,komisi yudisial (ky),0.7387329936027527
komisi yudisial,no,anggota dpr ri komisi ix,0.5102442502975464
komisi yudisial,no,komisi penyiaran indonesia,0.6047002077102661
badan koordinasi penanaman modal (bkpm),yes,kementrian investasi/bkpm,0.6458477973937988
badan koordinasi penanaman modal (bkpm),yes,kementrian investasi,0.4748488664627075
badan koordinasi penanaman modal (bkpm),no,bbkpm surakarta,0.22922782599925995
badan koordinasi penanaman modal (bkpm),no,dinas penanaman modal dan pelayanan terpadu satu pintu,0.557923436164856
badan pengkajian dan penerapan teknologi (bppt),yes,bppt,0.531184196472168
badan pengkajian dan penerapan teknologi (bppt),yes,perwakilan bppt,0.40522271394729614
badan pengkajian dan penerapan teknologi (bppt),no,"kementerian pendidikan, kebudayaan, riset, dan teknologi",0.5439339876174927
badan pengkajian dan penerapan teknologi (bppt),no,"badan pengkajian kebijakan, iklim, dan mutu industri",0.6438291668891907
badan pengusahaan kawasan perdagangan bebas dan pelabuhan bebas batam,yes,badan pengusahaan batam (bp batam),0.6870374083518982
badan pengusahaan kawasan perdagangan bebas dan pelabuhan bebas batam,yes,bp batam,0.4290753901004791
badan pengusahaan kawasan perdagangan bebas dan pelabuhan bebas batam,no,pemerintah kota batam,0.5181909799575806
badan pengusahaan kawasan perdagangan bebas dan pelabuhan bebas batam,no,universitas batam,0.40684667229652405
badan siber dan sandi negara (bssn),yes,bssn,0.40769603848457336
badan siber dan sandi negara (bssn),yes,badan siber dan sandi negara,0.8135631084442139
badan siber dan sandi negara (bssn),no,pt beritakota media siber (beritakota.id),0.5610310435295105
badan siber dan sandi negara (bssn),no,universitas siber asia,0.5015411376953125
komisi pemilihan umum (kpu),yes,kpu kabupaten memberamo raya,0.40215837955474854
komisi pemilihan umum (kpu),yes,komisi pemilihan umum kabupaten fakfak,0.5946080088615417
komisi pemilihan umum (kpu),no,kpu bc tipe c soekarno hatta,0.22529640793800354
komisi pemilihan umum (kpu),no,kpu bc tipe b batam,0.19942069053649902
lembaga ketahanan nasional (lemhanas),yes,lembaga ketahanan nasional,0.6675947308540344
lembaga ketahanan nasional (lemhanas),yes,lemhannas ri,0.44655007123947144
lembaga ketahanan nasional (lemhanas),no,dewan ketahanan nasional (wantannas),0.7619930505752563
lembaga ketahanan nasional (lemhanas),no,lembaga penerbangan dan antariksa nasional (lapan),0.6580210328102112
badan pengelola keuangan haji (bpkh),yes,badan pengelola keuangan haji,0.7309930324554443
badan pengelola keuangan haji (bpkh),yes,bpkh,0.428230881690979
badan pengelola keuangan haji (bpkh),no,badan pengelola keuangan,0.6394174695014954
badan pengelola keuangan haji (bpkh),no,bpk,0.4254617393016815
badan pengelola keuangan haji (bpkh),no,badan pengelola haji,0.6512895822525024
badan penyelenggara jaminan sosial ketenagakerjaan (bpjamsostek),yes,badan penyelenggara jaminan sosial ketenagakerjaan,0.7725663781166077
badan penyelenggara jaminan sosial ketenagakerjaan (bpjamsostek),yes,bpjamsostek,0.39168569445610046
badan penyelenggara jaminan sosial ketenagakerjaan (bpjamsostek),yes,bpjs ketenagakerjaan,0.5044392943382263
badan penyelenggara jaminan sosial ketenagakerjaan (bpjamsostek),no,bpjs,0.40401598811149597
badan penyelenggara jaminan sosial ketenagakerjaan (bpjamsostek),no,badan penyelenggara jaminan sosial,0.7182536125183105
bank indonesia (bi),yes,bank indonesia (bi),1.0
bank indonesia (bi),yes,bi,0.49692535400390625
bank indonesia (bi),no,bank internasional indonesia,0.6928455829620361
pemerintah kabupaten gianyar,yes,pemerintahan gianyar,0.7925387620925903
pemerintah kabupaten gianyar,no,pemerintah kabupaten,0.7782989740371704
pemerintah kabupaten gianyar,no,gianyar,0.5947731137275696
pemerintah kabupaten gianyar,yes,pemkab gianyar,0.8349473476409912
pemerintah kabupaten gianyar,no,pemkab,0.6278637647628784
pemerintah kabupaten tabanan,yes,pemerintahan tabanan,0.7859595417976379
pemerintah kabupaten tabanan,no,pemerintah kabupaten,0.7761083245277405
pemerintah kabupaten tabanan,no,tabanan,0.5821896195411682
pemerintah kabupaten tabanan,yes,pemkab tabanan,0.8362261652946472
pemerintah kabupaten tabanan,no,pemkab,0.6304425001144409
pemerintah kota cilegon,yes,pemkab cilegon,0.7439695000648499
pemerintah kota cilegon,no,cilegon,0.550753653049469
pemerintah kota cilegon,yes,pemerintah cilegon,0.873441755771637
pemerintah kota tangerang selatan,yes,pemkab tangerang selatan,0.8279223442077637
pemerintah kota tangerang selatan,no,tangerang selatan,0.7134292125701904
pemerintah kota tangerang selatan,no,pemkot tangerang,0.7059131264686584
pemerintah kota tangerang selatan,yes,pemkab tangsel,0.6335140466690063
pemerintah kota tangerang selatan,yes,pemerintah tangerang selatan,0.9323345422744751
pemerintah kabupaten kaur,yes,pemkab kaur,0.7026718258857727
pemerintah kabupaten kaur,no,kaur,0.4517347514629364
pemerintah kabupaten kaur,yes,pemerintah kaur,0.7061029672622681
pemerintah kabupaten kepahiang,yes,pemkab kepahiang,0.8464921712875366
pemerintah kabupaten kepahiang,no,kepahiang,0.5898381471633911
pemerintah kabupaten kepahiang,yes,pemerintah kepahiang,0.8530753254890442
pemerintah kota bengkulu,yes,pemkot bengkulu,0.7555263042449951
pemerintah kota bengkulu,no,bengkulu,0.5822399258613586
pemerintah provinsi bengkulu,yes,pemprov bengkulu,0.7446982860565186
pemerintah provinsi bengkulu,no,bengkulu,0.5965245366096497
pemerintah provinsi bengkulu,yes,pemerintah bengkulu,0.8811353445053101
pemerintah kota jakarta pusat,yes,pemkot jakarta pusat,0.8422083258628845
pemerintah kota jakarta pusat,yes,pemerintah kota administrasi jakarta pusat,0.9324461817741394
pemerintah kota jakarta pusat,no,pemerintah kota jakarta barat,0.8543634414672852
pemerintah kota jakarta pusat,no,pemerintah kota jakarta timur,0.8594467639923096
pemerintah kabupaten tebo,yes,pemkab tebo,0.8562257289886475
pemerintah kabupaten tebo,no,tebo,0.5343296527862549
pemerintah kabupaten tebo,yes,pemerintah tebo,0.8799851536750793
pemerintah kabupaten bandung barat,yes,pemkab bandung barat,0.8108616471290588
pemerintah kabupaten bandung barat,no,bandung barat,0.619143009185791
pemerintah kabupaten bandung barat,yes,pemerintah bandung barat,0.8805340528488159
pemerintah kabupaten bogor,yes,pemkab bogor,0.7656201720237732
pemerintah kabupaten bogor,no,bogor,0.46622851490974426
pemerintah kabupaten bogor,yes,pemerintah bogor,0.8594720959663391
pemerintah kabupaten ciamis,yes,pemkab ciamis,0.7989065051078796
pemerintah kabupaten ciamis,no,ciamis,0.5572739839553833
pemerintah kabupaten ciamis,yes,pemerintah ciamis,0.9128196835517883
pemerintah kabupaten cirebon,yes,pemkab cirebon,0.7576630711555481
pemerintah kabupaten cirebon,no,cirebon,0.43616604804992676
pemerintah kabupaten cirebon,yes,pemerintah cirebon,0.8733475208282471
pemerintah kabupaten karawang,yes,pemkab karawang,0.8134011626243591
pemerintah kabupaten karawang,no,karawang,0.5512160062789917
pemerintah kabupaten karawang,yes,pemerintah karawang,0.903210461139679
pemerintah kota bekasi,yes,pemkot bekasi,0.7277858257293701
pemerintah kota bekasi,no,bekasi,0.4874652922153473
pemerintah kota bogor,yes,pemkot bogor,0.7290675044059753
pemerintah kota bogor,no,bogor,0.49002838134765625
pemerintah provinsi jawa barat,yes,pemprov jawa barat,0.7472629547119141
pemerintah provinsi jawa barat,no,jawa barat,0.6101234555244446
pemerintah provinsi jawa barat,yes,pemerintah jawa barat,0.8728672862052917
pemerintah provinsi jawa barat,yes,pemprov jabar,0.5116260051727295
pemerintah kabupaten blora,yes,pemkab blora,0.835544764995575
pemerintah kabupaten blora,no,blora,0.6164945960044861
pemerintah kabupaten blora,yes,pemerintah blora,0.9309207201004028
pemerintah kabupaten boyolali,yes,pemkab boyolali,0.7994669079780579
pemerintah kabupaten boyolali,no,boyolali,0.5365546941757202
pemerintah kabupaten boyolali,yes,pemerintah boyolali,0.8943290710449219
pemerintah kabupaten brebes,yes,pemkab brebes,0.8339031338691711
pemerintah kabupaten brebes,no,brebes,0.5396903157234192
pemerintah kabupaten brebes,yes,pemerintah brebes,0.9163082838058472
pemerintah kabupaten kebumen,yes,pemkab kebumen,0.8231257796287537
pemerintah kabupaten kebumen,no,kebumen,0.579518735408783
pemerintah kabupaten kebumen,yes,pemerintah kebumen,0.9143610596656799
pemerintah kabupaten magelang,yes,pemkab magelang,0.7856466174125671
pemerintah kabupaten magelang,no,magelang,0.5185441970825195
pemerintah kabupaten magelang,yes,pemerintah magelang,0.8829190731048584
pemerintah kabupaten pemalang,yes,pemkab pemalang,0.8255589008331299
pemerintah kabupaten pemalang,no,pemalang,0.5558549761772156
pemerintah kabupaten pemalang,yes,pemerintah pemalang,0.8977100253105164
pemerintah kabupaten sragen,yes,pemkab sragen,0.8039791584014893
pemerintah kabupaten sragen,no,sragen,0.5543683171272278
pemerintah kabupaten sragen,yes,pemerintah sragen,0.9056999087333679
pemerintah kabupaten sukoharjo,yes,pemkab sukoharjo,0.799686074256897
pemerintah kabupaten sukoharjo,no,sukoharjo,0.5533546805381775
pemerintah kabupaten sukoharjo,yes,pemerintah sukoharjo,0.9058839678764343
pemerintah kabupaten temanggung,yes,pemkab temanggung,0.790851891040802
pemerintah kabupaten temanggung,no,temanggung,0.5740304589271545
pemerintah kabupaten temanggung,yes,pemerintah temanggung,0.9013538956642151
pemerintah kota magelang,yes,pemkot magelang,0.7827644348144531
pemerintah kota magelang,no,magelang,0.5353580713272095
pemerintah kota pekalongan,yes,pemkot pekalongan,0.7242991924285889
pemerintah kota pekalongan,no,pekalongan,0.5113834142684937
pemerintah kabupaten jombang,yes,pemkab jombang,0.7832609415054321
pemerintah kabupaten jombang,no,jombang,0.486508846282959
pemerintah kabupaten jombang,yes,pemerintah jombang,0.8768558502197266
pemerintah kabupaten lamongan,yes,pemkab lamongan,0.7887548208236694
pemerintah kabupaten lamongan,no,lamongan,0.49284857511520386
pemerintah kabupaten lamongan,yes,pemerintah lamongan,0.879516065120697
pemerintah kabupaten malang,yes,pemkab malang,0.7450024485588074
pemerintah kabupaten malang,no,malang,0.43184220790863037
pemerintah kabupaten malang,yes,pemerintah malang,0.8470725417137146
pemerintah kabupaten magetan,yes,pemkab magetan,0.7900165915489197
pemerintah kabupaten magetan,no,magetan,0.5761346817016602
pemerintah kabupaten magetan,yes,pemerintah magetan,0.8967699408531189
pemerintah kabupaten pacitan,yes,pemkab pacitan,0.7972848415374756
pemerintah kabupaten pacitan,no,pacitan,0.535163164138794
pemerintah kabupaten pacitan,yes,pemerintah pacitan,0.8884271383285522
pemerintah kabupaten tulungagung,yes,pemkab tulungagung,0.7643853425979614
pemerintah kabupaten tulungagung,no,tulungagung,0.5133674740791321
pemerintah kabupaten tulungagung,yes,pemerintah tulungagung,0.8928831815719604
pemerintah kota surabaya,yes,pemkot surabaya,0.7799668908119202
pemerintah kota surabaya,no,surabaya,0.4616238474845886
pemerintah kota surabaya,yes,pemerintah surabaya,0.8665100336074829
pemerintah kabupaten ketapang,yes,pemkab ketapang,0.8203582763671875
pemerintah kabupaten ketapang,no,ketapang,0.6633673906326294
pemerintah kabupaten ketapang,yes,pemerintah ketapang,0.9184996485710144
pemerintah kabupaten kubu raya,yes,pemkab kubu raya,0.8531048893928528
pemerintah kabupaten kubu raya,no,kubu raya,0.6323370337486267
pemerintah kabupaten kubu raya,yes,pemerintah kubu raya,0.8905954957008362
pemerintah kabupaten landak,yes,pemkab landak,0.8284049034118652
pemerintah kabupaten landak,no,landak,0.5460612177848816
pemerintah kabupaten landak,yes,pemerintah landak,0.9147031307220459
pemerintah kabupaten sambas,yes,pemkab sambas,0.7835806012153625
pemerintah kabupaten sambas,no,sambas,0.626895546913147
pemerintah kabupaten sambas,yes,pemerintah sambas,0.8824353218078613
pemerintah kota singkawang,yes,pemkot singkawang,0.7976144552230835
pemerintah kota singkawang,no,singkawang,0.5867232084274292
pemerintah kota singkawang,yes,pemerintah singkawang,0.9110370874404907
pemerintah provinsi kalimantan barat,yes,pemprov kalimantan barat,0.7666361331939697
pemerintah provinsi kalimantan barat,no,kalimantan barat,0.6392579078674316
pemerintah provinsi kalimantan barat,yes,pemerintah kalimantan barat,0.9031401872634888
pemerintah provinsi kalimantan barat,yes,pemprov kalbar,0.561032772064209
pemerintah kabupaten barito kuala,yes,pemkab barito kuala,0.8412483334541321
pemerintah kabupaten barito kuala,no,barito kuala,0.7437735795974731
pemerintah kabupaten barito kuala,yes,pemerintah barito kuala,0.8897716403007507
pemerintah kabupaten hulu sungai selatan,yes,pemkab hulu sungai selatan,0.8421564102172852
pemerintah kabupaten hulu sungai selatan,no,hulu sungai selatan,0.7767680883407593
pemerintah kabupaten hulu sungai selatan,yes,pemerintah hulu sungai selatan,0.9026315808296204
pemerintah kabupaten aceh besar,no,pemkab aceh utara,0.7273013591766357
pemerintah kabupaten aceh besar,no,pemprov nanggroe aceh darusalam,0.5830183029174805
pemerintah kabupaten aceh besar,no,pemerintah provinsi nanggroe aceh darusalam,0.665951669216156
pemerintah kabupaten aceh besar,no,pemkot banda aceh,0.5341743230819702
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh utara,0.9013904333114624
pemerintah kabupaten aceh besar,no,pemkab aceh barat daya,0.7139602303504944
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh barat daya,0.8503758311271667
pemerintah kabupaten aceh besar,no,pemkab aceh tengah,0.732290506362915
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh tengah,0.9097819924354553
pemerintah kabupaten aceh besar,no,pemerintah kota banda aceh,0.7371156811714172
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh tenggara,0.8945298790931702
pemerintah kabupaten aceh besar,yes,pemkab aceh besar,0.8269078135490417
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh tamiang,0.8682370185852051
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh timur,0.9138423800468445
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh barat,0.9083699584007263
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh singkil,0.8768715262413025
pemerintah kabupaten aceh besar,no,pemkab aceh tenggara,0.7546154856681824
pemerintah kabupaten aceh besar,no,pemkab aceh timur,0.758790910243988
pemerintah kabupaten aceh besar,no,pemkab aceh selatan,0.7577970623970032
pemerintah kabupaten aceh besar,no,pemkab aceh singkil,0.7232733368873596
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh jaya,0.8953242897987366
pemerintah kabupaten aceh besar,no,pemkab aceh tamiang,0.7592689990997314
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh selatan,0.9080585837364197
pemerintah kabupaten aceh besar,no,pemkab aceh barat,0.7782071828842163
pemerintah kabupaten aceh besar,no,pemkab aceh jaya,0.7205241918563843
pemerintah kabupaten aceh tamiang,no,pemkab aceh singkil,0.6858548521995544
pemerintah kabupaten aceh tamiang,no,pemkab aceh utara,0.6957000494003296
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh singkil,0.8382521271705627
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh utara,0.8634650707244873
pemerintah kabupaten aceh tamiang,no,pemprov nanggroe aceh darusalam,0.5662520527839661
pemerintah kabupaten aceh tamiang,no,pemerintah provinsi nanggroe aceh darusalam,0.6605314612388611
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh besar,0.8682370185852051
pemerintah kabupaten aceh tamiang,no,pemkab aceh besar,0.7039204835891724
pemerintah kabupaten aceh tamiang,no,pemkab aceh tengah,0.6963783502578735
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh tengah,0.8544725775718689
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh tenggara,0.8480453491210938
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh barat,0.8563700318336487
pemerintah kabupaten aceh tamiang,no,pemkab aceh barat,0.7295835614204407
pemerintah kabupaten aceh tamiang,no,pemkab aceh timur,0.7112297415733337
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh timur,0.8529831767082214
pemerintah kabupaten aceh tamiang,no,pemkab aceh barat daya,0.6814488768577576
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh barat daya,0.8044520616531372
pemerintah kabupaten aceh tamiang,no,pemerintah kota banda aceh,0.6916813850402832
pemerintah kabupaten aceh tamiang,no,pemkot banda aceh,0.5179358124732971
pemerintah kabupaten aceh tamiang,no,pemkab aceh selatan,0.733554482460022
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh selatan,0.8787833452224731
pemerintah kabupaten aceh tamiang,no,pemkab aceh jaya,0.6704888939857483
pemerintah kabupaten aceh tamiang,yes,pemkab aceh tamiang,0.9057126641273499
pemerintah kabupaten aceh tamiang,no,pemkab aceh tenggara,0.7228515148162842
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh jaya,0.8397910594940186
pemerintah kabupaten aceh tenggara,no,pemkab aceh selatan,0.7981928586959839
pemerintah kabupaten aceh tenggara,no,pemkab aceh barat daya,0.7746447324752808
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh tengah,0.9245486259460449
pemerintah kabupaten aceh tenggara,no,pemkab aceh singkil,0.7309471368789673
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh singkil,0.8728066682815552
pemerintah kabupaten aceh tenggara,no,pemkab aceh tengah,0.778869092464447
pemerintah kabupaten aceh tenggara,no,pemkab aceh barat,0.8185766935348511
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh barat,0.9237213134765625
pemerintah kabupaten aceh tenggara,no,pemkab aceh besar,0.7588534951210022
pemerintah kabupaten aceh tenggara,no,pemkab aceh utara,0.7740557193756104
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh utara,0.9230245351791382
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh barat daya,0.9035143852233887
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh selatan,0.9234014749526978
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh besar,0.8945298790931702
pemerintah kabupaten aceh tenggara,yes,pemkab aceh tenggara,0.8510281443595886
pemerintah kabupaten aceh tenggara,no,pemerintah kota banda aceh,0.7518875002861023
pemerintah kabupaten aceh tenggara,no,pemerintah provinsi nanggroe aceh darusalam,0.6524674296379089
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh tamiang,0.8480453491210938
pemerintah kabupaten aceh tenggara,no,pemkab aceh tamiang,0.7645365595817566
pemerintah kabupaten aceh tenggara,no,pemkot banda aceh,0.5474543571472168
pemerintah kabupaten aceh tenggara,no,pemkab aceh jaya,0.7509221434593201
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh jaya,0.9068494439125061
pemerintah kabupaten aceh tenggara,no,pemkab aceh timur,0.8015226721763611
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh timur,0.9357353448867798
pemerintah kabupaten aceh tenggara,no,pemprov nanggroe aceh darusalam,0.5670517086982727
pemerintah kabupaten barito timur,no,pemerintah kabupaten barito selatan,0.9618697762489319
pemerintah kabupaten barito timur,no,pemkab barito utara,0.8110820651054382
pemerintah kabupaten barito timur,no,pemerintah kabupaten barito utara,0.9604647755622864
pemerintah kabupaten barito timur,yes,pemkab barito timur,0.8467507362365723
pemerintah kabupaten barito timur,no,pemkab barito selatan,0.8243401646614075
pemerintah kabupaten biak numfor,yes,pemkab biak numfor,0.8725828528404236
pemerintah kabupaten biak numfor,no,pulau biak,0.6439840197563171
pemerintah kabupaten bulungan,no,jalan bulungan,0.6137118935585022
pemerintah kabupaten bulungan,no,jl. bulungan,0.5631882548332214
pemerintah kabupaten bulungan,no,desa bulungan,0.6936224102973938
pemerintah kabupaten bulungan,yes,pemkab bulungan,0.7900354266166687
pemerintah kabupaten dompu,no,pa dompu,0.7134198546409607
pemerintah kabupaten dompu,no,pengadilan agama dompu,0.7279062271118164
pemerintah kabupaten dompu,yes,pemkab dompu,0.8635748624801636
pemerintah kabupaten dompu,no,kementerian agama kabupaten dompu,0.83522629737854
pemerintah kabupaten dompu,no,kemenag kabupaten dompu,0.9126653075218201
pemerintah kabupaten ende,yes,pemkab ende,0.8017318844795227
pemerintah kabupaten ende,no,keuskupan agung ende,0.5645595192909241
pemerintah kabupaten kepulauan sula,yes,pemerintah kabupaten sula,0.9107155203819275
pemerintah kabupaten kepulauan sula,yes,pemkab kepulauan sula,0.8725060224533081
pemerintah kabupaten kepulauan sula,no,pemkab kepulauan anambas,0.6539511680603027
pemerintah kabupaten kepulauan sula,no,pemerintah kabupaten kepulauan anambas,0.780974268913269
pemerintah kabupaten kepulauan sula,no,pemkab kepulauan yapen,0.659948468208313
pemerintah kabupaten kepulauan sula,no,pemkab kepulauan aru,0.7014588713645935
pemerintah kabupaten kepulauan sula,no,pemerintah kabupaten kepulauan aru,0.808444082736969
pemerintah kabupaten kepulauan sula,no,pemerintah kabupaten kepulauan yapen,0.7096357941627502
pemerintah kabupaten kepulauan sula,yes,pemkab sula,0.6699168682098389
pemerintah kabupaten kotawaringin barat,yes,pemkab kotawaringin barat,0.9437413811683655
pemerintah kabupaten kotawaringin barat,no,pemerintah kabupaten kotawaringin timur,0.9853781461715698
pemerintah kabupaten kotawaringin barat,no,pemkab kotawaringin timur,0.9267159104347229
pemerintah kabupaten lampung barat,no,pemerintah kabupaten lampung timur,0.9586462378501892
pemerintah kabupaten lampung barat,yes,pemkab lampung barat,0.8280302286148071
pemerintah kabupaten lampung barat,no,pemkab lampung timur,0.7682559490203857
pemerintah kabupaten lampung barat,no,pemerintah kota bandar lampung,0.8184566497802734
pemerintah kabupaten lampung barat,no,pemkot bandar lampung,0.6072351932525635
pemerintah kabupaten lampung barat,no,pemerintah kabupaten lampung selatan,0.9565210342407227
pemerintah kabupaten lampung barat,no,pemkab lampung selatan,0.776735246181488
pemerintah kabupaten lampung barat,no,pemprov lampung,0.5818116068840027
pemerintah kabupaten lampung barat,no,pemerintah kabupaten lampung utara,0.950316309928894
pemerintah kabupaten lampung barat,no,pemkab lampung utara,0.7492396831512451
pemerintah kabupaten lampung barat,no,pemkab lampung tengah,0.7336371541023254
pemerintah kabupaten lampung barat,no,pemerintah provinsi lampung,0.8417347073554993
pemerintah kabupaten lampung barat,no,pemerintah kabupaten lampung tengah,0.9285633563995361
pemerintah kabupaten lanny jaya,no,pemerintah kabupaten pidie jaya,0.7460335493087769
pemerintah kabupaten lanny jaya,no,pemkab pidie jaya,0.637656569480896
pemerintah kabupaten lanny jaya,yes,pemkab lanny jaya,0.7315845489501953
pemerintah kabupaten lanny jaya,no,pemerintah kabupaten puncak jaya,0.6771126985549927
pemerintah kabupaten lanny jaya,no,pemkab intan jaya,0.6042720079421997
pemerintah kabupaten lanny jaya,no,pemerintah kabupaten intan jaya,0.7527849078178406
pemerintah kabupaten lanny jaya,no,pemkab puncak jaya,0.5349972248077393
pemerintah kabupaten lombok barat,no,pemerintah kabupaten lombok tengah,0.9327198266983032
pemerintah kabupaten lombok barat,no,pemkab lombok tengah,0.7561460733413696
pemerintah kabupaten lombok barat,yes,pemkab lombok barat,0.8438937067985535
