instansi,reference,status,similiarity
Komisi Nasional Hak Asasi Manusia (Komnas HAM),Komisi Nasional HAM,yes,0.7700012922286987
Komisi Nasional Hak Asasi Manusia (Komnas HAM),Komnas HAM,yes,0.6207830309867859
Komisi Nasional Hak Asasi Manusia (Komnas HAM),Kementerian Hukum dan Hak Asasi Manusia,no,0.6321194171905518
Komisi Nasional Hak Asasi Manusia (Komnas HAM),Direktorat Fasilitasi dan Informasi HAM,no,0.5180850028991699
Komisi Pemberantasan Korupsi (KPK),Komisi Pemberantasan Korupsi,yes,0.7959449291229248
Komisi Pemberantasan Korupsi (KPK),KPK,yes,0.5505568981170654
Komisi Pemberantasan Korupsi (KPK),KPKNL,no,0.3290466070175171
Komisi Pemberantasan Korupsi (KPK),Komisi Pemilihan Umum,no,0.41849201917648315
Lembaga Administrasi Negara (LAN),Lembaga Administrasi Negara,yes,0.7000161409378052
Lembaga Administrasi Negara (LAN),LAN RI,yes,0.4760049879550934
Lembaga Administrasi Negara (LAN),Jurusan Administrasi Negara,no,0.5326659679412842
Lembaga Administrasi Negara (LAN),Sekolah Tinggi Ilmu Administrasi Lembaga Administrasi Negara,no,0.5884588360786438
Perpustakaan Nasional Republik Indonesia (Perpusnas),Perpustakaan Nasional RI,yes,0.6762349009513855
Perpustakaan Nasional Republik Indonesia (Perpusnas),Perpustakaan Nasional Republik Indonesia,yes,0.7101677060127258
Perpustakaan Nasional Republik Indonesia (Perpusnas),Dinas Perpustakaan,no,0.37950384616851807
Perpustakaan Nasional Republik Indonesia (Perpusnas),Perpustakaan Jakarta Cikini,no,0.34252622723579407
Komisi Kejaksaan Republik Indonesia,KKRI,yes,0.2505344748497009
Komisi Kejaksaan Republik Indonesia,Komisi Kejaksaan RI,yes,0.8166719079017639
Komisi Kejaksaan Republik Indonesia,Kejaksaan Republik Indonesia,no,0.8623210191726685
Komisi Kejaksaan Republik Indonesia,Komisi Kebenaran dan Rekonsiliasi,no,0.495915949344635
Komisi Penyiaran Indonesia (KPI),Komisi Penyiaran Indonesia Pusat,yes,0.7447954416275024
Komisi Penyiaran Indonesia (KPI),Komisi Penyiaran Indonesia Daerah,yes,0.7136173248291016
Komisi Penyiaran Indonesia (KPI),Lembaga Penyiaran Publik,no,0.5781033635139465
Komisi Penyiaran Indonesia (KPI),Komisi Kejaksaan Republik Indonesia,no,0.496047705411911
Dewan Perwakilan Rakyat Daerah (DPRD),DPRD,yes ,0.5128684043884277
Dewan Perwakilan Rakyat Daerah (DPRD),Dewan Perwakilan Rakyat Daerah,yes ,0.8422727584838867
Dewan Perwakilan Rakyat Daerah (DPRD),DPR,no,0.5025399923324585
Dewan Perwakilan Rakyat Daerah (DPRD),DPD,no,0.4990521967411041
Dewan Perwakilan Rakyat Daerah (DPRD),Dewan Perwakilan Rakyat,no,0.794698178768158
Dewan Perwakilan Rakyat Daerah (DPRD),Dewan Perwakilan Daerah,no,0.7651997804641724
Dewan Perwakilan Rakyat Daerah (DPRD),Dewan,no,0.543912947177887
Badan Pengelola Keuangan Haji (BPKH),Badan Pengelola Keuangan Haji,yes,0.7309930324554443
Badan Pengelola Keuangan Haji (BPKH),BPKH,yes,0.428230881690979
Badan Pengelola Keuangan Haji (BPKH),Badan Pengelola Keuangan,no,0.6394174695014954
Badan Pengelola Keuangan Haji (BPKH),BPK,no,0.4254617393016815
Badan Pengelola Keuangan Haji (BPKH),Badan Pengelola Haji,no,0.6512895822525024
Lembaga Penjamin Simpanan (LPS),Lembaga Penjamin Simpanan,yes,0.7699031829833984
Lembaga Penjamin Simpanan (LPS),LPS,yes,0.3529868721961975
Lembaga Penjamin Simpanan (LPS),Lembaga Penjamin,no,0.6921113133430481
Lembaga Penjamin Simpanan (LPS),Lembaga Simpanan,no,0.5093051195144653
Otoritas Jasa Keuangan (OJK),Otoritas Jasa Keuangan,yes,0.6910487413406372
Otoritas Jasa Keuangan (OJK),OJK,yes,0.6624492406845093
Otoritas Jasa Keuangan (OJK),Otoritas Keuangan,no,0.6590923070907593
Otoritas Jasa Keuangan (OJK),Otoritas Jasa,no,0.6048392057418823
Satuan Kerja Khusus Pelaksana Kegiatan Usaha Hulu Minyak Dan Gas Bumi (SKK Migas),Satuan Kerja Khusus Pelaksana Kegiatan Usaha Hulu Minyak Dan Gas Bumi,yes,0.8997512459754944
Satuan Kerja Khusus Pelaksana Kegiatan Usaha Hulu Minyak Dan Gas Bumi (SKK Migas),SKK Migas,yes,0.5739951729774475
Satuan Kerja Khusus Pelaksana Kegiatan Usaha Hulu Minyak Dan Gas Bumi (SKK Migas),Satuan Kerja Khusus,no,0.5573094487190247
Satuan Kerja Khusus Pelaksana Kegiatan Usaha Hulu Minyak Dan Gas Bumi (SKK Migas),Satuan Kerja Khusus Pelaksana Kegiatan Usaha,no,0.7205199599266052
Pemerintah Kota Jakarta Selatan,Pemkot Jakarta Selatan,yes,0.8038535118103027
Pemerintah Kota Jakarta Selatan,Pemerintah Kota Administrasi Jakarta Selatan,yes,0.9347040057182312
Pemerintah Kota Jakarta Selatan,Pemerintah Kota Jakarta Pusat,no,0.8682641386985779
Pemerintah Kota Jakarta Selatan,Pemerintah Kota Jakarta Barat,no,0.9586880207061768
Pemerintah Kabupaten Pohuwato,Pemkab Pohuwato,yes,0.8529602885246277
Pemerintah Kabupaten Pohuwato,Pohuwato,no,0.7008900046348572
Pemerintah Kabupaten Pohuwato,Pemerintah Pohuwato,yes,0.8490688800811768
Pemerintah Kabupaten Muaro Jambi,Pemkab Muaro Jambi,yes,0.8959216475486755
Pemerintah Kabupaten Muaro Jambi,Muaro Jambi,no,0.7375362515449524
Pemerintah Kabupaten Muaro Jambi,Pemerintah Muaro Jambi,yes,0.9137744903564453
Pemerintah Kabupaten Tanjung Jabung Barat,Pemkab Tanjung Jabung Barat,yes,0.90240079164505
Pemerintah Kabupaten Tanjung Jabung Barat,Tanjung Jabung Barat,no,0.7270479798316956
Pemerintah Kabupaten Tanjung Jabung Barat,Pemerintah Tanjung Jabung Barat,yes,0.9341043829917908
Pemerintah Provinsi Jambi,Pemprov Jambi,yes,0.7107124924659729
Pemerintah Provinsi Jambi,Jambi,no,0.5761269330978394
Pemerintah Kabupaten Bandung,Pemkab Bandung,yes,0.7498618960380554
Pemerintah Kabupaten Bandung,Bandung,no,0.4239168167114258
Pemerintah Kabupaten Bandung,Pemerintah Bandung,yes,0.8259784579277039
Pemerintah Kabupaten Bogor,Pemkab Bogor,yes,0.7656201720237732
Pemerintah Kabupaten Bogor,Bogor,no,0.46622851490974426
Pemerintah Kabupaten Bogor,Pemerintah Bogor,yes,0.8594720959663391
Pemerintah Kabupaten Cianjur,Pemkab Cianjur,yes,0.8023633360862732
Pemerintah Kabupaten Cianjur,Cianjur,no,0.5618595480918884
Pemerintah Kabupaten Cianjur,Pemerintah Cianjur,yes,0.9069632887840271
Pemerintah Kabupaten Garut,Pemkab Garut,yes,0.8125735521316528
Pemerintah Kabupaten Garut,Garut,no,0.5438692569732666
Pemerintah Kabupaten Garut,Pemerintah Garut,yes,0.9162102937698364
Pemerintah Kabupaten Majalengka,Pemkab Majalengka,yes,0.8302454948425293
Pemerintah Kabupaten Majalengka,Majalengka,no,0.5611531734466553
Pemerintah Kabupaten Majalengka,Pemerintah Majalengka,yes,0.9121977686882019
Pemerintah Kabupaten Purwakarta,Pemkab Purwakarta,yes,0.8112452030181885
Pemerintah Kabupaten Purwakarta,Purwakarta,no,0.5135416388511658
Pemerintah Kabupaten Purwakarta,Pemerintah Purwakarta,yes,0.9094796776771545
Pemerintah Kota Bogor,Pemkot Bogor,yes,0.7290675044059753
Pemerintah Kota Bogor,Bogor,no,0.49002838134765625
Pemerintah Kabupaten Magelang,Pemkab Magelang,yes,0.7856466174125671
Pemerintah Kabupaten Magelang,Magelang,no,0.5185441970825195
Pemerintah Kabupaten Magelang,Pemerintah Magelang,yes,0.8829190731048584
Pemerintah Kabupaten Sragen,Pemkab Sragen,yes,0.8039791584014893
Pemerintah Kabupaten Sragen,Sragen,no,0.5543683171272278
Pemerintah Kabupaten Sragen,Pemerintah Sragen,yes,0.9056999087333679
Pemerintah Kota Pekalongan,Pemkot Pekalongan,yes,0.7242991924285889
Pemerintah Kota Pekalongan,Pekalongan,no,0.5113834142684937
Pemerintah Kota Semarang,Pemkot Semarang,yes,0.7468510270118713
Pemerintah Kota Semarang,Semarang,no,0.5141009092330933
Pemerintah Kabupaten Banyuwangi,Pemkab Banyuwangi,yes,0.8296945691108704
Pemerintah Kabupaten Banyuwangi,Banyuwangi,no,0.6034879684448242
Pemerintah Kabupaten Banyuwangi,Pemerintah Banyuwangi,yes,0.9198397397994995
Pemerintah Kabupaten Gresik,Pemkab Gresik,yes,0.7544119358062744
Pemerintah Kabupaten Gresik,Gresik,no,0.5584443211555481
Pemerintah Kabupaten Gresik,Pemerintah Gresik,yes,0.8563100099563599
Pemerintah Kabupaten Malang,Pemkab Malang,yes,0.7450024485588074
Pemerintah Kabupaten Malang,Malang,no,0.43184220790863037
Pemerintah Kabupaten Malang,Pemerintah Malang,yes,0.8470725417137146
Pemerintah Kabupaten Madiun,Pemkab Madiun,yes,0.7732517123222351
Pemerintah Kabupaten Madiun,Madiun,no,0.5230677127838135
Pemerintah Kabupaten Madiun,Pemerintah Madiun,yes,0.8801127672195435
Pemerintah Kabupaten Sampang,Pemkab Sampang,yes,0.8108832240104675
Pemerintah Kabupaten Sampang,Sampang,no,0.5625671148300171
Pemerintah Kabupaten Sampang,Pemerintah Sampang,yes,0.875842273235321
Pemerintah Kabupaten Situbondo,Pemkab Situbondo,yes,0.8138582110404968
Pemerintah Kabupaten Situbondo,Situbondo,no,0.5714915990829468
Pemerintah Kabupaten Situbondo,Pemerintah Situbondo,yes,0.9060645699501038
Pemerintah Kota Mojokerto,Pemkot Mojokerto,yes,0.7791003584861755
Pemerintah Kota Mojokerto,Mojokerto,no,0.5129764676094055
Pemerintah Kabupaten Melawi,Pemkab Melawi,yes,0.7770640254020691
Pemerintah Kabupaten Melawi,Melawi,no,0.5312712788581848
Pemerintah Kabupaten Melawi,Pemerintah Melawi,yes,0.8034956455230713
Pemerintah Kabupaten Banjar,Pemkab Banjar,yes,0.7926740050315857
Pemerintah Kabupaten Banjar,Banjar,no,0.5047997236251831
Pemerintah Kabupaten Banjar,Pemerintah Banjar,yes,0.8746472001075745
Pemerintah Kabupaten Barito Kuala,Pemkab Barito Kuala,yes,0.8412483334541321
Pemerintah Kabupaten Barito Kuala,Barito Kuala,no,0.7437735795974731
Pemerintah Kabupaten Barito Kuala,Pemerintah Barito Kuala,yes,0.8897716403007507
Pemerintah Kabupaten Kotabaru,Pemkab Kotabaru,yes,0.8372957110404968
Pemerintah Kabupaten Kotabaru,Kotabaru,no,0.699290931224823
Pemerintah Kabupaten Kotabaru,Pemerintah Kotabaru,yes,0.8960643410682678
Pemerintah Kabupaten Aceh Besar,Pemkab Aceh Utara,no,0.7273013591766357
Pemerintah Kabupaten Aceh Besar,Pemprov Nanggroe Aceh Darusalam,no,0.5830183029174805
Pemerintah Kabupaten Aceh Besar,Pemerintah Provinsi Nanggroe Aceh Darusalam,no,0.665951669216156
Pemerintah Kabupaten Aceh Besar,Pemkot Banda Aceh,no,0.5341743230819702
Pemerintah Kabupaten Aceh Besar,Pemerintah Kabupaten Aceh Utara,no,0.9013904333114624
Pemerintah Kabupaten Aceh Besar,Pemkab Aceh Barat Daya,no,0.7139602303504944
Pemerintah Kabupaten Aceh Besar,Pemerintah Kabupaten Aceh Barat Daya,no,0.8503758311271667
Pemerintah Kabupaten Aceh Besar,Pemkab Aceh Tengah,no,0.732290506362915
Pemerintah Kabupaten Aceh Besar,Pemerintah Kabupaten Aceh Tengah,no,0.9097819924354553
Pemerintah Kabupaten Aceh Besar,Pemerintah Kota Banda Aceh,no,0.7371156811714172
Pemerintah Kabupaten Aceh Besar,Pemerintah Kabupaten Aceh Tenggara,no,0.8945298790931702
Pemerintah Kabupaten Aceh Besar,Pemkab Aceh Besar,yes,0.8269078135490417
Pemerintah Kabupaten Aceh Besar,Pemerintah Kabupaten Aceh Tamiang,no,0.8682370185852051
Pemerintah Kabupaten Aceh Besar,Pemerintah Kabupaten Aceh Timur,no,0.9138423800468445
Pemerintah Kabupaten Aceh Besar,Pemerintah Kabupaten Aceh Barat,no,0.9083699584007263
Pemerintah Kabupaten Aceh Besar,Pemerintah Kabupaten Aceh Singkil,no,0.8768715262413025
Pemerintah Kabupaten Aceh Besar,Pemkab Aceh Tenggara,no,0.7546154856681824
Pemerintah Kabupaten Aceh Besar,Pemkab Aceh Timur,no,0.758790910243988
Pemerintah Kabupaten Aceh Besar,Pemkab Aceh Selatan,no,0.7577970623970032
Pemerintah Kabupaten Aceh Besar,Pemkab Aceh Singkil,no,0.7232733368873596
Pemerintah Kabupaten Aceh Besar,Pemerintah Kabupaten Aceh Jaya,no,0.8953242897987366
Pemerintah Kabupaten Aceh Besar,Pemkab Aceh Tamiang,no,0.7592689990997314
Pemerintah Kabupaten Aceh Besar,Pemerintah Kabupaten Aceh Selatan,no,0.9080585837364197
Pemerintah Kabupaten Aceh Besar,Pemkab Aceh Barat,no,0.7782071828842163
Pemerintah Kabupaten Aceh Besar,Pemkab Aceh Jaya,no,0.7205241918563843
Pemerintah Kabupaten Aceh Singkil,Pemerintah Kabupaten Aceh Jaya,no,0.847602128982544
Pemerintah Kabupaten Aceh Singkil,Pemerintah Kabupaten Aceh Tengah,no,0.8867048621177673
Pemerintah Kabupaten Aceh Singkil,Pemkab Aceh Tengah,no,0.7665698528289795
Pemerintah Kabupaten Aceh Singkil,Pemkab Aceh Jaya,no,0.7232049107551575
Pemerintah Kabupaten Aceh Singkil,Pemkab Aceh Singkil,yes,0.8849093914031982
Pemerintah Kabupaten Aceh Singkil,Pemkab Aceh Utara,no,0.7543289065361023
Pemerintah Kabupaten Aceh Singkil,Pemkot Banda Aceh,no,0.5305774807929993
Pemerintah Kabupaten Aceh Singkil,Pemerintah Kota Banda Aceh,no,0.7020888924598694
Pemerintah Kabupaten Aceh Singkil,Pemkab Aceh Besar,no,0.767548680305481
Pemerintah Kabupaten Aceh Singkil,Pemerintah Kabupaten Aceh Besar,no,0.8768715262413025
Pemerintah Kabupaten Aceh Singkil,Pemkab Aceh Timur,no,0.7751012444496155
Pemerintah Kabupaten Aceh Singkil,Pemerintah Kabupaten Aceh Timur,no,0.8651010990142822
Pemerintah Kabupaten Aceh Singkil,Pemkab Aceh Tamiang,no,0.7749561667442322
Pemerintah Kabupaten Aceh Singkil,Pemerintah Kabupaten Aceh Tamiang,no,0.8382521271705627
Pemerintah Kabupaten Aceh Singkil,Pemerintah Provinsi Nanggroe Aceh Darusalam,no,0.6838120222091675
Pemerintah Kabupaten Aceh Singkil,Pemerintah Kabupaten Aceh Utara,no,0.8595027327537537
Pemerintah Kabupaten Aceh Singkil,Pemkab Aceh Barat Daya,no,0.7307798266410828
Pemerintah Kabupaten Aceh Singkil,Pemerintah Kabupaten Aceh Barat Daya,no,0.8216911554336548
Pemerintah Kabupaten Aceh Singkil,Pemprov Nanggroe Aceh Darusalam,no,0.6168169975280762
Pemerintah Kabupaten Aceh Singkil,Pemerintah Kabupaten Aceh Barat,no,0.8446877598762512
Pemerintah Kabupaten Aceh Singkil,Pemkab Aceh Selatan,no,0.7682958841323853
Pemerintah Kabupaten Aceh Singkil,Pemerintah Kabupaten Aceh Selatan,no,0.8555896878242493
Pemerintah Kabupaten Aceh Singkil,Pemkab Aceh Barat,no,0.7774742841720581
Pemerintah Kabupaten Aceh Singkil,Pemerintah Kabupaten Aceh Tenggara,no,0.8728066682815552
Pemerintah Kabupaten Aceh Singkil,Pemkab Aceh Tenggara,no,0.7821584343910217
Pemerintah Kabupaten Aceh Tamiang,Pemkab Aceh Singkil,no,0.6858548521995544
Pemerintah Kabupaten Aceh Tamiang,Pemkab Aceh Utara,no,0.6957000494003296
Pemerintah Kabupaten Aceh Tamiang,Pemerintah Kabupaten Aceh Singkil,no,0.8382521271705627
Pemerintah Kabupaten Aceh Tamiang,Pemerintah Kabupaten Aceh Utara,no,0.8634650707244873
Pemerintah Kabupaten Aceh Tamiang,Pemprov Nanggroe Aceh Darusalam,no,0.5662520527839661
Pemerintah Kabupaten Aceh Tamiang,Pemerintah Provinsi Nanggroe Aceh Darusalam,no,0.6605314612388611
Pemerintah Kabupaten Aceh Tamiang,Pemerintah Kabupaten Aceh Besar,no,0.8682370185852051
Pemerintah Kabupaten Aceh Tamiang,Pemkab Aceh Besar,no,0.7039204835891724
Pemerintah Kabupaten Aceh Tamiang,Pemkab Aceh Tengah,no,0.6963783502578735
Pemerintah Kabupaten Aceh Tamiang,Pemerintah Kabupaten Aceh Tengah,no,0.8544725775718689
Pemerintah Kabupaten Aceh Tamiang,Pemerintah Kabupaten Aceh Tenggara,no,0.8480453491210938
Pemerintah Kabupaten Aceh Tamiang,Pemerintah Kabupaten Aceh Barat,no,0.8563700318336487
Pemerintah Kabupaten Aceh Tamiang,Pemkab Aceh Barat,no,0.7295835614204407
Pemerintah Kabupaten Aceh Tamiang,Pemkab Aceh Timur,no,0.7112297415733337
Pemerintah Kabupaten Aceh Tamiang,Pemerintah Kabupaten Aceh Timur,no,0.8529831767082214
Pemerintah Kabupaten Aceh Tamiang,Pemkab Aceh Barat Daya,no,0.6814488768577576
Pemerintah Kabupaten Aceh Tamiang,Pemerintah Kabupaten Aceh Barat Daya,no,0.8044520616531372
Pemerintah Kabupaten Aceh Tamiang,Pemerintah Kota Banda Aceh,no,0.6916813850402832
Pemerintah Kabupaten Aceh Tamiang,Pemkot Banda Aceh,no,0.5179358124732971
Pemerintah Kabupaten Aceh Tamiang,Pemkab Aceh Selatan,no,0.733554482460022
Pemerintah Kabupaten Aceh Tamiang,Pemerintah Kabupaten Aceh Selatan,no,0.8787833452224731
Pemerintah Kabupaten Aceh Tamiang,Pemkab Aceh Jaya,no,0.6704888939857483
Pemerintah Kabupaten Aceh Tamiang,Pemkab Aceh Tamiang,yes,0.9057126641273499
Pemerintah Kabupaten Aceh Tamiang,Pemkab Aceh Tenggara,no,0.7228515148162842
Pemerintah Kabupaten Aceh Tamiang,Pemerintah Kabupaten Aceh Jaya,no,0.8397910594940186
Pemerintah Kabupaten Aceh Utara,Pemerintah Kota Banda Aceh,no,0.7282270789146423
Pemerintah Kabupaten Aceh Utara,Pemkot Banda Aceh,no,0.5297502279281616
Pemerintah Kabupaten Aceh Utara,Pemkab Aceh Tamiang,no,0.7671761512756348
Pemerintah Kabupaten Aceh Utara,Pemkab Aceh Singkil,no,0.7141169905662537
Pemerintah Kabupaten Aceh Utara,Pemerintah Kabupaten Aceh Selatan,no,0.9714677929878235
Pemerintah Kabupaten Aceh Utara,Pemerintah Kabupaten Aceh Tamiang,no,0.8634650707244873
Pemerintah Kabupaten Aceh Utara,Pemkab Aceh Tengah,no,0.7669982314109802
Pemerintah Kabupaten Aceh Utara,Pemerintah Kabupaten Aceh Tengah,no,0.9314213395118713
Pemerintah Kabupaten Aceh Utara,Pemkab Aceh Besar,no,0.7467231154441833
Pemerintah Kabupaten Aceh Utara,Pemkab Aceh Barat Daya,no,0.7508382201194763
Pemerintah Kabupaten Aceh Utara,Pemerintah Kabupaten Aceh Besar,no,0.9013904333114624
Pemerintah Kabupaten Aceh Utara,Pemerintah Kabupaten Aceh Timur,no,0.9584536552429199
Pemerintah Kabupaten Aceh Utara,Pemkab Aceh Selatan,no,0.8329451084136963
Pemerintah Kabupaten Aceh Utara,Pemerintah Kabupaten Aceh Singkil,no,0.8595027327537537
Pemerintah Kabupaten Aceh Utara,Pemerintah Kabupaten Aceh Barat Daya,no,0.8817989826202393
Pemerintah Kabupaten Aceh Utara,Pemkab Aceh Timur,no,0.810800313949585
Pemerintah Kabupaten Aceh Utara,Pemkab Aceh Jaya,no,0.7434583902359009
Pemerintah Kabupaten Aceh Utara,Pemerintah Kabupaten Aceh Jaya,no,0.9116777181625366
Pemerintah Kabupaten Aceh Utara,Pemkab Aceh Tenggara,no,0.7890256643295288
Pemerintah Kabupaten Aceh Utara,Pemprov Nanggroe Aceh Darusalam,no,0.5368907451629639
Pemerintah Kabupaten Aceh Utara,Pemkab Aceh Barat,no,0.8285508155822754
Pemerintah Kabupaten Aceh Utara,Pemerintah Kabupaten Aceh Barat,no,0.9494888186454773
Pemerintah Kabupaten Aceh Utara,Pemerintah Kabupaten Aceh Tenggara,no,0.9230245351791382
Pemerintah Kabupaten Aceh Utara,Pemkab Aceh Utara,yes,0.8305838704109192
Pemerintah Kabupaten Aceh Utara,Pemerintah Provinsi Nanggroe Aceh Darusalam,no,0.632645308971405
Pemerintah Kabupaten Barito Timur,Pemerintah Kabupaten Barito Selatan,no,0.9618697762489319
Pemerintah Kabupaten Barito Timur,Pemkab Barito Utara,no,0.8110820651054382
Pemerintah Kabupaten Barito Timur,Pemerintah Kabupaten Barito Utara,no,0.9604647755622864
Pemerintah Kabupaten Barito Timur,Pemkab Barito Timur,yes,0.8467507362365723
Pemerintah Kabupaten Barito Timur,Pemkab Barito Selatan,no,0.8243401646614075
Pemerintah Kabupaten Bener Meriah,Pemkab Bener Meriah,yes,0.834460437297821
Pemerintah Kabupaten Bener Meriah,Komisi Independen Kabupaten Bener Meriah,no,0.7819885015487671
Pemerintah Kabupaten Bener Meriah,KIP Kabupaten Bener Meriah,no,0.8837200999259949
Pemerintah Kabupaten Flores Timur,Pemkab Flores Timur,yes,0.8213301301002502
Pemerintah Kabupaten Flores Timur,Pemerintah Kabupaten Flores,yes,0.9304596185684204
Pemerintah Kabupaten Flores Timur,Pemkab Flores,yes,0.7121215462684631
Pemerintah Kabupaten Halmahera Barat,Pemerintah Kabupaten Halmahera Utara,no,0.9620082974433899
Pemerintah Kabupaten Halmahera Barat,Pemkab Halmahera Selatan,no,0.8169771432876587
Pemerintah Kabupaten Halmahera Barat,Pemerintah Kabupaten Halmahera Selatan,no,0.9666939973831177
Pemerintah Kabupaten Halmahera Barat,Pemerintah Kabupaten Halmahera Tengah,no,0.9426256418228149
Pemerintah Kabupaten Halmahera Barat,Pemkab Halmahera Barat,yes,0.8725022077560425
Pemerintah Kabupaten Halmahera Barat,Pemkab Halmahera Utara,no,0.796109139919281
Pemerintah Kabupaten Halmahera Barat,Pemkab Halmahera Tengah,no,0.7945562601089478
Pemerintah Kabupaten Halmahera Barat,Pemerintah Kabupaten Halmahera Timur,no,0.9680428504943848
Pemerintah Kabupaten Halmahera Barat,Pemkab Halmahera Timur,no,0.8187740445137024
Pemerintah Kabupaten Halmahera Timur,Pemkab Halmahera Timur,yes,0.8720414042472839
Pemerintah Kabupaten Halmahera Timur,Pemerintah Kabupaten Halmahera Selatan,no,0.9680058360099792
Pemerintah Kabupaten Halmahera Timur,Pemerintah Kabupaten Halmahera Utara,no,0.9676535129547119
Pemerintah Kabupaten Halmahera Timur,Pemerintah Kabupaten Halmahera Barat,no,0.9680428504943848
Pemerintah Kabupaten Halmahera Timur,Pemkab Halmahera Barat,no,0.8592420220375061
Pemerintah Kabupaten Halmahera Timur,Pemerintah Kabupaten Halmahera Tengah,no,0.9394236207008362
Pemerintah Kabupaten Halmahera Timur,Pemkab Halmahera Tengah,no,0.8035696744918823
Pemerintah Kabupaten Halmahera Timur,Pemkab Halmahera Selatan,no,0.8381565809249878
Pemerintah Kabupaten Halmahera Timur,Pemkab Halmahera Utara,no,0.8249108791351318
Pemerintah Kabupaten Jayapura,Pemerintah Kabupaten Jayawijaya,no,0.7367717027664185
Pemerintah Kabupaten Jayapura,Pemkab Jayawijaya,no,0.5840191841125488
Pemerintah Kabupaten Jayapura,Pemkab Jayapura,yes,0.8208314776420593
Pemerintah Kabupaten Karimun,Pemkab Karimun,yes,0.8001930713653564
Pemerintah Kabupaten Karimun,Karimun Jawa,no,0.5691993832588196
Pemerintah Kabupaten Katingan,BPS Kabupaten Katingan,no,0.906014084815979
Pemerintah Kabupaten Katingan,Badan Pusat Statistik Kabupaten Katingan,no,0.6918433904647827
Pemerintah Kabupaten Katingan,Pemkab Katingan,yes,0.7613826990127563
Pemerintah Kabupaten Katingan,Kuningan,no,0.284294992685318
Pemerintah Kabupaten Kepulauan Anambas,Pemerintah Kabupaten Kepulauan Aru,no,0.7600523233413696
Pemerintah Kabupaten Kepulauan Anambas,Pemkab Anambas,yes,0.7382538914680481
Pemerintah Kabupaten Kepulauan Anambas,Pemkab Kepulauan Aru,no,0.6454867720603943
Pemerintah Kabupaten Kepulauan Anambas,Pemerintah Kabupaten Kepulauan Sula,no,0.780974268913269
Pemerintah Kabupaten Kepulauan Anambas,Pemkab Kepulauan Sula,no,0.6306184530258179
