instansi,status,reference,similiarity
kementerian hukum dan hak asasi manusia,yes,kemenkumham,0.6911426782608032
kementerian kesehatan,yes,kemenkes,0.8139483332633972
kementerian kesehatan,no,kesehatan,0.780398428440094
kementerian kesehatan,yes,kementerian kemenkes,0.9287919998168945
kementerian komunikasi dan informatika,yes,kementerian komunikasi,0.9349573850631714
kementerian komunikasi dan informatika,yes,kementerian informatika,0.9257509708404541
kementerian komunikasi dan informatika,yes,kominfo,0.764949381351471
kementerian komunikasi dan informatika,no,informatika,0.6677594184875488
kementerian komunikasi dan informatika,no,komunikasi,0.5891829133033752
kementerian komunikasi dan informatika,no,komunikasi dan informatika,0.770127534866333
kementerian luar negeri,yes,kemlu,0.6861250996589661
kementerian luar negeri,yes,kemlu ri,0.7504218816757202
kementerian luar negeri,no,luar negeri,0.8179706335067749
kementerian luar negeri,no,kementrian dalam negeri,0.9142842888832092
kementerian badan usaha milik negara,yes,kementrian bumn,0.8684874773025513
kementerian badan usaha milik negara,yes,kemen bumn,0.7708879709243774
kementerian badan usaha milik negara,no,bumn,0.7695439457893372
kementerian badan usaha milik negara,no,badan usaha milik negara,0.8480294942855835
kementerian pariwisata dan ekonomi kreatif,yes,kemenparekraf,0.7903624176979065
kementerian pariwisata dan ekonomi kreatif,yes,kemenparekraf ri,0.8261101841926575
kementerian pariwisata dan ekonomi kreatif,no,dinas pariwisata dan kebudayaan kota bogor,0.8192212581634521
kementerian pariwisata dan ekonomi kreatif,no,dinas kebudayaan dan pariwisata kota bandung,0.8167383670806885
kementerian pemberdayaan perempuan dan perlindungan anak,yes,kemen pppa,0.7864145040512085
kementerian pemberdayaan perempuan dan perlindungan anak,yes,kementrian pp & pa,0.6506085395812988
kementerian pemberdayaan perempuan dan perlindungan anak,no,pemberdayaan perempuan,0.7944135069847107
kementerian pemberdayaan perempuan dan perlindungan anak,no,komisi perlindungan anak indonesia,0.8289778828620911
kementerian pertahanan,yes,kemhan,0.6319156289100647
kementerian pertahanan,yes,departemen pertahanan,0.8621265888214111
kementerian pertahanan,no,badan pertahanan nasional,0.8453234434127808
kementerian pertahanan,no,universitas pertahanan,0.7519368529319763
badan pemeriksa keuangan (bpk),yes,bpk,0.7422907948493958
badan pemeriksa keuangan (bpk),yes,badan pemeriksa keuangan,0.8251581788063049
badan pemeriksa keuangan (bpk),no,bpkp,0.7231518626213074
badan pemeriksa keuangan (bpk),no,kementerian keuangan,0.7041562795639038
komisi yudisial,yes,ky,0.7638953924179077
komisi yudisial,yes,komisi yudisial (ky),0.8252463340759277
komisi yudisial,no,anggota dpr ri komisi ix,0.7610481977462769
komisi yudisial,no,komisi penyiaran indonesia,0.8738794922828674
badan koordinasi penanaman modal (bkpm),yes,kementrian investasi/bkpm,0.7378717660903931
badan koordinasi penanaman modal (bkpm),yes,kementrian investasi,0.7239816784858704
badan koordinasi penanaman modal (bkpm),no,bbkpm surakarta,0.6354334950447083
badan koordinasi penanaman modal (bkpm),no,dinas penanaman modal dan pelayanan terpadu satu pintu,0.7034316658973694
badan pengkajian dan penerapan teknologi (bppt),yes,bppt,0.7196325063705444
badan pengkajian dan penerapan teknologi (bppt),yes,perwakilan bppt,0.7401381731033325
badan pengkajian dan penerapan teknologi (bppt),no,"kementerian pendidikan, kebudayaan, riset, dan teknologi",0.7640775442123413
badan pengkajian dan penerapan teknologi (bppt),no,"badan pengkajian kebijakan, iklim, dan mutu industri",0.8324332237243652
badan pengusahaan kawasan perdagangan bebas dan pelabuhan bebas batam,yes,badan pengusahaan batam (bp batam),0.805936872959137
badan pengusahaan kawasan perdagangan bebas dan pelabuhan bebas batam,yes,bp batam,0.7576013803482056
badan pengusahaan kawasan perdagangan bebas dan pelabuhan bebas batam,no,pemerintah kota batam,0.8411202430725098
badan pengusahaan kawasan perdagangan bebas dan pelabuhan bebas batam,no,universitas batam,0.7243233323097229
badan siber dan sandi negara (bssn),yes,bssn,0.7279564142227173
badan siber dan sandi negara (bssn),yes,badan siber dan sandi negara,0.8070868849754333
badan siber dan sandi negara (bssn),no,pt beritakota media siber (beritakota.id),0.778821587562561
badan siber dan sandi negara (bssn),no,universitas siber asia,0.6665765047073364
komisi pemilihan umum (kpu),yes,kpu kabupaten memberamo raya,0.7792348265647888
komisi pemilihan umum (kpu),yes,komisi pemilihan umum kabupaten fakfak,0.767223060131073
komisi pemilihan umum (kpu),no,kpu bc tipe c soekarno hatta,0.674612283706665
komisi pemilihan umum (kpu),no,kpu bc tipe b batam,0.6598243117332458
lembaga ketahanan nasional (lemhanas),yes,lembaga ketahanan nasional,0.7128628492355347
lembaga ketahanan nasional (lemhanas),yes,lemhannas ri,0.6776322722434998
lembaga ketahanan nasional (lemhanas),no,dewan ketahanan nasional (wantannas),0.9299570918083191
lembaga ketahanan nasional (lemhanas),no,lembaga penerbangan dan antariksa nasional (lapan),0.8865163326263428
badan pengelola keuangan haji (bpkh),yes,badan pengelola keuangan haji,0.7637515664100647
badan pengelola keuangan haji (bpkh),yes,bpkh,0.5916637182235718
badan pengelola keuangan haji (bpkh),no,badan pengelola keuangan,0.6759886741638184
badan pengelola keuangan haji (bpkh),no,bpk,0.6175932288169861
badan pengelola keuangan haji (bpkh),no,badan pengelola haji,0.7361506819725037
badan penyelenggara jaminan sosial ketenagakerjaan (bpjamsostek),yes,badan penyelenggara jaminan sosial ketenagakerjaan,0.8071224689483643
badan penyelenggara jaminan sosial ketenagakerjaan (bpjamsostek),yes,bpjamsostek,0.7740291357040405
badan penyelenggara jaminan sosial ketenagakerjaan (bpjamsostek),yes,bpjs ketenagakerjaan,0.7065385580062866
badan penyelenggara jaminan sosial ketenagakerjaan (bpjamsostek),no,bpjs,0.6425802707672119
badan penyelenggara jaminan sosial ketenagakerjaan (bpjamsostek),no,badan penyelenggara jaminan sosial,0.777176022529602
bank indonesia (bi),yes,bank indonesia (bi),1.0
bank indonesia (bi),yes,bi,0.7702003121376038
bank indonesia (bi),no,bank internasional indonesia,0.7750234007835388
pemerintah kabupaten gianyar,yes,pemerintahan gianyar,0.9031210541725159
pemerintah kabupaten gianyar,no,pemerintah kabupaten,0.8836236596107483
pemerintah kabupaten gianyar,no,gianyar,0.8770304322242737
pemerintah kabupaten gianyar,yes,pemkab gianyar,0.9454963207244873
pemerintah kabupaten gianyar,no,pemkab,0.827351450920105
pemerintah kabupaten tabanan,yes,pemerintahan tabanan,0.9133944511413574
pemerintah kabupaten tabanan,no,pemerintah kabupaten,0.8764725923538208
pemerintah kabupaten tabanan,no,tabanan,0.8801077008247375
pemerintah kabupaten tabanan,yes,pemkab tabanan,0.9493632316589355
pemerintah kabupaten tabanan,no,pemkab,0.8319796919822693
pemerintah kota cilegon,yes,pemkab cilegon,0.928774356842041
pemerintah kota cilegon,no,cilegon,0.869377613067627
pemerintah kota cilegon,yes,pemerintah cilegon,0.9627593159675598
pemerintah kota tangerang selatan,yes,pemkab tangerang selatan,0.9272122383117676
pemerintah kota tangerang selatan,no,tangerang selatan,0.8244447112083435
pemerintah kota tangerang selatan,no,pemkot tangerang,0.8951849937438965
pemerintah kota tangerang selatan,yes,pemkab tangsel,0.8664748668670654
pemerintah kota tangerang selatan,yes,pemerintah tangerang selatan,0.9740350246429443
pemerintah kabupaten kaur,yes,pemkab kaur,0.9375550746917725
pemerintah kabupaten kaur,no,kaur,0.5678509473800659
pemerintah kabupaten kaur,yes,pemerintah kaur,0.901889979839325
pemerintah kabupaten kepahiang,yes,pemkab kepahiang,0.9310941100120544
pemerintah kabupaten kepahiang,no,kepahiang,0.7090356349945068
pemerintah kabupaten kepahiang,yes,pemerintah kepahiang,0.8971324563026428
pemerintah kota bengkulu,yes,pemkot bengkulu,0.924022912979126
pemerintah kota bengkulu,no,bengkulu,0.8865642547607422
pemerintah provinsi bengkulu,yes,pemprov bengkulu,0.9166722893714905
pemerintah provinsi bengkulu,no,bengkulu,0.8720478415489197
pemerintah provinsi bengkulu,yes,pemerintah bengkulu,0.9547343850135803
pemerintah kota jakarta pusat,yes,pemkot jakarta pusat,0.9138547778129578
pemerintah kota jakarta pusat,yes,pemerintah kota administrasi jakarta pusat,0.9754108786582947
pemerintah kota jakarta pusat,no,pemerintah kota jakarta barat,0.9574825763702393
pemerintah kota jakarta pusat,no,pemerintah kota jakarta timur,0.9587324261665344
pemerintah kabupaten tebo,yes,pemkab tebo,0.9437714219093323
pemerintah kabupaten tebo,no,tebo,0.8120071291923523
pemerintah kabupaten tebo,yes,pemerintah tebo,0.9379730820655823
pemerintah kabupaten bandung barat,yes,pemkab bandung barat,0.9203111529350281
pemerintah kabupaten bandung barat,no,bandung barat,0.7873538732528687
pemerintah kabupaten bandung barat,yes,pemerintah bandung barat,0.9504467844963074
pemerintah kabupaten bogor,yes,pemkab bogor,0.9194133281707764
pemerintah kabupaten bogor,no,bogor,0.78094083070755
pemerintah kabupaten bogor,yes,pemerintah bogor,0.9366742372512817
pemerintah kabupaten ciamis,yes,pemkab ciamis,0.9390078783035278
pemerintah kabupaten ciamis,no,ciamis,0.7314063906669617
pemerintah kabupaten ciamis,yes,pemerintah ciamis,0.9629794359207153
pemerintah kabupaten cirebon,yes,pemkab cirebon,0.9304428696632385
pemerintah kabupaten cirebon,no,cirebon,0.8187946081161499
pemerintah kabupaten cirebon,yes,pemerintah cirebon,0.941360354423523
pemerintah kabupaten karawang,yes,pemkab karawang,0.9248602986335754
pemerintah kabupaten karawang,no,karawang,0.782244861125946
pemerintah kabupaten karawang,yes,pemerintah karawang,0.9326968193054199
pemerintah kota bekasi,yes,pemkot bekasi,0.9000056385993958
pemerintah kota bekasi,no,bekasi,0.7291492819786072
pemerintah kota bogor,yes,pemkot bogor,0.9120446443557739
pemerintah kota bogor,no,bogor,0.7999948859214783
pemerintah provinsi jawa barat,yes,pemprov jawa barat,0.9084381461143494
pemerintah provinsi jawa barat,no,jawa barat,0.8743915557861328
pemerintah provinsi jawa barat,yes,pemerintah jawa barat,0.9573861956596375
pemerintah provinsi jawa barat,yes,pemprov jabar,0.7960339188575745
pemerintah kabupaten blora,yes,pemkab blora,0.9289212226867676
pemerintah kabupaten blora,no,blora,0.8663589358329773
pemerintah kabupaten blora,yes,pemerintah blora,0.9567281007766724
pemerintah kabupaten boyolali,yes,pemkab boyolali,0.9314652681350708
pemerintah kabupaten boyolali,no,boyolali,0.8732081055641174
pemerintah kabupaten boyolali,yes,pemerintah boyolali,0.9352123737335205
pemerintah kabupaten brebes,yes,pemkab brebes,0.937633216381073
pemerintah kabupaten brebes,no,brebes,0.8306533098220825
pemerintah kabupaten brebes,yes,pemerintah brebes,0.9492959380149841
pemerintah kabupaten kebumen,yes,pemkab kebumen,0.9263088703155518
pemerintah kabupaten kebumen,no,kebumen,0.8016090393066406
pemerintah kabupaten kebumen,yes,pemerintah kebumen,0.9528313279151917
pemerintah kabupaten magelang,yes,pemkab magelang,0.9294319748878479
pemerintah kabupaten magelang,no,magelang,0.8340650796890259
pemerintah kabupaten magelang,yes,pemerintah magelang,0.9462953209877014
pemerintah kabupaten pemalang,yes,pemkab pemalang,0.9175205230712891
pemerintah kabupaten pemalang,no,pemalang,0.8279421925544739
pemerintah kabupaten pemalang,yes,pemerintah pemalang,0.9390777349472046
pemerintah kabupaten sragen,yes,pemkab sragen,0.9405856728553772
pemerintah kabupaten sragen,no,sragen,0.8774951100349426
pemerintah kabupaten sragen,yes,pemerintah sragen,0.9450498819351196
pemerintah kabupaten sukoharjo,yes,pemkab sukoharjo,0.9302558302879333
pemerintah kabupaten sukoharjo,no,sukoharjo,0.8371210098266602
pemerintah kabupaten sukoharjo,yes,pemerintah sukoharjo,0.9450815916061401
pemerintah kabupaten temanggung,yes,pemkab temanggung,0.91905677318573
pemerintah kabupaten temanggung,no,temanggung,0.8428870439529419
pemerintah kabupaten temanggung,yes,pemerintah temanggung,0.9538841843605042
pemerintah kota magelang,yes,pemkot magelang,0.9207910895347595
pemerintah kota magelang,no,magelang,0.8476109504699707
pemerintah kota pekalongan,yes,pemkot pekalongan,0.9386100769042969
pemerintah kota pekalongan,no,pekalongan,0.8874267935752869
pemerintah kabupaten jombang,yes,pemkab jombang,0.9277451038360596
pemerintah kabupaten jombang,no,jombang,0.8411629796028137
pemerintah kabupaten jombang,yes,pemerintah jombang,0.9428697228431702
pemerintah kabupaten lamongan,yes,pemkab lamongan,0.9236193895339966
pemerintah kabupaten lamongan,no,lamongan,0.8357512950897217
pemerintah kabupaten lamongan,yes,pemerintah lamongan,0.940044641494751
pemerintah kabupaten malang,yes,pemkab malang,0.9066160321235657
pemerintah kabupaten malang,no,malang,0.7418573498725891
pemerintah kabupaten malang,yes,pemerintah malang,0.8688324093818665
pemerintah kabupaten magetan,yes,pemkab magetan,0.9400997161865234
pemerintah kabupaten magetan,no,magetan,0.8870300054550171
pemerintah kabupaten magetan,yes,pemerintah magetan,0.954941987991333
pemerintah kabupaten pacitan,yes,pemkab pacitan,0.927069365978241
pemerintah kabupaten pacitan,no,pacitan,0.8431243896484375
pemerintah kabupaten pacitan,yes,pemerintah pacitan,0.947651743888855
pemerintah kabupaten tulungagung,yes,pemkab tulungagung,0.9174549579620361
pemerintah kabupaten tulungagung,no,tulungagung,0.8624284863471985
pemerintah kabupaten tulungagung,yes,pemerintah tulungagung,0.9623124599456787
pemerintah kota surabaya,yes,pemkot surabaya,0.8981948494911194
pemerintah kota surabaya,no,surabaya,0.7754680514335632
pemerintah kota surabaya,yes,pemerintah surabaya,0.9412211179733276
pemerintah kabupaten ketapang,yes,pemkab ketapang,0.9396451115608215
pemerintah kabupaten ketapang,no,ketapang,0.8513835668563843
pemerintah kabupaten ketapang,yes,pemerintah ketapang,0.9334272146224976
pemerintah kabupaten kubu raya,yes,pemkab kubu raya,0.944932222366333
pemerintah kabupaten kubu raya,no,kubu raya,0.8683823347091675
pemerintah kabupaten kubu raya,yes,pemerintah kubu raya,0.9550915956497192
pemerintah kabupaten landak,yes,pemkab landak,0.9403664469718933
pemerintah kabupaten landak,no,landak,0.838183581829071
pemerintah kabupaten landak,yes,pemerintah landak,0.9518150687217712
pemerintah kabupaten sambas,yes,pemkab sambas,0.9317734241485596
pemerintah kabupaten sambas,no,sambas,0.8858623504638672
pemerintah kabupaten sambas,yes,pemerintah sambas,0.9454928040504456
pemerintah kota singkawang,yes,pemkot singkawang,0.9427893161773682
pemerintah kota singkawang,no,singkawang,0.8866287469863892
pemerintah kota singkawang,yes,pemerintah singkawang,0.9633187055587769
pemerintah provinsi kalimantan barat,yes,pemprov kalimantan barat,0.9169625639915466
pemerintah provinsi kalimantan barat,no,kalimantan barat,0.8374273777008057
pemerintah provinsi kalimantan barat,yes,pemerintah kalimantan barat,0.9652067422866821
pemerintah provinsi kalimantan barat,yes,pemprov kalbar,0.8202865123748779
pemerintah kabupaten barito kuala,yes,pemkab barito kuala,0.9384849071502686
pemerintah kabupaten barito kuala,no,barito kuala,0.8792623281478882
pemerintah kabupaten barito kuala,yes,pemerintah barito kuala,0.951185405254364
pemerintah kabupaten hulu sungai selatan,yes,pemkab hulu sungai selatan,0.9066658616065979
pemerintah kabupaten hulu sungai selatan,no,hulu sungai selatan,0.840796172618866
pemerintah kabupaten hulu sungai selatan,yes,pemerintah hulu sungai selatan,0.9661073088645935
pemerintah kabupaten aceh besar,no,pemkab aceh utara,0.9096505641937256
pemerintah kabupaten aceh besar,no,pemprov nanggroe aceh darusalam,0.8708019852638245
pemerintah kabupaten aceh besar,no,pemerintah provinsi nanggroe aceh darusalam,0.920609712600708
pemerintah kabupaten aceh besar,no,pemkot banda aceh,0.8502500653266907
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh utara,0.9746577143669128
pemerintah kabupaten aceh besar,no,pemkab aceh barat daya,0.8972541093826294
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh barat daya,0.9662156105041504
pemerintah kabupaten aceh besar,no,pemkab aceh tengah,0.9190803170204163
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh tengah,0.9787434935569763
pemerintah kabupaten aceh besar,no,pemerintah kota banda aceh,0.9280276894569397
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh tenggara,0.9714348316192627
pemerintah kabupaten aceh besar,yes,pemkab aceh besar,0.9315841197967529
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh tamiang,0.9789395928382874
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh timur,0.978294312953949
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh barat,0.9751707315444946
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh singkil,0.9736846089363098
pemerintah kabupaten aceh besar,no,pemkab aceh tenggara,0.910677433013916
pemerintah kabupaten aceh besar,no,pemkab aceh timur,0.9084306359291077
pemerintah kabupaten aceh besar,no,pemkab aceh selatan,0.9176617860794067
pemerintah kabupaten aceh besar,no,pemkab aceh singkil,0.8863531351089478
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh jaya,0.9758881330490112
pemerintah kabupaten aceh besar,no,pemkab aceh tamiang,0.9377201199531555
pemerintah kabupaten aceh besar,no,pemerintah kabupaten aceh selatan,0.9778656363487244
pemerintah kabupaten aceh besar,no,pemkab aceh barat,0.9148792028427124
pemerintah kabupaten aceh besar,no,pemkab aceh jaya,0.8864932656288147
pemerintah kabupaten aceh tamiang,no,pemkab aceh singkil,0.8716424107551575
pemerintah kabupaten aceh tamiang,no,pemkab aceh utara,0.9038974642753601
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh singkil,0.9648448824882507
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh utara,0.9769647121429443
pemerintah kabupaten aceh tamiang,no,pemprov nanggroe aceh darusalam,0.8580084443092346
pemerintah kabupaten aceh tamiang,no,pemerintah provinsi nanggroe aceh darusalam,0.9155202507972717
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh besar,0.9789395928382874
pemerintah kabupaten aceh tamiang,no,pemkab aceh besar,0.9002141952514648
pemerintah kabupaten aceh tamiang,no,pemkab aceh tengah,0.9056826233863831
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh tengah,0.9759016036987305
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh tenggara,0.9689182043075562
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh barat,0.9730495810508728
pemerintah kabupaten aceh tamiang,no,pemkab aceh barat,0.9027473330497742
pemerintah kabupaten aceh tamiang,no,pemkab aceh timur,0.8954203724861145
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh timur,0.9742751717567444
pemerintah kabupaten aceh tamiang,no,pemkab aceh barat daya,0.8815969228744507
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh barat daya,0.9629694819450378
pemerintah kabupaten aceh tamiang,no,pemerintah kota banda aceh,0.9266254305839539
pemerintah kabupaten aceh tamiang,no,pemkot banda aceh,0.8423200249671936
pemerintah kabupaten aceh tamiang,no,pemkab aceh selatan,0.9080685377120972
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh selatan,0.9789188504219055
pemerintah kabupaten aceh tamiang,no,pemkab aceh jaya,0.8754945993423462
pemerintah kabupaten aceh tamiang,yes,pemkab aceh tamiang,0.9476359486579895
pemerintah kabupaten aceh tamiang,no,pemkab aceh tenggara,0.8969610929489136
pemerintah kabupaten aceh tamiang,no,pemerintah kabupaten aceh jaya,0.9780189394950867
pemerintah kabupaten aceh tenggara,no,pemkab aceh selatan,0.9033892154693604
pemerintah kabupaten aceh tenggara,no,pemkab aceh barat daya,0.8920080065727234
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh tengah,0.9794940948486328
pemerintah kabupaten aceh tenggara,no,pemkab aceh singkil,0.8651394248008728
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh singkil,0.9587268829345703
pemerintah kabupaten aceh tenggara,no,pemkab aceh tengah,0.9076216816902161
pemerintah kabupaten aceh tenggara,no,pemkab aceh barat,0.902335524559021
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh barat,0.9753715395927429
pemerintah kabupaten aceh tenggara,no,pemkab aceh besar,0.8950774669647217
pemerintah kabupaten aceh tenggara,no,pemkab aceh utara,0.9012839198112488
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh utara,0.9786086082458496
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh barat daya,0.9673953652381897
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh selatan,0.9774087071418762
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh besar,0.9714348316192627
pemerintah kabupaten aceh tenggara,yes,pemkab aceh tenggara,0.9292370676994324
pemerintah kabupaten aceh tenggara,no,pemerintah kota banda aceh,0.9190620183944702
pemerintah kabupaten aceh tenggara,no,pemerintah provinsi nanggroe aceh darusalam,0.9108060002326965
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh tamiang,0.9689182043075562
pemerintah kabupaten aceh tenggara,no,pemkab aceh tamiang,0.9178568124771118
pemerintah kabupaten aceh tenggara,no,pemkot banda aceh,0.8377141952514648
pemerintah kabupaten aceh tenggara,no,pemkab aceh jaya,0.8697092533111572
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh jaya,0.9673647880554199
pemerintah kabupaten aceh tenggara,no,pemkab aceh timur,0.89727783203125
pemerintah kabupaten aceh tenggara,no,pemerintah kabupaten aceh timur,0.9789480566978455
pemerintah kabupaten aceh tenggara,no,pemprov nanggroe aceh darusalam,0.8586395978927612
pemerintah kabupaten barito timur,no,pemerintah kabupaten barito selatan,0.9912897944450378
pemerintah kabupaten barito timur,no,pemkab barito utara,0.9324409365653992
pemerintah kabupaten barito timur,no,pemerintah kabupaten barito utara,0.9918434023857117
pemerintah kabupaten barito timur,yes,pemkab barito timur,0.9346471428871155
pemerintah kabupaten barito timur,no,pemkab barito selatan,0.9347472190856934
pemerintah kabupaten biak numfor,yes,pemkab biak numfor,0.9335224628448486
pemerintah kabupaten biak numfor,no,pulau biak,0.8171807527542114
pemerintah kabupaten bulungan,no,jalan bulungan,0.7615378499031067
pemerintah kabupaten bulungan,no,jl. bulungan,0.7242101430892944
pemerintah kabupaten bulungan,no,desa bulungan,0.8286954760551453
pemerintah kabupaten bulungan,yes,pemkab bulungan,0.9227209091186523
pemerintah kabupaten dompu,no,pa dompu,0.770107090473175
pemerintah kabupaten dompu,no,pengadilan agama dompu,0.8234936594963074
pemerintah kabupaten dompu,yes,pemkab dompu,0.9285435080528259
pemerintah kabupaten dompu,no,kementerian agama kabupaten dompu,0.9271622896194458
pemerintah kabupaten dompu,no,kemenag kabupaten dompu,0.8731585741043091
pemerintah kabupaten ende,yes,pemkab ende,0.9277361035346985
pemerintah kabupaten ende,no,keuskupan agung ende,0.8728982210159302
pemerintah kabupaten kepulauan sula,yes,pemerintah kabupaten sula,0.9665760397911072
pemerintah kabupaten kepulauan sula,yes,pemkab kepulauan sula,0.9204410910606384
pemerintah kabupaten kepulauan sula,no,pemkab kepulauan anambas,0.8977231979370117
pemerintah kabupaten kepulauan sula,no,pemerintah kabupaten kepulauan anambas,0.957879364490509
pemerintah kabupaten kepulauan sula,no,pemkab kepulauan yapen,0.9014937281608582
pemerintah kabupaten kepulauan sula,no,pemkab kepulauan aru,0.9103686213493347
pemerintah kabupaten kepulauan sula,no,pemerintah kabupaten kepulauan aru,0.9807636141777039
pemerintah kabupaten kepulauan sula,no,pemerintah kabupaten kepulauan yapen,0.9649021625518799
pemerintah kabupaten kepulauan sula,yes,pemkab sula,0.8737288117408752
pemerintah kabupaten kotawaringin barat,yes,pemkab kotawaringin barat,0.9495577812194824
pemerintah kabupaten kotawaringin barat,no,pemerintah kabupaten kotawaringin timur,0.9922748804092407
pemerintah kabupaten kotawaringin barat,no,pemkab kotawaringin timur,0.9369847774505615
pemerintah kabupaten lampung barat,no,pemerintah kabupaten lampung timur,0.9910773038864136
pemerintah kabupaten lampung barat,yes,pemkab lampung barat,0.9360740184783936
pemerintah kabupaten lampung barat,no,pemkab lampung timur,0.9149497151374817
pemerintah kabupaten lampung barat,no,pemerintah kota bandar lampung,0.9534431099891663
pemerintah kabupaten lampung barat,no,pemkot bandar lampung,0.8938379883766174
pemerintah kabupaten lampung barat,no,pemerintah kabupaten lampung selatan,0.9893476366996765
pemerintah kabupaten lampung barat,no,pemkab lampung selatan,0.9236570596694946
pemerintah kabupaten lampung barat,no,pemprov lampung,0.8746214509010315
pemerintah kabupaten lampung barat,no,pemerintah kabupaten lampung utara,0.9886430501937866
pemerintah kabupaten lampung barat,no,pemkab lampung utara,0.921468198299408
pemerintah kabupaten lampung barat,no,pemkab lampung tengah,0.9208278656005859
pemerintah kabupaten lampung barat,no,pemerintah provinsi lampung,0.9565231204032898
pemerintah kabupaten lampung barat,no,pemerintah kabupaten lampung tengah,0.9808172583580017
pemerintah kabupaten lanny jaya,no,pemerintah kabupaten pidie jaya,0.9596409201622009
pemerintah kabupaten lanny jaya,no,pemkab pidie jaya,0.9088943004608154
pemerintah kabupaten lanny jaya,yes,pemkab lanny jaya,0.9212183356285095
pemerintah kabupaten lanny jaya,no,pemerintah kabupaten puncak jaya,0.9502637982368469
pemerintah kabupaten lanny jaya,no,pemkab intan jaya,0.8785525560379028
pemerintah kabupaten lanny jaya,no,pemerintah kabupaten intan jaya,0.9622344374656677
pemerintah kabupaten lanny jaya,no,pemkab puncak jaya,0.8840615749359131
pemerintah kabupaten lombok barat,no,pemerintah kabupaten lombok tengah,0.983902096748352
pemerintah kabupaten lombok barat,no,pemkab lombok tengah,0.9262199997901917
pemerintah kabupaten lombok barat,yes,pemkab lombok barat,0.9420307278633118
