instansi,status,reference
kementerian pendayagunaan aparatur negara dan reformasi birokrasi (kem panrb),no,aparatur sipil negara
kementerian pekerjaan umum dan perumahan rakyat (pupr),yes,kemen pupr
kementerian pekerjaan umum dan perumahan rakyat (pupr),yes,kemen pupr ri
kementerian pekerjaan umum dan perumahan rakyat (pupr),no,dinas pekerjaan umum dan perumahan rakyat pemerintah kota pontianak
kementerian pekerjaan umum dan perumahan rakyat (pupr),no,dinas perumahan rakyat dan kawasan permukiman provinsi jawa tengah
kementerian pemuda dan olahraga,yes,kemenpora
kementerian pemuda dan olahraga,yes,kemenpora ri
kementerian pemuda dan olahraga,no,dinas pemuda dan olahraga kalimantan selatan
kementerian pemuda dan olahraga,no,dinas pemuda dan olahraga pemerintah kota padang
"kementerian pendidikan, kebudayaan, riset, dan teknologi",yes,kemendikbudristek
"kementerian pendidikan, kebudayaan, riset, dan teknologi",yes,kemdikbud
"kementerian pendidikan, kebudayaan, riset, dan teknologi",no,jasa pendidikan
"kementerian pendidikan, kebudayaan, riset, dan teknologi",no,badan riset dan inovasi nasional
kementerian perdagangan,yes,kemendag
kementerian perdagangan,yes,kemendag ri
kementerian perdagangan,no,perdangangan
kementerian perdagangan,no,dinas perindustrian dan perdagangan provinsi sumatera barat
kementerian perencanaan pembangunan nasional (ppn)/badan perencanaan pembangunan nasional (bappenas),yes,kementrian ppn/bappenas
kementerian perencanaan pembangunan nasional (ppn)/badan perencanaan pembangunan nasional (bappenas),yes,bappenas
kementerian perencanaan pembangunan nasional (ppn)/badan perencanaan pembangunan nasional (bappenas),no,"pt bank pembangunan daerah jawa barat dan banten, tbk."
kementerian perencanaan pembangunan nasional (ppn)/badan perencanaan pembangunan nasional (bappenas),no,politeknik pembangunan pertanian malang
kementerian perhubungan,yes,kemenhub
kementerian perhubungan,yes,kemenhub ri
kementerian perhubungan,no,perhubungan
kementerian perhubungan,no,dinas perhubungan kota semarang
kementerian perindustrian,yes,kemenperin
kementerian perindustrian,yes,kemenperin ri
kementerian perindustrian,no,industri
kementerian perindustrian,no,pt perindustrian bapak djenggot
kementerian pertanian,yes,kementan
kementerian pertanian,yes,kementan ri
kementerian pertanian,no,pertanian
kementerian pertanian,no,institut pertanian bogor
kementerian sosial,yes,kemensos
kementerian sosial,yes,kemensos ri
kementerian sosial,no,badan penyelenggara jaminan sosial ketenagakerjaan
kementerian sosial,no,badan penyelenggara jaminan sosial kesehatan (bpjs kesehatan)
dewan perwakilan daerah (dpd),yes,dpd
dewan perwakilan daerah (dpd),yes,anggota dewan perwakilan daerah
dewan perwakilan daerah (dpd),no,dewan perwakilan rakyat
dewan perwakilan daerah (dpd),no,dewan perwakilan rakyat daerah
dewan perwakilan rakyat (dpr),yes,anggota dpr
dewan perwakilan rakyat (dpr),yes,anggota dewan perwakilan rakyat
dewan perwakilan rakyat (dpr),no,skk migas perwakilan jawa timur
dewan perwakilan rakyat (dpr),no,dewan perwakilan daerah (dpd)
mahkamah agung (ma),yes,mahkamah agung
mahkamah agung (ma),yes,ma
mahkamah agung (ma),no,universitas sultan agung tirtayasa
mahkamah agung (ma),no,mahkamah konstitusi
mahkamah konstitusi (mk),yes,mahkamah konstitusi
mahkamah konstitusi (mk),yes,mk
mahkamah konstitusi (mk),no,mahkamah agung
mahkamah konstitusi (mk),no,mahkamah internasional
majelis permusyawaratan rakyat (mpr),yes,mpr
majelis permusyawaratan rakyat (mpr),yes,majelis permusyawaratan rakyat
majelis permusyawaratan rakyat (mpr),no,koordinator pmpr
majelis permusyawaratan rakyat (mpr),no,majelis ulama indonesia
badan informasi geospasial (big),yes,badan informasi geospasial
badan informasi geospasial (big),yes,big
badan informasi geospasial (big),no,badan riset and inovasi nasional
badan informasi geospasial (big),no,badan tenaga nuklir nasional
badan kepegawaian negara (bkn),yes,kanreg vi bkn medan
badan kepegawaian negara (bkn),yes,kantor regional xiv bkn manokwari
badan kepegawaian negara (bkn),no,badan kepegawaian daerah
badan kepegawaian negara (bkn),no,direktorat kepegawaian
badan intelijen negara (bin),yes,bin
badan intelijen negara (bin),yes,badan intelijen negara
badan intelijen negara (bin),no,"pt perusahaan gas negara (persero), tbk"
badan intelijen negara (bin),no,sekolah tinggi intelijen negara
badan keamanan laut (bakamla),yes,badan keamanan laut
badan keamanan laut (bakamla),yes,bakamla
badan keamanan laut (bakamla),no,kementrian kelautan dan perikanan
badan keamanan laut (bakamla),no,badan keamanan rakyat
badan kependudukan dan keluarga berencana nasional (bkkbn),yes,bkkbn
badan kependudukan dan keluarga berencana nasional (bkkbn),yes,bkkbn provinsi sulawesi utara
badan kependudukan dan keluarga berencana nasional (bkkbn),no,bank bri kantor cabang bkkbn
badan kependudukan dan keluarga berencana nasional (bkkbn),no,keluarga berencana
badan meteorologi klimatologi dan geofisika (bmkg),yes,badan meteorologi klimatologi dan geofisika
badan meteorologi klimatologi dan geofisika (bmkg),yes,bmkg papua
badan meteorologi klimatologi dan geofisika (bmkg),no,departemen teknik geofisika
badan meteorologi klimatologi dan geofisika (bmkg),no,departemen geofisika & meteorologi
badan narkotika nasional (bnn),yes,bnn kota bengkulu
badan narkotika nasional (bnn),yes,badan narkotika nasional provinsi jawa barat
badan narkotika nasional (bnn),no,badan search and rescue nasional
badan narkotika nasional (bnn),no,badan nasional sertifikasi profesi
badan nasional penanggulangan bencana (bnpb),yes,bnpb provinsi jawa barat
badan nasional penanggulangan bencana (bnpb),yes,badan nasional penanggulangan bencana provinsi jawa barat
badan nasional penanggulangan bencana (bnpb),no,badan penanggulangan bencana daerah
badan nasional penanggulangan bencana (bnpb),no,badan penanggulangan bencana daerah kabupaten pacitan
badan nasional penanggulangan terorisme (bnpt),yes,badan nasional penanggulangan terorisme kabupaten bekasi
badan nasional penanggulangan terorisme (bnpt),yes,bnpt kota bogor
badan nasional penanggulangan terorisme (bnpt),no,badan nasional penanggulangan bencana
badan nasional penanggulangan terorisme (bnpt),no,badan nasional pengelola perbatasan
badan pelindungan pekerja migran indonesia,yes,bp2mi
badan pelindungan pekerja migran indonesia,yes,bp2mi jawa barat
badan pelindungan pekerja migran indonesia,no,purna pekerja migran indonesia
badan pelindungan pekerja migran indonesia,no,pekerja migran indonesia
badan pengawas obat dan makanan (bpom),yes,bpom kabupaten bogor
badan pengawas obat dan makanan (bpom),yes,badan pom
badan pengawas obat dan makanan (bpom),no,toko obat inafut 1
badan pengawas obat dan makanan (bpom),no,badan pengawasan keuangan dan pembangunan
badan pengawas pemilihan umum (bawaslu),yes,badan pengawas pemilu
badan pengawas pemilihan umum (bawaslu),yes,inspektur utama badan pengawas pemilihan umum
badan pengawas pemilihan umum (bawaslu),no,komisi pemilihan umum
badan pengawas pemilihan umum (bawaslu),no,panitia pemilihan umum
badan pengawas tenaga nuklir (bapeten),yes,bapeten
badan pengawas tenaga nuklir (bapeten),yes,badan pengawas tenaga nuklir
badan pengawas tenaga nuklir (bapeten),no,badan tenaga nuklir nasional
badan pengawas tenaga nuklir (bapeten),no,badan tenaga atom internasional
badan pusat statistik (bps),yes,bps provinsi sulawesi utara
badan pusat statistik (bps),yes,badan pusat statistik provinsi bali
badan pusat statistik (bps),no,bpsdm
badan pusat statistik (bps),no,badan standardisasi nasional (bsn)
badan search and rescue nasional (basarnas),yes,badan sar nasional (basarnas)
badan search and rescue nasional (basarnas),yes,badan nasional pencarian dan pertolongan (bnpp)
badan search and rescue nasional (basarnas),no,badan nasional penanggulangan bencana
badan search and rescue nasional (basarnas),no,badan standardisasi nasional (bsn)
badan standardisasi nasional (bsn),yes,badan standardisasi nasional
badan standardisasi nasional (bsn),yes,bsn
badan standardisasi nasional (bsn),no,standard chartered indonesia
badan standardisasi nasional (bsn),no,badan search and rescue nasional (basarnas)
badan tenaga nuklir nasional (batan),yes,badan tenaga nuklir nasional
badan tenaga nuklir nasional (batan),yes,batan
badan tenaga nuklir nasional (batan),no,badan pengawas tenaga nuklir
badan tenaga nuklir nasional (batan),no,badan standardisasi nasional (bsn)
dewan ketahanan nasional (wantannas),yes,dewan ketahanan nasional
dewan ketahanan nasional (wantannas),yes,wantannas
dewan ketahanan nasional (wantannas),no,lembaga ketahanan nasional (lemhannas)
dewan ketahanan nasional (wantannas),no,dewan nasional perubahan iklim
kejaksaan republik indonesia,yes,kejaksaan negeri kota kediri
kejaksaan republik indonesia,yes,kejaksaaan tinggi provinsi jawa tengah
kejaksaan republik indonesia,no,komisi kejaksaan republik indonesia
kejaksaan republik indonesia,no,kepolisian negara republik indonesia resor kota pontianak
kepolisian negara republik indonesia,yes,kepolisian negara republik indonesia resor kota pontianak
kepolisian negara republik indonesia,yes,kepolisian daerah provinsi di yogyakarta
kepolisian negara republik indonesia,no,perum percetakan negara republik indonesia (pnri)
kepolisian negara republik indonesia,no,ombudsman republik indonesia
komisi nasional hak asasi manusia (komnas ham),yes,komisi nasional ham
komisi nasional hak asasi manusia (komnas ham),yes,komnas ham
komisi nasional hak asasi manusia (komnas ham),no,kementerian hukum dan hak asasi manusia
komisi nasional hak asasi manusia (komnas ham),no,direktorat fasilitasi dan informasi ham
komisi pemberantasan korupsi (kpk),yes,komisi pemberantasan korupsi
komisi pemberantasan korupsi (kpk),yes,kpk
komisi pemberantasan korupsi (kpk),no,kpknl
komisi pemberantasan korupsi (kpk),no,komisi pemilihan umum
komisi pengawas persaingan usaha (kppu),yes,komisi pengawas persaingan usaha ri
komisi pengawas persaingan usaha (kppu),yes,kppu ri
komisi pengawas persaingan usaha (kppu),no,pelaku usaha di surabaya
komisi pengawas persaingan usaha (kppu),no,komisi pengawas advokat
lembaga administrasi negara (lan),yes,lembaga administrasi negara
lembaga administrasi negara (lan),yes,lan ri
lembaga administrasi negara (lan),no,jurusan administrasi negara
lembaga administrasi negara (lan),no,sekolah tinggi ilmu administrasi lembaga administrasi negara
lembaga ilmu pengetahuan indonesia (lipi),yes,lembaga ilmu pengetahuan indonesia
lembaga ilmu pengetahuan indonesia (lipi),yes,perwakilan lembaga ilmu pengetahuan indonesia
lembaga ilmu pengetahuan indonesia (lipi),no,lembaga pembiayaan ekspor indonesia
lembaga ilmu pengetahuan indonesia (lipi),no,akademi ilmu pengetahuan indonesia
lembaga penerbangan dan antariksa nasional (lapan),yes,lembaga penerbangan dan antariksa nasional
lembaga penerbangan dan antariksa nasional (lapan),yes,lapan
lembaga penerbangan dan antariksa nasional (lapan),no,perum lembaga penyelenggara pelayanan navigasi penerbangan indonesia (lppnpi)
lembaga penerbangan dan antariksa nasional (lapan),no,lembaga ketahanan nasional (lemhanas)
lembaga penyiaran publik tvri,yes,lpp tvri
lembaga penyiaran publik tvri,yes,lembaga penyiaran publik
lembaga penyiaran publik tvri,no,komisi penyiaran indonesia
lembaga penyiaran publik tvri,no,penyiaran multimedia vokasi
ombudsman republik indonesia (ori),yes,ombudsman republik indonesia
ombudsman republik indonesia (ori),yes,ombudsman ri
ombudsman republik indonesia (ori),no,perpustakaan nasional republik indonesia
ombudsman republik indonesia (ori),no,ombudsman malaysia
perpustakaan nasional republik indonesia (perpusnas),yes,perpustakaan nasional ri
perpustakaan nasional republik indonesia (perpusnas),yes,perpustakaan nasional republik indonesia
perpustakaan nasional republik indonesia (perpusnas),no,dinas perpustakaan
perpustakaan nasional republik indonesia (perpusnas),no,perpustakaan jakarta cikini
pusat pelaporan dan analisis transaksi keuangan (ppatk),yes,pusat pelaporan dan analisis transaksi keuangan
pusat pelaporan dan analisis transaksi keuangan (ppatk),yes,ppatk
pusat pelaporan dan analisis transaksi keuangan (ppatk),no,pusat analisis dan harmonisasi kebijakan
pusat pelaporan dan analisis transaksi keuangan (ppatk),no,pusat pelaporan dan pembinaan keuangan kemhan ri
sekretariat kabinet,yes,sekretariat kabinet republik indonesia
sekretariat kabinet,yes,setkab
sekretariat kabinet,no,sekretariat daerah kabupaten klaten
sekretariat kabinet,no,sekretariat direktorat jenderal pajak
arsip nasional republik indonesia (anri),yes,anri
arsip nasional republik indonesia (anri),yes,arsip nasional ri
arsip nasional republik indonesia (anri),no,perpustakaan nasional republik indonesia
arsip nasional republik indonesia (anri),no,dinas arsip dan perpustakaan
tentara nasional indonesia (tni),yes,tni angkatan udara
tentara nasional indonesia (tni),yes,inspektorat jenderal tni
tentara nasional indonesia (tni),no,pt pelayaran nasional indonesia (persero) (pelni)
tentara nasional indonesia (tni),no,komite olahraga nasional indonesia
komisi aparatur sipil negara (kasn),yes,kasn ri
komisi aparatur sipil negara (kasn),yes,komisi aparatur sipil negara ri
komisi aparatur sipil negara (kasn),no,kementerian pendayagunaan aparatur negara dan reformasi birokrasi (kem panrb)
komisi aparatur sipil negara (kasn),no,deputi bidang kebijakan pengembangan kompetensi aparatur sipil negara
badan pengatur hilir minyak dan gas bumi (bph migas),yes,badan pengatur hilir minyak dan gas bumi
badan pengatur hilir minyak dan gas bumi (bph migas),yes,bph migas
badan pengatur hilir minyak dan gas bumi (bph migas),no,skk migas
badan pengatur hilir minyak dan gas bumi (bph migas),no,satuan kerja khusus pelaksana kegiatan usaha hulu minyak dan gas bumi
dewan pertimbangan presiden (wantimpres),yes,dewan pertimbangan presiden republik indonesia
dewan pertimbangan presiden (wantimpres),yes,wantimpres ri
dewan pertimbangan presiden (wantimpres),no,dewan perwakilan rakyat
dewan pertimbangan presiden (wantimpres),no,dewan presiden subang national golf club
komisi kejaksaan republik indonesia,yes,kkri
komisi kejaksaan republik indonesia,yes,komisi kejaksaan ri
komisi kejaksaan republik indonesia,no,kejaksaan republik indonesia
komisi kejaksaan republik indonesia,no,komisi kebenaran dan rekonsiliasi
komisi penyiaran indonesia (kpi),yes,komisi penyiaran indonesia pusat
komisi penyiaran indonesia (kpi),yes,komisi penyiaran indonesia daerah
komisi penyiaran indonesia (kpi),no,lembaga penyiaran publik
komisi penyiaran indonesia (kpi),no,komisi kejaksaan republik indonesia
lembaga perlindungan saksi dan korban (lpsk),yes,lpsk ri
lembaga perlindungan saksi dan korban (lpsk),yes,lembaga perlindungan saksi dan korban ri
lembaga perlindungan saksi dan korban (lpsk),no,lembaga perlindungan konsumen swadaya masyarakat
lembaga perlindungan saksi dan korban (lpsk),no,lembaga otoritas perlindungan data pribadi
dewan perwakilan rakyat daerah (dprd),yes,dprd
dewan perwakilan rakyat daerah (dprd),yes,dewan perwakilan rakyat daerah
dewan perwakilan rakyat daerah (dprd),no,dpr
dewan perwakilan rakyat daerah (dprd),no,dpd
dewan perwakilan rakyat daerah (dprd),no,dewan perwakilan rakyat
dewan perwakilan rakyat daerah (dprd),no,dewan perwakilan daerah
dewan perwakilan rakyat daerah (dprd),no,dewan
lembaga pembiayaan ekspor indonesia,no,lembaga pembiayaan
lembaga pembiayaan ekspor indonesia,yes,indonesia eximbank
lembaga pembiayaan ekspor indonesia,no,lembaga pembiayaan indonesia
kantor staf presiden,no,kantor staf
kantor staf presiden,no,kantor presiden
kantor staf presiden,yes,kantor staf presiden
badan penyelenggara jaminan sosial kesehatan (bpjs kesehatan),yes,badan penyelenggara jaminan sosial kesehatan
badan penyelenggara jaminan sosial kesehatan (bpjs kesehatan),yes,bpjs kesehatan
badan penyelenggara jaminan sosial kesehatan (bpjs kesehatan),no,bpjs
badan penyelenggara jaminan sosial kesehatan (bpjs kesehatan),no,badan penyelenggara jaminan sosial
lembaga penjamin simpanan (lps),yes,lembaga penjamin simpanan
lembaga penjamin simpanan (lps),yes,lps
lembaga penjamin simpanan (lps),no,lembaga penjamin
lembaga penjamin simpanan (lps),no,lembaga simpanan
badan nasional pengelola perbatasan,yes,bnpp
badan nasional pengelola perbatasan,no,badan nasional
badan nasional pengelola perbatasan,no,badan nasional pengelola
badan pengusahaan kawasan perdagangan bebas & pelabuhan bebas sabang,no,badan pengusahaan kawasan perdagangan bebas
badan pengusahaan kawasan perdagangan bebas & pelabuhan bebas sabang,no,pelabuhan bebas sabang
badan pengusahaan kawasan perdagangan bebas & pelabuhan bebas sabang,yes,bpks
badan pembinaan ideologi pancasila,yes,badan pembinaan ideologi
badan pembinaan ideologi pancasila,yes,bpip
badan pembinaan ideologi pancasila,no,badan pembinaan
lembaga penyiaran publik radio republik indonesia,yes,radio republik indonesia
lembaga penyiaran publik radio republik indonesia,yes,rri
lembaga penyiaran publik radio republik indonesia,no,lembaga penyiaran publik
dewan jaminan sosial nasional,yes,djsn
dewan jaminan sosial nasional,yes,dewan jaminan sosial
dewan jaminan sosial nasional,no,dewan
kementerian investasi,no,penanam modal
kementerian investasi,yes,bkpm
kementerian investasi,yes,badan koordinasi penanaman modal
kementerian investasi,no,investasi
pemerintah kabupaten badung,yes,pemerintahan badung
pemerintah kabupaten badung,no,pemerintah kabupaten
pemerintah kabupaten badung,no,badung
pemerintah kabupaten badung,yes,pemkab badung
pemerintah kabupaten badung,no,pemkab
pemerintah kabupaten bangli,yes,pemerintahan bangli
pemerintah kabupaten bangli,no,pemerintah kabupaten
pemerintah kabupaten bangli,no,bangli
pemerintah kabupaten bangli,yes,pemkab bangli
pemerintah kabupaten bangli,no,pemkab
pemerintah kabupaten buleleng,yes,pemerintahan buleleng
pemerintah kabupaten buleleng,no,pemerintah kabupaten
pemerintah kabupaten buleleng,no,buleleng
pemerintah kabupaten buleleng,yes,pemkab buleleng
pemerintah kabupaten buleleng,no,pemkab
pemerintah kabupaten jembrana,yes,pemerintahan jembrana
pemerintah kabupaten jembrana,no,pemerintah kabupaten
pemerintah kabupaten jembrana,no,jembrana
pemerintah kabupaten jembrana,yes,pemkab jembrana
pemerintah kabupaten jembrana,no,pemkab
pemerintah kabupaten karangasem,yes,pemerintahan karangasem
pemerintah kabupaten karangasem,no,pemerintah kabupaten
pemerintah kabupaten karangasem,no,karangasem
pemerintah kabupaten karangasem,yes,pemkab karangasem
pemerintah kabupaten karangasem,no,pemkab
pemerintah kabupaten klungkung,yes,pemerintahan klungkung
pemerintah kabupaten klungkung,no,pemerintah kabupaten
pemerintah kabupaten klungkung,no,klungkung
pemerintah kabupaten klungkung,yes,pemkab klungkung
pemerintah kabupaten klungkung,no,pemkab
pemerintah kota denpasar,yes,pemerintahan denpasar
pemerintah kota denpasar,no,pemerintah kota
pemerintah kota denpasar,no,denpasar
pemerintah kota denpasar,yes,pemkot denpasar
pemerintah kota denpasar,no,pemkot
pemerintah provinsi bali,yes,pemerintahan bali
pemerintah provinsi bali,no,pemerintah provinsi
pemerintah provinsi bali,no,bali
pemerintah provinsi bali,yes,pemprov bali
pemerintah provinsi bali,no,pemprov
pemerintah kabupaten bangka barat,no,pemerintahan bangka
pemerintah kabupaten bangka barat,no,pemerintah kabupaten
pemerintah kabupaten bangka barat,no,bangka
pemerintah kabupaten bangka barat,no,pemkab bangka
pemerintah kabupaten bangka barat,no,pemkab
pemerintah kabupaten bangka barat,yes,pemerintah bangka barat
pemerintah kabupaten bangka barat,no,pemerintah bangka selatan
pemerintah kabupaten bangka barat,no,pemerintah bangka tengah
pemerintah kabupaten bangka barat,yes,pemkab bangka barat
pemerintah kabupaten bangka barat,no,pemkab bangka selatan
pemerintah kabupaten bangka barat,no,pemkab bangka tengah
pemerintah kabupaten bangka selatan,no,pemerintahan bangka
pemerintah kabupaten bangka selatan,no,pemkab bangka
pemerintah kabupaten bangka selatan,no,pemkab
pemerintah kabupaten bangka selatan,no,pemerintah bangka barat
pemerintah kabupaten bangka selatan,yes,pemerintah bangka selatan
pemerintah kabupaten bangka selatan,no,pemerintah bangka tengah
pemerintah kabupaten bangka selatan,no,pemkab bangka barat
pemerintah kabupaten bangka selatan,yes,pemkab bangka selatan
pemerintah kabupaten bangka selatan,no,pemkab bangka tengah
pemerintah kabupaten belitung,yes,pemerintahan belitung
pemerintah kabupaten belitung,no,pemerintah kabupaten
pemerintah kabupaten belitung,no,belitung
pemerintah kabupaten belitung,yes,pemkab belitung
pemerintah kabupaten belitung,no,pemkab
pemerintah kabupaten belitung,no,pemerintah belitung timur
pemerintah kabupaten belitung,no,pemerintahan belitung timur
pemerintah kabupaten belitung,no,pemkab belitung timur
pemerintah kabupaten belitung timur,no,pemerintahan belitung
pemerintah kabupaten belitung timur,no,pemerintah kabupaten
pemerintah kabupaten belitung timur,no,belitung
pemerintah kabupaten belitung timur,no,pemkab belitung
pemerintah kabupaten belitung timur,no,pemkab
pemerintah kabupaten belitung timur,yes,pemerintah belitung timur
pemerintah kabupaten belitung timur,yes,pemerintahan belitung timur
pemerintah kabupaten belitung timur,yes,pemkab belitung timur
pemerintah kabupaten lebak,yes,pemerintahan lebak
pemerintah kabupaten lebak,no,pemerintah kabupaten
pemerintah kabupaten lebak,no,lebak
pemerintah kabupaten lebak,yes,pemkab lebak
pemerintah kabupaten lebak,no,pemkab
pemerintah kabupaten pandeglang,yes,pemkab pandeglang
pemerintah kabupaten pandeglang,no,pandeglang
pemerintah kabupaten pandeglang,yes,pemerintah pandeglang
pemerintah kabupaten serang,yes,pemkab serang
pemerintah kabupaten serang,no,serang
pemerintah kabupaten serang,yes,pemerintah serang
pemerintah kota serang,yes,pemkab serang
pemerintah kota serang,no,serang
pemerintah kota serang,yes,pemerintah serang
pemerintah kota tangerang,yes,pemkot tangerang
pemerintah kota tangerang,no,tangerang
pemerintah kabupaten bengkulu selatan,yes,pemkab bengkulu selatan
pemerintah kabupaten bengkulu selatan,no,pemkab bengkulu
pemerintah kabupaten bengkulu selatan,no,pemerintah bengkulu
pemerintah kabupaten bengkulu selatan,no,bengkulu selatan
pemerintah kabupaten bengkulu selatan,yes,pemerintah bengkulu selatan
pemerintah kabupaten bengkulu tengah,yes,pemkab bengkulu tengah
pemerintah kabupaten bengkulu tengah,no,pemkab bengkulu
pemerintah kabupaten bengkulu tengah,no,pemerintah bengkulu
pemerintah kabupaten bengkulu tengah,no,bengkulu tengah
pemerintah kabupaten bengkulu tengah,yes,pemerintah bengkulu tengah
pemerintah kabupaten bengkulu utara,yes,pemkab bengkulu utara
pemerintah kabupaten bengkulu utara,no,pemkab bengkulu
pemerintah kabupaten bengkulu utara,no,pemerintah bengkulu
pemerintah kabupaten bengkulu utara,no,bengkulu utara
pemerintah kabupaten bengkulu utara,yes,pemerintah bengkulu utara
pemerintah kabupaten lebong,yes,pemkab lebong
pemerintah kabupaten lebong,no,lebong
pemerintah kabupaten lebong,yes,pemerintah lebong
pemerintah kabupaten muko muko,yes,pemkab muko muko
pemerintah kabupaten muko muko,no,muko muko
pemerintah kabupaten muko muko,yes,pemerintah muko muko
pemerintah kabupaten rejang lebong,yes,pemkab rejang lebong
pemerintah kabupaten rejang lebong,no,rejang lebong
pemerintah kabupaten rejang lebong,yes,pemerintah rejang lebong
pemerintah kabupaten seluma,yes,pemkab seluma
pemerintah kabupaten seluma,no,seluma
pemerintah kabupaten seluma,yes,pemerintah seluma
pemerintah kabupaten bantul,yes,pemkab bantul
pemerintah kabupaten bantul,no,bantul
pemerintah kabupaten bantul,yes,pemerintah bantul
pemerintah kabupaten gunung kidul,yes,pemkab gunung kidul
pemerintah kabupaten gunung kidul,no,gunung kidul
pemerintah kabupaten gunung kidul,no,pemkab gunung
pemerintah kabupaten gunung kidul,yes,pemerintah gunung kidul
pemerintah kabupaten kulonprogo,yes,pemkab kulonprogo
pemerintah kabupaten kulonprogo,no,kulonprogo
pemerintah kabupaten kulonprogo,yes,pemerintah kulonprogo
pemerintah kabupaten sleman,yes,pemkab sleman
pemerintah kabupaten sleman,no,sleman
pemerintah kabupaten sleman,yes,pemerintah sleman
pemerintah kota yogyakarta,yes,pemkot yogyakarta
pemerintah kota yogyakarta,no,yogyakarta
pemerintah provinsi di yogyakarta,yes,pemprov di yogyakarta
pemerintah provinsi di yogyakarta,yes,pemprov diy
pemerintah provinsi di yogyakarta,no,diy
pemerintah provinsi di yogyakarta,no,yogyakarta
pemerintah provinsi di yogyakarta,yes,pemerintah yogyakarta
pemerintah kabupaten kepulauan seribu,yes,pemkab kepulauan seribu
pemerintah kabupaten kepulauan seribu,yes,pemerintah kab. kepulauan seribu
pemerintah kabupaten kepulauan seribu,no,pemerintah kabupaten kepulauan yapen
pemerintah kabupaten kepulauan seribu,no,pemerintah kabupaten kepulauan anambas
pemerintah kota jakarta barat,yes,pemkot jakarta barat
pemerintah kota jakarta barat,yes,pemerintah kota adminsitrasi jakarta barat
pemerintah kota jakarta barat,no,pemerintah kota jakarta timur
