instansi,reference,status
Dewan Perwakilan Rakyat (DPR),SKK Migas Perwakilan Jawa Timur,no
Dewan Perwakilan Rakyat (DPR),Dewan Perwakilan Daerah (DPD),no
Komisi Yudisial,KY,yes
Komisi Yudisial,Komisi Yudisial (KY),yes
Komisi Yudisial,Anggota DPR RI Komisi IX,no
Komisi Yudisial,Komisi Penyiaran Indonesia,no
Mahkamah Agung (MA),Mahkamah Agung,yes
Mahkamah Agung (MA),MA,yes
Mahkamah Agung (MA),Universitas Sultan Agung Tirtayasa,no
Mahkamah Agung (MA),Mahkamah Konstitusi,no
Mahkamah Konstitusi (MK),Mahkamah Konstitusi,yes
Mahkamah Konstitusi (MK),MK,yes
Mahkamah Konstitusi (MK),Mahkamah Agung,no
Mahkamah Konstitusi (MK),Mahkamah Internasional,no
Majelis Permusyawaratan Rakyat (MPR),MPR,yes
Majelis Permusyawaratan Rakyat (MPR),Majelis Permusyawaratan Rakyat,yes
Majelis Permusyawaratan Rakyat (MPR),Koordinator PMPR,no
Majelis Permusyawaratan Rakyat (MPR),Majelis Ulama Indonesia,no
Badan Informasi Geospasial (BIG),Badan Informasi Geospasial,yes
Badan Informasi Geospasial (BIG),BIG,yes
Badan Informasi Geospasial (BIG),Badan Riset and Inovasi Nasional,no
Badan Informasi Geospasial (BIG),Badan Tenaga Nuklir Nasional,no
Badan Kepegawaian Negara (BKN),Kanreg VI BKN Medan,yes
Badan Kepegawaian Negara (BKN),Kantor Regional XIV BKN Manokwari,yes
Badan Kepegawaian Negara (BKN),Badan Kepegawaian Daerah,no
Badan Kepegawaian Negara (BKN),Direktorat Kepegawaian,no
Badan Intelijen Negara (BIN),BIN,yes
Badan Intelijen Negara (BIN),Badan Intelijen Negara,yes
Badan Intelijen Negara (BIN),"PT Perusahaan Gas Negara (Persero), Tbk",no
Badan Intelijen Negara (BIN),Sekolah Tinggi Intelijen Negara,no
Badan Keamanan Laut (Bakamla),Badan Keamanan Laut,yes
Badan Keamanan Laut (Bakamla),Bakamla,yes
Badan Keamanan Laut (Bakamla),Kementerian Kelautan dan Perikanan,no
Badan Keamanan Laut (Bakamla),Badan Keamanan Rakyat,no
Badan Kependudukan Dan Keluarga Berencana Nasional (BKKBN),BKKBN,yes
Badan Kependudukan Dan Keluarga Berencana Nasional (BKKBN),BKKBN Provinsi Sulawesi Utara,yes
Badan Kependudukan Dan Keluarga Berencana Nasional (BKKBN),Bank BRI Kantor Cabang BKKBN,no
Badan Kependudukan Dan Keluarga Berencana Nasional (BKKBN),Keluarga Berencana,no
Badan Koordinasi Penanaman Modal (BKPM),Kementerian Investasi/BKPM,yes
Badan Koordinasi Penanaman Modal (BKPM),Kementerian Investasi,yes
Badan Koordinasi Penanaman Modal (BKPM),BBKPM Surakarta,no
Badan Koordinasi Penanaman Modal (BKPM),Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,no
Badan Meteorologi Klimatologi Dan Geofisika (BMKG),Badan Meteorologi Klimatologi Dan Geofisika,yes
Badan Meteorologi Klimatologi Dan Geofisika (BMKG),BMKG Papua,yes
Badan Meteorologi Klimatologi Dan Geofisika (BMKG),Departemen Teknik Geofisika,no
Badan Meteorologi Klimatologi Dan Geofisika (BMKG),Departemen Geofisika & Meteorologi,no
Badan Narkotika Nasional (BNN),BNN Kota Bengkulu,yes
Badan Narkotika Nasional (BNN),Badan Narkotika Nasional Provinsi Jawa Barat,yes
Badan Narkotika Nasional (BNN),Badan Search And Rescue Nasional,no
Badan Narkotika Nasional (BNN),Badan Nasional Sertifikasi Profesi,no
Badan Nasional Penanggulangan Bencana (BNPB),BNPB Provinsi Jawa Barat,yes
Badan Nasional Penanggulangan Bencana (BNPB),Badan Nasional Penanggulangan Bencana Provinsi Jawa Barat,yes
Badan Nasional Penanggulangan Bencana (BNPB),Badan Penanggulangan Bencana Daerah,no
Badan Nasional Penanggulangan Bencana (BNPB),Badan Penanggulangan Bencana Daerah Kabupaten Pacitan,no
Badan Pelindungan Pekerja Migran Indonesia,BP2MI,yes
Badan Pelindungan Pekerja Migran Indonesia,BP2MI Jawa Barat,yes
Badan Pelindungan Pekerja Migran Indonesia,Purna Pekerja Migran Indonesia,no
Badan Pelindungan Pekerja Migran Indonesia,Pekerja Migran Indonesia,no
Badan Pengawas Obat Dan Makanan (BPOM),BPOM Kabupaten Bogor,yes
Badan Pengawas Obat Dan Makanan (BPOM),Badan POM,yes
Badan Pengawas Obat Dan Makanan (BPOM),Toko Obat Inafut 1,no
Badan Pengawas Obat Dan Makanan (BPOM),Badan Pengawasan Keuangan dan Pembangunan,no
Badan Pengawasan Keuangan Dan Pembangunan (BPKP),BPKP,yes
Badan Pengawasan Keuangan Dan Pembangunan (BPKP),Perwakilan BPKP Provinsi Sulawesi Barat,yes
Badan Pengawasan Keuangan Dan Pembangunan (BPKP),Badan Pengelola Keuangan Haji (BPKH),no
Badan Pengawasan Keuangan Dan Pembangunan (BPKP),Badan Pengawasan Mahkamah Agung,no
Badan Pengkajian Dan Penerapan Teknologi (BPPT),BPPT,yes
Badan Pengkajian Dan Penerapan Teknologi (BPPT),Perwakilan BPPT,yes
Badan Pengkajian Dan Penerapan Teknologi (BPPT),"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",no
Badan Pengkajian Dan Penerapan Teknologi (BPPT),"Badan Pengkajian Kebijakan, Iklim, dan Mutu Industri",no
Badan Siber dan Sandi Negara (BSSN),BSSN,yes
Badan Siber dan Sandi Negara (BSSN),Badan Siber dan Sandi Negara,yes
Badan Siber dan Sandi Negara (BSSN),PT Beritakota Media Siber (Beritakota.id),no
Badan Siber dan Sandi Negara (BSSN),Universitas Siber Asia,no
Badan Standardisasi Nasional (BSN),Badan Standardisasi Nasional,yes
Badan Standardisasi Nasional (BSN),BSN,yes
Badan Standardisasi Nasional (BSN),Standard Chartered Indonesia,no
Badan Standardisasi Nasional (BSN),Badan Search And Rescue Nasional (Basarnas),no
Badan Tenaga Nuklir Nasional (BATAN),Badan Tenaga Nuklir Nasional,yes
Badan Tenaga Nuklir Nasional (BATAN),BATAN,yes
Badan Tenaga Nuklir Nasional (BATAN),Badan Pengawas Tenaga Nuklir,no
Badan Tenaga Nuklir Nasional (BATAN),Badan Standardisasi Nasional (BSN),no
Dewan Ketahanan Nasional (Wantannas),Dewan Ketahanan Nasional,yes
Dewan Ketahanan Nasional (Wantannas),Wantannas,yes
Dewan Ketahanan Nasional (Wantannas),Lembaga Ketahanan Nasional (Lemhannas),no
Dewan Ketahanan Nasional (Wantannas),Dewan Nasional Perubahan Iklim,no
Kejaksaan Republik Indonesia,Kejaksaan Negeri Kota Kediri,yes
Kejaksaan Republik Indonesia,Kejaksaaan Tinggi Provinsi Jawa Tengah,yes
Kejaksaan Republik Indonesia,Komisi Kejaksaan Republik Indonesia,no
Kejaksaan Republik Indonesia,Kepolisian Negara Republik Indonesia Resor Kota Pontianak,no
Kepolisian Negara Republik Indonesia,Kepolisian Negara Republik Indonesia Resor Kota Pontianak,yes
Kepolisian Negara Republik Indonesia,Kepolisian Daerah Provinsi DI Yogyakarta,yes
Kepolisian Negara Republik Indonesia,Perum Percetakan Negara Republik Indonesia (PNRI),no
Kepolisian Negara Republik Indonesia,Ombudsman Republik Indonesia,no
Komisi Pemilihan Umum (KPU),KPU Kabupaten Memberamo Raya,yes
Komisi Pemilihan Umum (KPU),Komisi Pemilihan Umum Kabupaten Fakfak,yes
Komisi Pemilihan Umum (KPU),KPU BC Tipe C Soekarno Hatta,no
Komisi Pemilihan Umum (KPU),KPU BC Tipe B Batam,no
Komisi Pengawas Persaingan Usaha (KPPU),Komisi Pengawas Persaingan Usaha RI,yes
Komisi Pengawas Persaingan Usaha (KPPU),KPPU RI,yes
Komisi Pengawas Persaingan Usaha (KPPU),Pelaku Usaha di Surabaya,no
Komisi Pengawas Persaingan Usaha (KPPU),Komisi Pengawas Advokat,no
Lembaga Ilmu Pengetahuan Indonesia (LIPI),Lembaga Ilmu Pengetahuan Indonesia,yes
Lembaga Ilmu Pengetahuan Indonesia (LIPI),Perwakilan Lembaga Ilmu Pengetahuan Indonesia,yes
Lembaga Ilmu Pengetahuan Indonesia (LIPI),Lembaga Pembiayaan Ekspor Indonesia,no
Lembaga Ilmu Pengetahuan Indonesia (LIPI),Akademi Ilmu Pengetahuan Indonesia,no
Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP),Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,yes
Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP),LKPP RI,yes
Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP),PT Jasa Raharja (Persero),no
Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP),Lembaga Sertifikasi Profesi Pengadaan Indonesia,no
Lembaga Ketahanan Nasional (Lemhanas),Lembaga Ketahanan Nasional,yes
Lembaga Ketahanan Nasional (Lemhanas),Lemhannas RI,yes
Lembaga Ketahanan Nasional (Lemhanas),Dewan Ketahanan Nasional (Wantannas),no
Lembaga Ketahanan Nasional (Lemhanas),Lembaga Penerbangan Dan Antariksa Nasional (Lapan),no
Lembaga Penerbangan Dan Antariksa Nasional (Lapan),Lembaga Penerbangan dan Antariksa Nasional,yes
Lembaga Penerbangan Dan Antariksa Nasional (Lapan),Lapan,yes
Lembaga Penerbangan Dan Antariksa Nasional (Lapan),Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia (LPPNPI),no
Lembaga Penerbangan Dan Antariksa Nasional (Lapan),Lembaga Ketahanan Nasional (Lemhanas),no
Ombudsman Republik Indonesia (ORI),Ombudsman Republik Indonesia,yes
Ombudsman Republik Indonesia (ORI),Ombudsman RI,yes
Ombudsman Republik Indonesia (ORI),Perpustakaan Nasional Republik Indonesia,no
Ombudsman Republik Indonesia (ORI),Ombudsman Malaysia,no
Pusat Pelaporan Dan Analisis Transaksi Keuangan (PPATK),Pusat Pelaporan Dan Analisis Transaksi Keuangan,yes
Pusat Pelaporan Dan Analisis Transaksi Keuangan (PPATK),PPATK,yes
Pusat Pelaporan Dan Analisis Transaksi Keuangan (PPATK),Pusat Analisis dan Harmonisasi Kebijakan,no
Pusat Pelaporan Dan Analisis Transaksi Keuangan (PPATK),Pusat Pelaporan dan Pembinaan Keuangan Kemhan RI,no
Sekretariat Kabinet,Sekretariat Kabinet Republik Indonesia,yes
Sekretariat Kabinet,Setkab,yes
Sekretariat Kabinet,Sekretariat Daerah Kabupaten Klaten,no
Sekretariat Kabinet,Sekretariat Direktorat Jenderal Pajak,no
Arsip Nasional Republik Indonesia (ANRI),ANRI,yes
Arsip Nasional Republik Indonesia (ANRI),Arsip Nasional RI,yes
Arsip Nasional Republik Indonesia (ANRI),Perpustakaan Nasional Republik Indonesia,no
Arsip Nasional Republik Indonesia (ANRI),Dinas Arsip dan Perpustakaan,no
Tentara Nasional Indonesia (TNI),TNI Angkatan Udara,yes
Tentara Nasional Indonesia (TNI),Inspektorat Jenderal TNI,yes
Tentara Nasional Indonesia (TNI),PT Pelayaran Nasional Indonesia (Persero) (Pelni),no
Tentara Nasional Indonesia (TNI),Komite Olahraga Nasional Indonesia,no
Komisi Aparatur Sipil Negara (KASN),KASN RI,yes
Komisi Aparatur Sipil Negara (KASN),Komisi Aparatur Sipil Negara RI,yes
Komisi Aparatur Sipil Negara (KASN),Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Kem PANRB),no
Komisi Aparatur Sipil Negara (KASN),Deputi Bidang Kebijakan Pengembangan Kompetensi Aparatur Sipil Negara,no
Badan Nasional Sertifikasi Profesi (BNSP),BNSP Republik Indonesia,yes
Badan Nasional Sertifikasi Profesi (BNSP),Badan Nasional Sertifikasi Profesi Republik Indonesia,yes
Badan Nasional Sertifikasi Profesi (BNSP),Badan Nasional Penanggulangan Bencana (BNPB),no
Badan Nasional Sertifikasi Profesi (BNSP),Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI),no
Badan Pengatur Hilir Minyak Dan Gas Bumi (BPH Migas),Badan Pengatur Hilir Minyak dan Gas Bumi,yes
Badan Pengatur Hilir Minyak Dan Gas Bumi (BPH Migas),BPH Migas,yes
Badan Pengatur Hilir Minyak Dan Gas Bumi (BPH Migas),SKK Migas,no
Badan Pengatur Hilir Minyak Dan Gas Bumi (BPH Migas),Satuan Kerja Khusus Pelaksana Kegiatan Usaha Hulu Minyak dan Gas Bumi,no
Dewan Pertimbangan Presiden (Wantimpres),Dewan Pertimbangan Presiden Republik Indonesia,yes
Dewan Pertimbangan Presiden (Wantimpres),Wantimpres RI,yes
Dewan Pertimbangan Presiden (Wantimpres),Dewan Perwakilan Rakyat,no
Dewan Pertimbangan Presiden (Wantimpres),Dewan Presiden Subang National Golf Club,no
Lembaga Pembiayaan Ekspor Indonesia,Lembaga Pembiayaan Ekspor,yes
Lembaga Pembiayaan Ekspor Indonesia,Lembaga Pembiayaan,no
Lembaga Pembiayaan Ekspor Indonesia,LPEI,yes
Lembaga Pembiayaan Ekspor Indonesia,Indonesia Eximbank,yes
Lembaga Pembiayaan Ekspor Indonesia,Lembaga Pembiayaan Indonesia,no
Kantor Staf Presiden,Kantor Staf,no
Kantor Staf Presiden,Kantor Presiden,no
Kantor Staf Presiden,Kantor Staf Presiden,yes
Badan Penyelenggara Jaminan Sosial Kesehatan (BPJS Kesehatan),Badan Penyelenggara Jaminan Sosial Kesehatan,yes
Badan Penyelenggara Jaminan Sosial Kesehatan (BPJS Kesehatan),BPJS Kesehatan,yes
Badan Penyelenggara Jaminan Sosial Kesehatan (BPJS Kesehatan),BPJS,no
Badan Penyelenggara Jaminan Sosial Kesehatan (BPJS Kesehatan),Badan Penyelenggara Jaminan Sosial,no
Badan Penyelenggara Jaminan Sosial Ketenagakerjaan (BPJAMSOSTEK),Badan Penyelenggara Jaminan Sosial Ketenagakerjaan,yes
Badan Penyelenggara Jaminan Sosial Ketenagakerjaan (BPJAMSOSTEK),BPJAMSOSTEK,yes
Badan Penyelenggara Jaminan Sosial Ketenagakerjaan (BPJAMSOSTEK),BPJS Ketenagakerjaan,yes
Badan Penyelenggara Jaminan Sosial Ketenagakerjaan (BPJAMSOSTEK),BPJS,no
Badan Penyelenggara Jaminan Sosial Ketenagakerjaan (BPJAMSOSTEK),Badan Penyelenggara Jaminan Sosial,no
Bank Indonesia (BI),Bank Indonesia (BI),yes
Bank Indonesia (BI),BI,yes
Bank Indonesia (BI),Bank Internasional Indonesia,no
Badan Nasional Pengelola Perbatasan,BNPP,yes
Badan Nasional Pengelola Perbatasan,Badan Nasional,no
Badan Nasional Pengelola Perbatasan,Badan Nasional Pengelola,no
Badan Pembinaan Ideologi Pancasila,Badan Pembinaan Ideologi,yes
Badan Pembinaan Ideologi Pancasila,BPIP,yes
Badan Pembinaan Ideologi Pancasila,Badan Pembinaan,no
Lembaga Penyiaran Publik Radio Republik Indonesia,Radio Republik Indonesia,yes
Lembaga Penyiaran Publik Radio Republik Indonesia,RRI,yes
Lembaga Penyiaran Publik Radio Republik Indonesia,Lembaga Penyiaran Publik,no
Dewan Jaminan Sosial Nasional,DJSN,yes
Dewan Jaminan Sosial Nasional,Dewan Jaminan Sosial,yes
Dewan Jaminan Sosial Nasional,Dewan,no
Pemerintah Kabupaten Kepulauan Seribu,Pemkab Kepulauan Seribu,yes
Pemerintah Kabupaten Kepulauan Seribu,Pemerintah Kab. Kepulauan Seribu,yes
Pemerintah Kabupaten Kepulauan Seribu,Pemerintah Kabupaten Kepulauan Yapen,no
Pemerintah Kabupaten Kepulauan Seribu,Pemerintah Kabupaten Kepulauan Anambas,no
Pemerintah Kota Jakarta Barat,Pemkot Jakarta Barat,yes
Pemerintah Kota Jakarta Barat,Pemerintah Kota Adminsitrasi Jakarta Barat,yes
Pemerintah Kota Jakarta Barat,Pemerintah Kota Jakarta Timur,no
Pemerintah Kota Jakarta Barat,Pemerintah Kota Jakarta Pusat,no
Pemerintah Kota Jakarta Pusat,Pemkot Jakarta Pusat,yes
Pemerintah Kota Jakarta Pusat,Pemerintah Kota Administrasi Jakarta Pusat,yes
Pemerintah Kota Jakarta Pusat,Pemerintah Kota Jakarta Barat,no
Pemerintah Kota Jakarta Pusat,Pemerintah Kota Jakarta Timur,no
Pemerintah Kota Jakarta Timur,Pemkot Jakarta Timur,yes
Pemerintah Kota Jakarta Timur,Pemerintah Kota Administrasi Jakarta Timur,yes
Pemerintah Kota Jakarta Timur,Pemerintah Kota Jakarta Selatan,no
Pemerintah Kota Jakarta Timur,Pemerintah Kota Jakarta Pusat,no
Pemerintah Kota Jakarta Utara,Pemkot Jakarta Utara,yes
Pemerintah Kota Jakarta Utara,Pemerintah Kota Administrasi Jakarta Utara,yes
Pemerintah Kota Jakarta Utara,Pemerintah Kota Jakarta Timur,no
Pemerintah Kota Jakarta Utara,Pemerintah Kota Jakarta Pusat,no
Pemerintah Provinsi DKI Jakarta,Pemprov DKI Jakarta,yes
Pemerintah Provinsi DKI Jakarta,Pemerintah Provinsi Daerah Khusus Ibukota Jakarta,yes
Pemerintah Provinsi DKI Jakarta,Pemerintah Provinsi Jawa Barat,no
Pemerintah Provinsi DKI Jakarta,Pemerintah Provinsi Bali,no
Pemerintah Kabupaten Boalemo,Pemkab Boalemo,yes
Pemerintah Kabupaten Boalemo,Boalemo,no
Pemerintah Kabupaten Boalemo,Pemerintah Boalemo,yes
Pemerintah Kabupaten Bone Bolango,Pemkab Bone Bolango,yes
Pemerintah Kabupaten Bone Bolango,Bone Bolango,no
Pemerintah Kabupaten Bone Bolango,Pemerintah Bone Bolango,yes
Pemerintah Kabupaten Gorontalo Utara,Pemkab Gorontalo Utara,yes
Pemerintah Kabupaten Gorontalo Utara,Gorontalo Utara,no
Pemerintah Kabupaten Gorontalo Utara,Pemerintah Gorontalo Utara,yes
Pemerintah Kota Gorontalo,Pemkot Kota Gorontalo,yes
Pemerintah Kota Gorontalo,Kota Gorontalo,no
Pemerintah Provinsi Gorontalo,Pemprov Gorontalo,yes
Pemerintah Provinsi Gorontalo,Gorontalo,no
Pemerintah Kabupaten Bungo,Pemkab Bungo,yes
Pemerintah Kabupaten Bungo,Bungo,no
Pemerintah Kabupaten Bungo,Pemerintah Bungo,yes
Pemerintah Kabupaten Kerinci,Pemkab Kerinci,yes
Pemerintah Kabupaten Kerinci,Kerinci,no
Pemerintah Kabupaten Kerinci,Pemerintah Kerinci,yes
Pemerintah Kabupaten Tanjung Jabung Timur,Pemkab Tanjung Jabung Timur,yes
Pemerintah Kabupaten Tanjung Jabung Timur,Tanjung Jabung Timur,no
Pemerintah Kabupaten Tanjung Jabung Timur,Pemerintah Tanjung Jabung Timur,yes
Pemerintah Kabupaten Tebo,Pemkab Tebo,yes
Pemerintah Kabupaten Tebo,Tebo,no
Pemerintah Kabupaten Tebo,Pemerintah Tebo,yes
Pemerintah Kabupaten Bandung Barat,Pemkab Bandung Barat,yes
Pemerintah Kabupaten Bandung Barat,Bandung Barat,no
Pemerintah Kabupaten Bandung Barat,Pemerintah Bandung Barat,yes
Pemerintah Kabupaten Bekasi,Pemkab Bekasi,yes
Pemerintah Kabupaten Bekasi,Bekasi,no
Pemerintah Kabupaten Bekasi,Pemerintah Bekasi,yes
Pemerintah Kabupaten Ciamis,Pemkab Ciamis,yes
Pemerintah Kabupaten Ciamis,Ciamis,no
Pemerintah Kabupaten Ciamis,Pemerintah Ciamis,yes
Pemerintah Kabupaten Cirebon,Pemkab Cirebon,yes
Pemerintah Kabupaten Cirebon,Cirebon,no
Pemerintah Kabupaten Cirebon,Pemerintah Cirebon,yes
Pemerintah Kabupaten Indramayu,Pemkab Indramayu,yes
Pemerintah Kabupaten Indramayu,Indramayu,no
Pemerintah Kabupaten Indramayu,Pemerintah Indramayu,yes
Pemerintah Kabupaten Karawang,Pemkab Karawang,yes
Pemerintah Kabupaten Karawang,Karawang,no
Pemerintah Kabupaten Karawang,Pemerintah Karawang,yes
Pemerintah Kabupaten Kuningan,Pemkab Kuningan,yes
Pemerintah Kabupaten Kuningan,Kuningan,no
Pemerintah Kabupaten Kuningan,Pemerintah Kuningan,yes
Pemerintah Kabupaten Pangandaran,Pemkab Pangandaran,yes
Pemerintah Kabupaten Pangandaran,Pangandaran,no
Pemerintah Kabupaten Pangandaran,Pemerintah Pangandaran,yes
Pemerintah Kabupaten Subang,Pemkab Subang,yes
Pemerintah Kabupaten Subang,Subang,no
Pemerintah Kabupaten Subang,Pemerintah Subang,yes
Pemerintah Kabupaten Sukabumi,Pemkab Sukabumi,yes
Pemerintah Kabupaten Sukabumi,Sukabumi,no
Pemerintah Kabupaten Sukabumi,Pemerintah Sukabumi,yes
Pemerintah Kabupaten Sumedang,Pemkab Sumedang,yes
Pemerintah Kabupaten Sumedang,Sumedang,no
Pemerintah Kabupaten Sumedang,Pemerintah Sumedang,yes
Pemerintah Kota Bandung,Pemkot Bandung,yes
Pemerintah Kota Bandung,Bandung,no
Pemerintah Kota Banjar,Pemkot Banjar,yes
Pemerintah Kota Banjar,Banjar,no
Pemerintah Kota Bekasi,Pemkot Bekasi,yes
Pemerintah Kota Bekasi,Bekasi,no
Pemerintah Kota Cimahi,Pemkot Cimahi,yes
Pemerintah Kota Cimahi,Cimahi,no
Pemerintah Kota Cimahi,Pemerintah Cimahi,yes
Pemerintah Kota Depok,Pemkot Depok,yes
Pemerintah Kota Depok,Depok,no
Pemerintah Kota Depok,Pemerintah Depok,yes
Pemerintah Kota Sukabumi,Pemkot Sukabumi,yes
Pemerintah Kota Sukabumi,Sukabumi,no
Pemerintah Kota Tasikmalaya,Pemkot Tasikmalaya,yes
Pemerintah Kota Tasikmalaya,Tasikmalaya,no
Pemerintah Provinsi Jawa Barat,Pemprov Jawa Barat,yes
Pemerintah Provinsi Jawa Barat,Jawa Barat,no
Pemerintah Provinsi Jawa Barat,Pemerintah Jawa Barat,yes
Pemerintah Provinsi Jawa Barat,Pemprov jabar,yes
Pemerintah Kabupaten Banjarnegara,Pemkab Banjarnegara,yes
Pemerintah Kabupaten Banjarnegara,Banjarnegara,no
Pemerintah Kabupaten Banjarnegara,Pemerintah Banjarnegara,yes
Pemerintah Kabupaten Banyumas,Pemkab Banyumas,yes
Pemerintah Kabupaten Banyumas,Banyumas,no
Pemerintah Kabupaten Banyumas,Pemerintah Banyumas,yes
Pemerintah Kabupaten Batang,Pemkab Batang,yes
Pemerintah Kabupaten Batang,Batang,no
Pemerintah Kabupaten Batang,Pemerintah Batang,yes
Pemerintah Kabupaten Blora,Pemkab Blora,yes
Pemerintah Kabupaten Blora,Blora,no
Pemerintah Kabupaten Blora,Pemerintah Blora,yes
Pemerintah Kabupaten Boyolali,Pemkab Boyolali,yes
Pemerintah Kabupaten Boyolali,Boyolali,no
Pemerintah Kabupaten Boyolali,Pemerintah Boyolali,yes
Pemerintah Kabupaten Brebes,Pemkab Brebes,yes
Pemerintah Kabupaten Brebes,Brebes,no
Pemerintah Kabupaten Brebes,Pemerintah Brebes,yes
Pemerintah Kabupaten Cilacap,Pemkab Cilacap,yes
Pemerintah Kabupaten Cilacap,Cilacap,no
Pemerintah Kabupaten Cilacap,Pemerintah Cilacap,yes
Pemerintah Kabupaten Demak,Pemkab Demak,yes
Pemerintah Kabupaten Demak,Demak,no
Pemerintah Kabupaten Demak,Pemerintah Demak,yes
Pemerintah Kabupaten Grobogan,Pemkab Grobogan,yes
Pemerintah Kabupaten Grobogan,Grobogan,no
Pemerintah Kabupaten Grobogan,Pemerintah Grobogan,yes
