instansi,reference,status
Kementerian Perhubungan,Kemenhub,yes
Kementerian Perhubungan,Kemenhub RI,yes
Kementerian Perhubungan,Perhubungan,no
Kementerian Perhubungan,Dinas Perhubungan Kota Semarang,no
Kementerian Perindustrian,Kemenperin,yes
Kementerian Perindustrian,Kemenperin RI,yes
Kementerian Perindustrian,Industri,no
Kementerian Perindustrian,PT Perindustrian Bapak Djenggot,no
Kementerian Pertahanan,Kemhan,yes
Kementerian Pertahanan,Departemen Pertahanan,yes
Kementerian Pertahanan,Badan Pertahanan Nasional,no
Kementerian Pertahanan,Universitas Pertahanan,no
Kementerian Pertanian,Kementan,yes
Kementerian Pertanian,Kementan RI,yes
Kementerian Pertanian,Pertanian,no
Kementerian Pertanian,Institut Pertanian Bogor,no
Kementerian Sekretariat Negara,Kemensetneg,yes
Kementerian Sekretariat Negara,Setneg RI,yes
Kementerian Sekretariat Negara,Sekretariat Daerah,no
Kementerian Sekretariat Negara,Divisi Sekretarian Perusahaan,no
Kementerian Sosial,Kemensos,yes
Kementerian Sosial,Kemensos RI,yes
Kementerian Sosial,Badan Penyelenggara Jaminan Sosial Ketenagakerjaan,no
Kementerian Sosial,Badan Penyelenggara Jaminan Sosial Kesehatan (BPJS Kesehatan),no
Badan Pemeriksa Keuangan (BPK),BPK,yes
Badan Pemeriksa Keuangan (BPK),Badan Pemeriksa Keuangan,yes
Badan Pemeriksa Keuangan (BPK),BPKP,no
Badan Pemeriksa Keuangan (BPK),Kementerian Keuangan,no
Dewan Perwakilan Daerah (DPD),DPD,yes
Dewan Perwakilan Daerah (DPD),Anggota Dewan Perwakilan Daerah,yes
Dewan Perwakilan Daerah (DPD),Dewan Perwakilan Rakyat,no
Dewan Perwakilan Daerah (DPD),Dewan Perwakilan Rakyat Daerah,no
Dewan Perwakilan Rakyat (DPR),Anggota DPR,yes
Dewan Perwakilan Rakyat (DPR),Anggota Dewan Perwakilan Rakyat,yes
Dewan Perwakilan Rakyat (DPR),SKK Migas Perwakilan Jawa Timur,no
Dewan Perwakilan Rakyat (DPR),Dewan Perwakilan Daerah (DPD),no
Komisi Yudisial,KY,yes
Komisi Yudisial,Komisi Yudisial (KY),yes
Komisi Yudisial,Anggota DPR RI Komisi IX,no
Komisi Yudisial,Komisi Penyiaran Indonesia,no
Mahkamah Agung (MA),Mahkamah Agung,yes
Mahkamah Agung (MA),MA,yes
Mahkamah Agung (MA),Universitas Sultan Agung Tirtayasa,no
Mahkamah Agung (MA),Mahkamah Konstitusi,no
Mahkamah Konstitusi (MK),Mahkamah Konstitusi,yes
Mahkamah Konstitusi (MK),MK,yes
Mahkamah Konstitusi (MK),Mahkamah Agung,no
Mahkamah Konstitusi (MK),Mahkamah Internasional,no
Majelis Permusyawaratan Rakyat (MPR),MPR,yes
Majelis Permusyawaratan Rakyat (MPR),Majelis Permusyawaratan Rakyat,yes
Majelis Permusyawaratan Rakyat (MPR),Koordinator PMPR,no
Majelis Permusyawaratan Rakyat (MPR),Majelis Ulama Indonesia,no
Badan Informasi Geospasial (BIG),Badan Informasi Geospasial,yes
Badan Informasi Geospasial (BIG),BIG,yes
Badan Informasi Geospasial (BIG),Badan Riset and Inovasi Nasional,no
Badan Informasi Geospasial (BIG),Badan Tenaga Nuklir Nasional,no
Badan Kepegawaian Negara (BKN),Kanreg VI BKN Medan,yes
Badan Kepegawaian Negara (BKN),Kantor Regional XIV BKN Manokwari,yes
Badan Kepegawaian Negara (BKN),Badan Kepegawaian Daerah,no
Badan Kepegawaian Negara (BKN),Direktorat Kepegawaian,no
Badan Intelijen Negara (BIN),BIN,yes
Badan Intelijen Negara (BIN),Badan Intelijen Negara,yes
Badan Intelijen Negara (BIN),"PT Perusahaan Gas Negara (Persero), Tbk",no
Badan Intelijen Negara (BIN),Sekolah Tinggi Intelijen Negara,no
Badan Keamanan Laut (Bakamla),Badan Keamanan Laut,yes
Badan Keamanan Laut (Bakamla),Bakamla,yes
Badan Keamanan Laut (Bakamla),Kementrian Kelautan dan Perikanan,no
Badan Keamanan Laut (Bakamla),Badan Keamanan Rakyat,no
Badan Kependudukan Dan Keluarga Berencana Nasional (BKKBN),BKKBN,yes
Badan Kependudukan Dan Keluarga Berencana Nasional (BKKBN),BKKBN Provinsi Sulawesi Utara,yes
Badan Kependudukan Dan Keluarga Berencana Nasional (BKKBN),Bank BRI Kantor Cabang BKKBN,no
Badan Kependudukan Dan Keluarga Berencana Nasional (BKKBN),Keluarga Berencana,no
Badan Koordinasi Penanaman Modal (BKPM),Kementrian Investasi/BKPM,yes
Badan Koordinasi Penanaman Modal (BKPM),Kementrian Investasi,yes
Badan Koordinasi Penanaman Modal (BKPM),BBKPM Surakarta,no
Badan Koordinasi Penanaman Modal (BKPM),Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,no
Badan Meteorologi Klimatologi Dan Geofisika (BMKG),Badan Meteorologi Klimatologi Dan Geofisika,yes
Badan Meteorologi Klimatologi Dan Geofisika (BMKG),BMKG Papua,yes
Badan Meteorologi Klimatologi Dan Geofisika (BMKG),Departemen Teknik Geofisika,no
Badan Meteorologi Klimatologi Dan Geofisika (BMKG),Departemen Geofisika & Meteorologi,no
Badan Narkotika Nasional (BNN),BNN Kota Bengkulu,yes
Badan Narkotika Nasional (BNN),Badan Narkotika Nasional Provinsi Jawa Barat,yes
Badan Narkotika Nasional (BNN),Badan Search And Rescue Nasional,no
Badan Narkotika Nasional (BNN),Badan Nasional Sertifikasi Profesi,no
Badan Nasional Penanggulangan Bencana (BNPB),BNPB Provinsi Jawa Barat,yes
Badan Nasional Penanggulangan Bencana (BNPB),Badan Nasional Penanggulangan Bencana Provinsi Jawa Barat,yes
Badan Nasional Penanggulangan Bencana (BNPB),Badan Penanggulangan Bencana Daerah,no
Badan Nasional Penanggulangan Bencana (BNPB),Badan Penanggulangan Bencana Daerah Kabupaten Pacitan,no
Badan Nasional Penanggulangan Terorisme (BNPT),Badan Nasional Penanggulangan Terorisme Kabupaten Bekasi ,yes
Badan Nasional Penanggulangan Terorisme (BNPT),BNPT Kota Bogor,yes
Badan Nasional Penanggulangan Terorisme (BNPT),Badan Nasional Penanggulangan Bencana,no
Badan Nasional Penanggulangan Terorisme (BNPT),Badan Nasional Pengelola Perbatasan,no
Badan Pelindungan Pekerja Migran Indonesia,BP2MI,yes
Badan Pelindungan Pekerja Migran Indonesia,BP2MI Jawa Barat,yes
Badan Pelindungan Pekerja Migran Indonesia,Purna Pekerja Migran Indonesia,no
Badan Pelindungan Pekerja Migran Indonesia,Pekerja Migran Indonesia,no
Badan Pengawas Obat Dan Makanan (BPOM),BPOM Kabupaten Bogor,yes
Badan Pengawas Obat Dan Makanan (BPOM),Badan POM,yes
Badan Pengawas Obat Dan Makanan (BPOM),Toko Obat Inafut 1,no
Badan Pengawas Obat Dan Makanan (BPOM),Badan Pengawasan Keuangan dan Pembangunan,no
Badan Pengawas Pemilihan Umum (Bawaslu),Badan Pengawas Pemilu,yes
Badan Pengawas Pemilihan Umum (Bawaslu),Inspektur Utama Badan Pengawas Pemilihan Umum,yes
Badan Pengawas Pemilihan Umum (Bawaslu),Komisi Pemilihan Umum,no
Badan Pengawas Pemilihan Umum (Bawaslu),Panitia Pemilihan Umum,no
Badan Pengawas Tenaga Nuklir (Bapeten),Bapeten,yes
Badan Pengawas Tenaga Nuklir (Bapeten),Badan Pengawas Tenaga Nuklir,yes
Badan Pengawas Tenaga Nuklir (Bapeten),Badan Tenaga Nuklir Nasional,no
Badan Pengawas Tenaga Nuklir (Bapeten),Badan Tenaga Atom Internasional,no
Badan Pengawasan Keuangan Dan Pembangunan (BPKP),BPKP,yes
Badan Pengawasan Keuangan Dan Pembangunan (BPKP),Perwakilan BPKP Provinsi Sulawesi Barat,yes
Badan Pengawasan Keuangan Dan Pembangunan (BPKP),Badan Pengelola Keuangan Haji (BPKH),no
Badan Pengawasan Keuangan Dan Pembangunan (BPKP),Badan Pengawasan Mahkamah Agung,no
Badan Pengkajian Dan Penerapan Teknologi (BPPT),BPPT,yes
Badan Pengkajian Dan Penerapan Teknologi (BPPT),Perwakilan BPPT,yes
Badan Pengkajian Dan Penerapan Teknologi (BPPT),"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",no
Badan Pengkajian Dan Penerapan Teknologi (BPPT),"Badan Pengkajian Kebijakan, Iklim, dan Mutu Industri",no
Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam,Badan Pengusahaan Batam (BP Batam),yes
Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam,BP Batam,yes
Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam,Pemerintah Kota Batam,no
Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam,Universitas Batam,no
Badan Pusat Statistik (BPS),BPS Provinsi Sulawesi Utara,yes
Badan Pusat Statistik (BPS),Badan Pusat Statistik Provinsi Bali,yes
Badan Pusat Statistik (BPS),BPSDM,no
Badan Pusat Statistik (BPS),Badan Standardisasi Nasional (BSN),no
Badan Search And Rescue Nasional (Basarnas),Badan SAR Nasional (Basarnas),yes
Badan Search And Rescue Nasional (Basarnas),Badan Nasional Pencarian dan Pertolongan (BNPP),yes
Badan Search And Rescue Nasional (Basarnas),Badan Nasional Penanggulangan Bencana,no
Badan Search And Rescue Nasional (Basarnas),Badan Standardisasi Nasional (BSN),no
Badan Siber dan Sandi Negara (BSSN),BSSN,yes
Badan Siber dan Sandi Negara (BSSN),Badan Siber dan Sandi Negara,yes
Badan Siber dan Sandi Negara (BSSN),PT Beritakota Media Siber (Beritakota.id),no
Badan Siber dan Sandi Negara (BSSN),Universitas Siber Asia,no
Badan Standardisasi Nasional (BSN),Badan Standardisasi Nasional,yes
Badan Standardisasi Nasional (BSN),BSN,yes
Badan Standardisasi Nasional (BSN),Standard Chartered Indonesia,no
Badan Standardisasi Nasional (BSN),Badan Search And Rescue Nasional (Basarnas),no
Badan Tenaga Nuklir Nasional (BATAN),Badan Tenaga Nuklir Nasional,yes
Badan Tenaga Nuklir Nasional (BATAN),BATAN,yes
Badan Tenaga Nuklir Nasional (BATAN),Badan Pengawas Tenaga Nuklir,no
Badan Tenaga Nuklir Nasional (BATAN),Badan Standardisasi Nasional (BSN),no
Dewan Ketahanan Nasional (Wantannas),Dewan Ketahanan Nasional,yes
Dewan Ketahanan Nasional (Wantannas),Wantannas,yes
Dewan Ketahanan Nasional (Wantannas),Lembaga Ketahanan Nasional (Lemhannas),no
Dewan Ketahanan Nasional (Wantannas),Dewan Nasional Perubahan Iklim,no
Kejaksaan Republik Indonesia,Kejaksaan Negeri Kota Kediri,yes
Kejaksaan Republik Indonesia,Kejaksaaan Tinggi Provinsi Jawa Tengah,yes
Kejaksaan Republik Indonesia,Komisi Kejaksaan Republik Indonesia,no
Kejaksaan Republik Indonesia,Kepolisian Negara Republik Indonesia Resor Kota Pontianak,no
Kepolisian Negara Republik Indonesia,Kepolisian Negara Republik Indonesia Resor Kota Pontianak,yes
Kepolisian Negara Republik Indonesia,Kepolisian Daerah Provinsi DI Yogyakarta,yes
Kepolisian Negara Republik Indonesia,Perum Percetakan Negara Republik Indonesia (PNRI),no
Kepolisian Negara Republik Indonesia,Ombudsman Republik Indonesia,no
Komisi Nasional Hak Asasi Manusia (Komnas HAM),Komisi Nasional HAM,yes
Komisi Nasional Hak Asasi Manusia (Komnas HAM),Komnas HAM,yes
Komisi Nasional Hak Asasi Manusia (Komnas HAM),Kementerian Hukum dan Hak Asasi Manusia,no
Komisi Nasional Hak Asasi Manusia (Komnas HAM),Direktorat Fasilitasi dan Informasi HAM,no
Komisi Pemberantasan Korupsi (KPK),Komisi Pemberantasan Korupsi,yes
Komisi Pemberantasan Korupsi (KPK),KPK,yes
Komisi Pemberantasan Korupsi (KPK),KPKNL,no
Komisi Pemberantasan Korupsi (KPK),Komisi Pemilihan Umum,no
Komisi Pemilihan Umum (KPU),KPU Kabupaten Memberamo Raya,yes
Komisi Pemilihan Umum (KPU),Komisi Pemilihan Umum Kabupaten Fakfak,yes
Komisi Pemilihan Umum (KPU),KPU BC Tipe C Soekarno Hatta,no
Komisi Pemilihan Umum (KPU),KPU BC Tipe B Batam,no
Komisi Pengawas Persaingan Usaha (KPPU),Komisi Pengawas Persaingan Usaha RI,yes
Komisi Pengawas Persaingan Usaha (KPPU),KPPU RI,yes
Komisi Pengawas Persaingan Usaha (KPPU),Pelaku Usaha di Surabaya,no
Komisi Pengawas Persaingan Usaha (KPPU),Komisi Pengawas Advokat,no
Lembaga Administrasi Negara (LAN),Lembaga Administrasi Negara,yes
Lembaga Administrasi Negara (LAN),LAN RI,yes
Lembaga Administrasi Negara (LAN),Jurusan Administrasi Negara,no
Lembaga Administrasi Negara (LAN),Sekolah Tinggi Ilmu Administrasi Lembaga Administrasi Negara,no
Lembaga Ilmu Pengetahuan Indonesia (LIPI),Lembaga Ilmu Pengetahuan Indonesia,yes
Lembaga Ilmu Pengetahuan Indonesia (LIPI),Perwakilan Lembaga Ilmu Pengetahuan Indonesia,yes
Lembaga Ilmu Pengetahuan Indonesia (LIPI),Lembaga Pembiayaan Ekspor Indonesia,no
Lembaga Ilmu Pengetahuan Indonesia (LIPI),Akademi Ilmu Pengetahuan Indonesia,no
Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP),Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,yes
Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP),LKPP RI,yes
Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP),PT Jasa Raharja (Persero),no
Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP),Lembaga Sertifikasi Profesi Pengadaan Indonesia,no
Lembaga Ketahanan Nasional (Lemhanas),Lembaga Ketahanan Nasional,yes
Lembaga Ketahanan Nasional (Lemhanas),Lemhannas RI,yes
Lembaga Ketahanan Nasional (Lemhanas),Dewan Ketahanan Nasional (Wantannas),no
Lembaga Ketahanan Nasional (Lemhanas),Lembaga Penerbangan Dan Antariksa Nasional (Lapan),no
Lembaga Penerbangan Dan Antariksa Nasional (Lapan),Lembaga Penerbangan dan Antariksa Nasional,yes
Lembaga Penerbangan Dan Antariksa Nasional (Lapan),Lapan,yes
Lembaga Penerbangan Dan Antariksa Nasional (Lapan),Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia (LPPNPI),no
Lembaga Penerbangan Dan Antariksa Nasional (Lapan),Lembaga Ketahanan Nasional (Lemhanas),no
Lembaga Penyiaran Publik TVRI,LPP TVRI,yes
Lembaga Penyiaran Publik TVRI,Lembaga Penyiaran Publik,yes
Lembaga Penyiaran Publik TVRI,Komisi Penyiaran Indonesia,no
Lembaga Penyiaran Publik TVRI,Penyiaran Multimedia Vokasi,no
Ombudsman Republik Indonesia (ORI),Ombudsman Republik Indonesia,yes
Ombudsman Republik Indonesia (ORI),Ombudsman RI,yes
Ombudsman Republik Indonesia (ORI),Perpustakaan Nasional Republik Indonesia,no
Ombudsman Republik Indonesia (ORI),Ombudsman Malaysia,no
Perpustakaan Nasional Republik Indonesia (Perpusnas),Perpustakaan Nasional RI,yes
Perpustakaan Nasional Republik Indonesia (Perpusnas),Perpustakaan Nasional Republik Indonesia,yes
Perpustakaan Nasional Republik Indonesia (Perpusnas),Dinas Perpustakaan,no
Perpustakaan Nasional Republik Indonesia (Perpusnas),Perpustakaan Jakarta Cikini,no
Pusat Pelaporan Dan Analisis Transaksi Keuangan (PPATK),Pusat Pelaporan Dan Analisis Transaksi Keuangan,yes
Pusat Pelaporan Dan Analisis Transaksi Keuangan (PPATK),PPATK,yes
Pusat Pelaporan Dan Analisis Transaksi Keuangan (PPATK),Pusat Analisis dan Harmonisasi Kebijakan,no
Pusat Pelaporan Dan Analisis Transaksi Keuangan (PPATK),Pusat Pelaporan dan Pembinaan Keuangan Kemhan RI,no
Sekretariat Kabinet,Sekretariat Kabinet Republik Indonesia,yes
Sekretariat Kabinet,Setkab,yes
Sekretariat Kabinet,Sekretariat Daerah Kabupaten Klaten,no
Sekretariat Kabinet,Sekretariat Direktorat Jenderal Pajak,no
Arsip Nasional Republik Indonesia (ANRI),ANRI,yes
Arsip Nasional Republik Indonesia (ANRI),Arsip Nasional RI,yes
Arsip Nasional Republik Indonesia (ANRI),Perpustakaan Nasional Republik Indonesia,no
Arsip Nasional Republik Indonesia (ANRI),Dinas Arsip dan Perpustakaan,no
Tentara Nasional Indonesia (TNI),TNI Angkatan Udara,yes
Tentara Nasional Indonesia (TNI),Inspektorat Jenderal TNI,yes
Tentara Nasional Indonesia (TNI),PT Pelayaran Nasional Indonesia (Persero) (Pelni),no
Tentara Nasional Indonesia (TNI),Komite Olahraga Nasional Indonesia,no
Komisi Aparatur Sipil Negara (KASN),KASN RI,yes
Komisi Aparatur Sipil Negara (KASN),Komisi Aparatur Sipil Negara RI,yes
Komisi Aparatur Sipil Negara (KASN),Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Kem PANRB),no
Komisi Aparatur Sipil Negara (KASN),Deputi Bidang Kebijakan Pengembangan Kompetensi Aparatur Sipil Negara,no
Badan Nasional Sertifikasi Profesi (BNSP),BNSP Republik Indonesia,yes
Badan Nasional Sertifikasi Profesi (BNSP),Badan Nasional Sertifikasi Profesi Republik Indonesia,yes
Badan Nasional Sertifikasi Profesi (BNSP),Badan Nasional Penanggulangan Bencana (BNPB),no
Badan Nasional Sertifikasi Profesi (BNSP),Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI),no
Badan Pengatur Hilir Minyak Dan Gas Bumi (BPH Migas),Badan Pengatur Hilir Minyak dan Gas Bumi,yes
Badan Pengatur Hilir Minyak Dan Gas Bumi (BPH Migas),BPH Migas,yes
Badan Pengatur Hilir Minyak Dan Gas Bumi (BPH Migas),SKK Migas,no
Badan Pengatur Hilir Minyak Dan Gas Bumi (BPH Migas),Satuan Kerja Khusus Pelaksana Kegiatan Usaha Hulu Minyak dan Gas Bumi,no
Dewan Pertimbangan Presiden (Wantimpres),Dewan Pertimbangan Presiden Republik Indonesia,yes
Dewan Pertimbangan Presiden (Wantimpres),Wantimpres RI,yes
Dewan Pertimbangan Presiden (Wantimpres),Dewan Perwakilan Rakyat,no
Dewan Pertimbangan Presiden (Wantimpres),Dewan Presiden Subang National Golf Club,no
Komisi Kejaksaan Republik Indonesia,KKRI,yes
Komisi Kejaksaan Republik Indonesia,Komisi Kejaksaan RI,yes
Komisi Kejaksaan Republik Indonesia,Kejaksaan Republik Indonesia,no
Komisi Kejaksaan Republik Indonesia,Komisi Kebenaran dan Rekonsiliasi,no
Komisi Penyiaran Indonesia (KPI),Komisi Penyiaran Indonesia Pusat,yes
Komisi Penyiaran Indonesia (KPI),Komisi Penyiaran Indonesia Daerah,yes
Komisi Penyiaran Indonesia (KPI),Lembaga Penyiaran Publik,no
Komisi Penyiaran Indonesia (KPI),Komisi Kejaksaan Republik Indonesia,no
Lembaga Perlindungan Saksi Dan Korban (LPSK),LPSK RI,yes
Lembaga Perlindungan Saksi Dan Korban (LPSK),Lembaga Perlindungan Saksi dan Korban RI,yes
Lembaga Perlindungan Saksi Dan Korban (LPSK),Lembaga Perlindungan Konsumen Swadaya Masyarakat,no
Lembaga Perlindungan Saksi Dan Korban (LPSK),Lembaga Otoritas Perlindungan Data Pribadi,no
Pemerintah Kabupaten Kepulauan Seribu,Pemkab Kepulauan Seribu,yes
Pemerintah Kabupaten Kepulauan Seribu,Pemerintah Kab. Kepulauan Seribu,yes
Pemerintah Kabupaten Kepulauan Seribu,Pemerintah Kabupaten Kepulauan Yapen,no
Pemerintah Kabupaten Kepulauan Seribu,Pemerintah Kabupaten Kepulauan Anambas,no
Pemerintah Kota Jakarta Barat,Pemkot Jakarta Barat,yes
Pemerintah Kota Jakarta Barat,Pemerintah Kota Adminsitrasi Jakarta Barat,yes
Pemerintah Kota Jakarta Barat,Pemerintah Kota Jakarta Timur,no
Pemerintah Kota Jakarta Barat,Pemerintah Kota Jakarta Pusat,no
Pemerintah Kota Jakarta Pusat,Pemkot Jakarta Pusat,yes
Pemerintah Kota Jakarta Pusat,Pemerintah Kota Administrasi Jakarta Pusat,yes
Pemerintah Kota Jakarta Pusat,Pemerintah Kota Jakarta Barat,no
Pemerintah Kota Jakarta Pusat,Pemerintah Kota Jakarta Timur,no
Pemerintah Kota Jakarta Selatan,Pemkot Jakarta Selatan,yes
Pemerintah Kota Jakarta Selatan,Pemerintah Kota Administrasi Jakarta Selatan,yes
Pemerintah Kota Jakarta Selatan,Pemerintah Kota Jakarta Pusat,no
Pemerintah Kota Jakarta Selatan,Pemerintah Kota Jakarta Barat,no
Pemerintah Kota Jakarta Timur,Pemkot Jakarta Timur,yes
Pemerintah Kota Jakarta Timur,Pemerintah Kota Administrasi Jakarta Timur,yes
Pemerintah Kota Jakarta Timur,Pemerintah Kota Jakarta Selatan,no
Pemerintah Kota Jakarta Timur,Pemerintah Kota Jakarta Pusat,no
Pemerintah Kota Jakarta Utara,Pemkot Jakarta Utara,yes
Pemerintah Kota Jakarta Utara,Pemerintah Kota Administrasi Jakarta Utara,yes
Pemerintah Kota Jakarta Utara,Pemerintah Kota Jakarta Timur,no
Pemerintah Kota Jakarta Utara,Pemerintah Kota Jakarta Pusat,no
Pemerintah Provinsi DKI Jakarta,Pemprov DKI Jakarta,yes
Pemerintah Provinsi DKI Jakarta,Pemerintah Provinsi Daerah Khusus Ibukota Jakarta,yes
Pemerintah Provinsi DKI Jakarta,Pemerintah Provinsi Jawa Barat,no
Pemerintah Provinsi DKI Jakarta,Pemerintah Provinsi Bali,no
Perum Bulog,Perum Bulog Kanwil Kaltim & Kaltara,yes
Perum Bulog,Perum Bulog Kabupaten Probolinggo,yes
Perum Bulog,Perum Peruri,no
Perum Bulog,Perum DAMRI,no
Perum DAMRI,Perusahaan Umum DAMRI,yes
Perum DAMRI,Perum DAMRI UABK Bandung,yes
Perum DAMRI,Perum Bulog,no
Perum DAMRI,Perum Peruri,no
PT Jaminan Kredit Indonesia (Jamkrindo),PT Jamkrindo,yes
PT Jaminan Kredit Indonesia (Jamkrindo),PT Jamkrindo Cabang Bandung,yes
PT Jaminan Kredit Indonesia (Jamkrindo),PT Asuransi Kredit Indonesia (Persero),no
PT Jaminan Kredit Indonesia (Jamkrindo),PT Kredit Pintar Indonesia,no
Perum Jasa Tirta I,Jasa Tirta,yes
Perum Jasa Tirta I,Jasa Tirta I,yes
Perum Jasa Tirta I,Jasa Tirta II,no
Perum Jasa Tirta I,Jasa Tirta 2,no
Perum Jasa Tirta II,Jasa Tirta II,yes
Perum Jasa Tirta II,Jasa Tirta 2,yes
Perum Jasa Tirta II,Jasa Tirta I,no
Perum Jasa Tirta II,Jasa Tirta,no
Perum Kehutanan Negara (Perhutani),Perum Perhutani KPH Bandung Utara,yes
Perum Kehutanan Negara (Perhutani),Perum Perhutani Divisi Regional Jawa Barat dan Banten,yes
Perum Kehutanan Negara (Perhutani),Perum Produksi Film Negara (PFN),no
Perum Kehutanan Negara (Perhutani),Perum Percetakan Negara ,no 
Perum Lembaga Kantor Berita Nasional Antara (LKBN Antara),Lembaga Kantor Berita Nasional Antara Biro Jawa Barat,yes
Perum Lembaga Kantor Berita Nasional Antara (LKBN Antara),Perum LKBN Antara,yes
