no,instansi,reference,status
1,Majelis Permusyawaratan Rakyat (MPR),MPR,yes
2,Majelis Permusyawaratan Rakyat (MPR),Majelis Permusyawaratan Rakyat,yes
3,Majelis Permusyawaratan Rakyat (MPR),Koordinator PMPR,no
4,Majelis Permusyawaratan Rakyat (MPR),Majelis Ulama Indonesia,no
1,Badan Informasi Geospasial (BIG),Badan Informasi Geospasial,yes
2,Badan Informasi Geospasial (BIG),BIG,yes
3,Badan Informasi Geospasial (BIG),Badan Riset and Inovasi Nasional,no
4,Badan Informasi Geospasial (BIG),Badan Tenaga Nuklir Nasional,no
1,Badan Kepegawaian Negara (BKN),Kanreg VI BKN Medan,yes
2,Badan Kepegawaian Negara (BKN),Kantor Regional XIV BKN Manokwari,yes
3,Badan Kepegawaian Negara (BKN),Badan Kepegawaian Daerah,no
4,Badan Kepegawaian Negara (BKN),Direktorat Kepegawaian,no
1,Badan Intelijen Negara (BIN),BIN,yes
2,Badan Intelijen Negara (BIN),Badan Intelijen Negara,yes
3,Badan Intelijen Negara (BIN),"PT Perusahaan Gas Negara (Persero), Tbk",no
4,Badan Intelijen Negara (BIN),Sekolah Tinggi Intelijen Negara,no
1,Badan Keamanan Laut (Bakamla),Badan Keamanan Laut,yes
2,Badan Keamanan Laut (Bakamla),Bakamla,yes
3,Badan Keamanan Laut (Bakamla),Kementerian Kelautan dan Perikanan,no
4,Badan Keamanan Laut (Bakamla),Badan Keamanan Rakyat,no
1,Badan Kependudukan Dan Keluarga Berencana Nasional (BKKBN),BKKBN,yes
2,Badan Kependudukan Dan Keluarga Berencana Nasional (BKKBN),BKKBN Provinsi Sulawesi Utara,yes
3,Badan Kependudukan Dan Keluarga Berencana Nasional (BKKBN),Bank BRI Kantor Cabang BKKBN,no
4,Badan Kependudukan Dan Keluarga Berencana Nasional (BKKBN),Keluarga Berencana,no
1,Badan Koordinasi Penanaman Modal (BKPM),Kementerian Investasi/BKPM,yes
2,Badan Koordinasi Penanaman Modal (BKPM),Kementerian Investasi,yes
3,Badan Koordinasi Penanaman Modal (BKPM),BBKPM Surakarta,no
4,Badan Koordinasi Penanaman Modal (BKPM),Dinas Penanaman Modal dan Pelayanan Terpadu Satu Pintu,no
1,Badan Meteorologi Klimatologi Dan Geofisika (BMKG),Badan Meteorologi Klimatologi Dan Geofisika,yes
2,Badan Meteorologi Klimatologi Dan Geofisika (BMKG),BMKG Papua,yes
3,Badan Meteorologi Klimatologi Dan Geofisika (BMKG),Departemen Teknik Geofisika,no
4,Badan Meteorologi Klimatologi Dan Geofisika (BMKG),Departemen Geofisika & Meteorologi,no
1,Badan Narkotika Nasional (BNN),BNN Kota Bengkulu,yes
2,Badan Narkotika Nasional (BNN),Badan Narkotika Nasional Provinsi Jawa Barat,yes
3,Badan Narkotika Nasional (BNN),Badan Search And Rescue Nasional,no
4,Badan Narkotika Nasional (BNN),Badan Nasional Sertifikasi Profesi,no
1,Badan Nasional Penanggulangan Bencana (BNPB),BNPB Provinsi Jawa Barat,yes
2,Badan Nasional Penanggulangan Bencana (BNPB),Badan Nasional Penanggulangan Bencana Provinsi Jawa Barat,yes
3,Badan Nasional Penanggulangan Bencana (BNPB),Badan Penanggulangan Bencana Daerah,no
4,Badan Nasional Penanggulangan Bencana (BNPB),Badan Penanggulangan Bencana Daerah Kabupaten Pacitan,no
1,Badan Nasional Penanggulangan Terorisme (BNPT),Badan Nasional Penanggulangan Terorisme Kabupaten Bekasi ,yes
2,Badan Nasional Penanggulangan Terorisme (BNPT),BNPT Kota Bogor,yes
3,Badan Nasional Penanggulangan Terorisme (BNPT),Badan Nasional Penanggulangan Bencana,no
4,Badan Nasional Penanggulangan Terorisme (BNPT),Badan Nasional Pengelola Perbatasan,no
1,Badan Pelindungan Pekerja Migran Indonesia,BP2MI,yes
2,Badan Pelindungan Pekerja Migran Indonesia,BP2MI Jawa Barat,yes
3,Badan Pelindungan Pekerja Migran Indonesia,Purna Pekerja Migran Indonesia,no
4,Badan Pelindungan Pekerja Migran Indonesia,Pekerja Migran Indonesia,no
1,Badan Pengawas Obat Dan Makanan (BPOM),BPOM Kabupaten Bogor,yes
2,Badan Pengawas Obat Dan Makanan (BPOM),Badan POM,yes
3,Badan Pengawas Obat Dan Makanan (BPOM),Toko Obat Inafut 1,no
4,Badan Pengawas Obat Dan Makanan (BPOM),Badan Pengawasan Keuangan dan Pembangunan,no
1,Badan Pengawas Pemilihan Umum (Bawaslu),Badan Pengawas Pemilu,yes
2,Badan Pengawas Pemilihan Umum (Bawaslu),Inspektur Utama Badan Pengawas Pemilihan Umum,yes
3,Badan Pengawas Pemilihan Umum (Bawaslu),Komisi Pemilihan Umum,no
4,Badan Pengawas Pemilihan Umum (Bawaslu),Panitia Pemilihan Umum,no
1,Badan Pengawas Tenaga Nuklir (Bapeten),Bapeten,yes
2,Badan Pengawas Tenaga Nuklir (Bapeten),Badan Pengawas Tenaga Nuklir,yes
3,Badan Pengawas Tenaga Nuklir (Bapeten),Badan Tenaga Nuklir Nasional,no
4,Badan Pengawas Tenaga Nuklir (Bapeten),Badan Tenaga Atom Internasional,no
1,Badan Pengawasan Keuangan Dan Pembangunan (BPKP),BPKP,yes
2,Badan Pengawasan Keuangan Dan Pembangunan (BPKP),Perwakilan BPKP Provinsi Sulawesi Barat,yes
3,Badan Pengawasan Keuangan Dan Pembangunan (BPKP),Badan Pengelola Keuangan Haji (BPKH),no
4,Badan Pengawasan Keuangan Dan Pembangunan (BPKP),Badan Pengawasan Mahkamah Agung,no
1,Badan Pengkajian Dan Penerapan Teknologi (BPPT),BPPT,yes
2,Badan Pengkajian Dan Penerapan Teknologi (BPPT),Perwakilan BPPT,yes
3,Badan Pengkajian Dan Penerapan Teknologi (BPPT),"Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi",no
4,Badan Pengkajian Dan Penerapan Teknologi (BPPT),"Badan Pengkajian Kebijakan, Iklim, dan Mutu Industri",no
1,Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam,Badan Pengusahaan Batam (BP Batam),yes
2,Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam,BP Batam,yes
3,Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam,Pemerintah Kota Batam,no
4,Badan Pengusahaan Kawasan Perdagangan Bebas Dan Pelabuhan Bebas Batam,Universitas Batam,no
1,Badan Pusat Statistik (BPS),BPS Provinsi Sulawesi Utara,yes
2,Badan Pusat Statistik (BPS),Badan Pusat Statistik Provinsi Bali,yes
3,Badan Pusat Statistik (BPS),BPSDM,no
4,Badan Pusat Statistik (BPS),Badan Standardisasi Nasional (BSN),no
1,Badan Search And Rescue Nasional (Basarnas),Badan SAR Nasional (Basarnas),yes
2,Badan Search And Rescue Nasional (Basarnas),Badan Nasional Pencarian dan Pertolongan (BNPP),yes
3,Badan Search And Rescue Nasional (Basarnas),Badan Nasional Penanggulangan Bencana,no
4,Badan Search And Rescue Nasional (Basarnas),Badan Standardisasi Nasional (BSN),no
1,Badan Siber dan Sandi Negara (BSSN),BSSN,yes
2,Badan Siber dan Sandi Negara (BSSN),Badan Siber dan Sandi Negara,yes
3,Badan Siber dan Sandi Negara (BSSN),PT Beritakota Media Siber (Beritakota.id),no
4,Badan Siber dan Sandi Negara (BSSN),Universitas Siber Asia,no
1,Badan Standardisasi Nasional (BSN),Badan Standardisasi Nasional,yes
2,Badan Standardisasi Nasional (BSN),BSN,yes
3,Badan Standardisasi Nasional (BSN),Standard Chartered Indonesia,no
4,Badan Standardisasi Nasional (BSN),Badan Search And Rescue Nasional (Basarnas),no
1,Badan Tenaga Nuklir Nasional (BATAN),Badan Tenaga Nuklir Nasional,yes
2,Badan Tenaga Nuklir Nasional (BATAN),BATAN,yes
3,Badan Tenaga Nuklir Nasional (BATAN),Badan Pengawas Tenaga Nuklir,no
4,Badan Tenaga Nuklir Nasional (BATAN),Badan Standardisasi Nasional (BSN),no
1,Dewan Ketahanan Nasional (Wantannas),Dewan Ketahanan Nasional,yes
2,Dewan Ketahanan Nasional (Wantannas),Wantannas,yes
3,Dewan Ketahanan Nasional (Wantannas),Lembaga Ketahanan Nasional (Lemhannas),no
4,Dewan Ketahanan Nasional (Wantannas),Dewan Nasional Perubahan Iklim,no
1,Kejaksaan Republik Indonesia,Kejaksaan Negeri Kota Kediri,yes
2,Kejaksaan Republik Indonesia,Kejaksaaan Tinggi Provinsi Jawa Tengah,yes
3,Kejaksaan Republik Indonesia,Komisi Kejaksaan Republik Indonesia,no
4,Kejaksaan Republik Indonesia,Kepolisian Negara Republik Indonesia Resor Kota Pontianak,no
1,Kepolisian Negara Republik Indonesia,Kepolisian Negara Republik Indonesia Resor Kota Pontianak,yes
2,Kepolisian Negara Republik Indonesia,Kepolisian Daerah Provinsi DI Yogyakarta,yes
3,Kepolisian Negara Republik Indonesia,Perum Percetakan Negara Republik Indonesia (PNRI),no
4,Kepolisian Negara Republik Indonesia,Ombudsman Republik Indonesia,no
1,Komisi Nasional Hak Asasi Manusia (Komnas HAM),Komisi Nasional HAM,yes
2,Komisi Nasional Hak Asasi Manusia (Komnas HAM),Komnas HAM,yes
3,Komisi Nasional Hak Asasi Manusia (Komnas HAM),Kementerian Hukum dan Hak Asasi Manusia,no
4,Komisi Nasional Hak Asasi Manusia (Komnas HAM),Direktorat Fasilitasi dan Informasi HAM,no
1,Komisi Pemberantasan Korupsi (KPK),Komisi Pemberantasan Korupsi,yes
2,Komisi Pemberantasan Korupsi (KPK),KPK,yes
3,Komisi Pemberantasan Korupsi (KPK),KPKNL,no
4,Komisi Pemberantasan Korupsi (KPK),Komisi Pemilihan Umum,no
1,Komisi Pemilihan Umum (KPU),KPU Kabupaten Memberamo Raya,yes
2,Komisi Pemilihan Umum (KPU),Komisi Pemilihan Umum Kabupaten Fakfak,yes
3,Komisi Pemilihan Umum (KPU),KPU BC Tipe C Soekarno Hatta,no
4,Komisi Pemilihan Umum (KPU),KPU BC Tipe B Batam,no
1,Komisi Pengawas Persaingan Usaha (KPPU),Komisi Pengawas Persaingan Usaha RI,yes
2,Komisi Pengawas Persaingan Usaha (KPPU),KPPU RI,yes
3,Komisi Pengawas Persaingan Usaha (KPPU),Pelaku Usaha di Surabaya,no
4,Komisi Pengawas Persaingan Usaha (KPPU),Komisi Pengawas Advokat,no
1,Lembaga Administrasi Negara (LAN),Lembaga Administrasi Negara,yes
2,Lembaga Administrasi Negara (LAN),LAN RI,yes
3,Lembaga Administrasi Negara (LAN),Jurusan Administrasi Negara,no
4,Lembaga Administrasi Negara (LAN),Sekolah Tinggi Ilmu Administrasi Lembaga Administrasi Negara,no
1,Lembaga Ilmu Pengetahuan Indonesia (LIPI),Lembaga Ilmu Pengetahuan Indonesia,yes
2,Lembaga Ilmu Pengetahuan Indonesia (LIPI),Perwakilan Lembaga Ilmu Pengetahuan Indonesia,yes
3,Lembaga Ilmu Pengetahuan Indonesia (LIPI),Lembaga Pembiayaan Ekspor Indonesia,no
4,Lembaga Ilmu Pengetahuan Indonesia (LIPI),Akademi Ilmu Pengetahuan Indonesia,no
1,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP),Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah,yes
2,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP),LKPP RI,yes
3,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP),PT Jasa Raharja (Persero),no
4,Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah (LKPP),Lembaga Sertifikasi Profesi Pengadaan Indonesia,no
1,Lembaga Ketahanan Nasional (Lemhanas),Lembaga Ketahanan Nasional,yes
2,Lembaga Ketahanan Nasional (Lemhanas),Lemhannas RI,yes
3,Lembaga Ketahanan Nasional (Lemhanas),Dewan Ketahanan Nasional (Wantannas),no
4,Lembaga Ketahanan Nasional (Lemhanas),Lembaga Penerbangan Dan Antariksa Nasional (Lapan),no
1,Lembaga Penerbangan Dan Antariksa Nasional (Lapan),Lembaga Penerbangan dan Antariksa Nasional,yes
2,Lembaga Penerbangan Dan Antariksa Nasional (Lapan),Lapan,yes
3,Lembaga Penerbangan Dan Antariksa Nasional (Lapan),Perum Lembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia (LPPNPI),no
4,Lembaga Penerbangan Dan Antariksa Nasional (Lapan),Lembaga Ketahanan Nasional (Lemhanas),no
1,Lembaga Penyiaran Publik TVRI,LPP TVRI,yes
2,Lembaga Penyiaran Publik TVRI,Lembaga Penyiaran Publik,yes
3,Lembaga Penyiaran Publik TVRI,Komisi Penyiaran Indonesia,no
4,Lembaga Penyiaran Publik TVRI,Penyiaran Multimedia Vokasi,no
1,Ombudsman Republik Indonesia (ORI),Ombudsman Republik Indonesia,yes
2,Ombudsman Republik Indonesia (ORI),Ombudsman RI,yes
3,Ombudsman Republik Indonesia (ORI),Perpustakaan Nasional Republik Indonesia,no
4,Ombudsman Republik Indonesia (ORI),Ombudsman Malaysia,no
1,Perpustakaan Nasional Republik Indonesia (Perpusnas),Perpustakaan Nasional RI,yes
2,Perpustakaan Nasional Republik Indonesia (Perpusnas),Perpustakaan Nasional Republik Indonesia,yes
3,Perpustakaan Nasional Republik Indonesia (Perpusnas),Dinas Perpustakaan,no
4,Perpustakaan Nasional Republik Indonesia (Perpusnas),Perpustakaan Jakarta Cikini,no
1,Pusat Pelaporan Dan Analisis Transaksi Keuangan (PPATK),Pusat Pelaporan Dan Analisis Transaksi Keuangan,yes
2,Pusat Pelaporan Dan Analisis Transaksi Keuangan (PPATK),PPATK,yes
3,Pusat Pelaporan Dan Analisis Transaksi Keuangan (PPATK),Pusat Analisis dan Harmonisasi Kebijakan,no
4,Pusat Pelaporan Dan Analisis Transaksi Keuangan (PPATK),Pusat Pelaporan dan Pembinaan Keuangan Kemhan RI,no
1,Sekretariat Kabinet,Sekretariat Kabinet Republik Indonesia,yes
2,Sekretariat Kabinet,Setkab,yes
3,Sekretariat Kabinet,Sekretariat Daerah Kabupaten Klaten,no
4,Sekretariat Kabinet,Sekretariat Direktorat Jenderal Pajak,no
1,Arsip Nasional Republik Indonesia (ANRI),ANRI,yes
2,Arsip Nasional Republik Indonesia (ANRI),Arsip Nasional RI,yes
3,Arsip Nasional Republik Indonesia (ANRI),Perpustakaan Nasional Republik Indonesia,no
4,Arsip Nasional Republik Indonesia (ANRI),Dinas Arsip dan Perpustakaan,no
1,Tentara Nasional Indonesia (TNI),TNI Angkatan Udara,yes
2,Tentara Nasional Indonesia (TNI),Inspektorat Jenderal TNI,yes
3,Tentara Nasional Indonesia (TNI),PT Pelayaran Nasional Indonesia (Persero) (Pelni),no
4,Tentara Nasional Indonesia (TNI),Komite Olahraga Nasional Indonesia,no
1,Komisi Aparatur Sipil Negara (KASN),KASN RI,yes
2,Komisi Aparatur Sipil Negara (KASN),Komisi Aparatur Sipil Negara RI,yes
3,Komisi Aparatur Sipil Negara (KASN),Kementerian Pendayagunaan Aparatur Negara dan Reformasi Birokrasi (Kem PANRB),no
4,Komisi Aparatur Sipil Negara (KASN),Deputi Bidang Kebijakan Pengembangan Kompetensi Aparatur Sipil Negara,no
1,Badan Nasional Sertifikasi Profesi (BNSP),BNSP Republik Indonesia,yes
2,Badan Nasional Sertifikasi Profesi (BNSP),Badan Nasional Sertifikasi Profesi Republik Indonesia,yes
3,Badan Nasional Sertifikasi Profesi (BNSP),Badan Nasional Penanggulangan Bencana (BNPB),no
4,Badan Nasional Sertifikasi Profesi (BNSP),Badan Nasional Penempatan dan Perlindungan Tenaga Kerja Indonesia (BNP2TKI),no
1,Badan Pengatur Hilir Minyak Dan Gas Bumi (BPH Migas),Badan Pengatur Hilir Minyak dan Gas Bumi,yes
2,Badan Pengatur Hilir Minyak Dan Gas Bumi (BPH Migas),BPH Migas,yes
3,Badan Pengatur Hilir Minyak Dan Gas Bumi (BPH Migas),SKK Migas,no
4,Badan Pengatur Hilir Minyak Dan Gas Bumi (BPH Migas),Satuan Kerja Khusus Pelaksana Kegiatan Usaha Hulu Minyak dan Gas Bumi,no
1,Dewan Pertimbangan Presiden (Wantimpres),Dewan Pertimbangan Presiden Republik Indonesia,yes
2,Dewan Pertimbangan Presiden (Wantimpres),Wantimpres RI,yes
3,Dewan Pertimbangan Presiden (Wantimpres),Dewan Perwakilan Rakyat,no
4,Dewan Pertimbangan Presiden (Wantimpres),Dewan Presiden Subang National Golf Club,no
1,Komisi Kejaksaan Republik Indonesia,KKRI,yes
2,Komisi Kejaksaan Republik Indonesia,Komisi Kejaksaan RI,yes
3,Komisi Kejaksaan Republik Indonesia,Kejaksaan Republik Indonesia,no
4,Komisi Kejaksaan Republik Indonesia,Komisi Kebenaran dan Rekonsiliasi,no
1,Komisi Penyiaran Indonesia (KPI),Komisi Penyiaran Indonesia Pusat,yes
2,Komisi Penyiaran Indonesia (KPI),Komisi Penyiaran Indonesia Daerah,yes
3,Komisi Penyiaran Indonesia (KPI),Lembaga Penyiaran Publik,no
4,Komisi Penyiaran Indonesia (KPI),Komisi Kejaksaan Republik Indonesia,no
1,Lembaga Perlindungan Saksi Dan Korban (LPSK),LPSK RI,yes
2,Lembaga Perlindungan Saksi Dan Korban (LPSK),Lembaga Perlindungan Saksi dan Korban RI,yes
3,Lembaga Perlindungan Saksi Dan Korban (LPSK),Lembaga Perlindungan Konsumen Swadaya Masyarakat,no
4,Lembaga Perlindungan Saksi Dan Korban (LPSK),Lembaga Otoritas Perlindungan Data Pribadi,no
1,Pemerintah Kabupaten Kepulauan Seribu,Pemkab Kepulauan Seribu,yes
2,Pemerintah Kabupaten Kepulauan Seribu,Pemerintah Kab. Kepulauan Seribu,yes
3,Pemerintah Kabupaten Kepulauan Seribu,Pemerintah Kabupaten Kepulauan Yapen,no
4,Pemerintah Kabupaten Kepulauan Seribu,Pemerintah Kabupaten Kepulauan Anambas,no
1,Pemerintah Kota Jakarta Barat,Pemkot Jakarta Barat,yes
2,Pemerintah Kota Jakarta Barat,Pemerintah Kota Adminsitrasi Jakarta Barat,yes
3,Pemerintah Kota Jakarta Barat,Pemerintah Kota Jakarta Timur,no
4,Pemerintah Kota Jakarta Barat,Pemerintah Kota Jakarta Pusat,no
1,Pemerintah Kota Jakarta Pusat,Pemkot Jakarta Pusat,yes
2,Pemerintah Kota Jakarta Pusat,Pemerintah Kota Administrasi Jakarta Pusat,yes
3,Pemerintah Kota Jakarta Pusat,Pemerintah Kota Jakarta Barat,no
4,Pemerintah Kota Jakarta Pusat,Pemerintah Kota Jakarta Timur,no
1,Pemerintah Kota Jakarta Selatan,Pemkot Jakarta Selatan,yes
2,Pemerintah Kota Jakarta Selatan,Pemerintah Kota Administrasi Jakarta Selatan,yes
3,Pemerintah Kota Jakarta Selatan,Pemerintah Kota Jakarta Pusat,no
4,Pemerintah Kota Jakarta Selatan,Pemerintah Kota Jakarta Barat,
1,Pemerintah Kota Jakarta Timur,Pemkot Jakarta Timur,yes
2,Pemerintah Kota Jakarta Timur,Pemerintah Kota Administrasi Jakarta Timur,yes
3,Pemerintah Kota Jakarta Timur,Pemerintah Kota Jakarta Selatan,no
4,Pemerintah Kota Jakarta Timur,Pemerintah Kota Jakarta Pusat,no
1,Pemerintah Kota Jakarta Utara,Pemkot Jakarta Utara,yes
2,Pemerintah Kota Jakarta Utara,Pemerintah Kota Administrasi Jakarta Utara,yes
3,Pemerintah Kota Jakarta Utara,Pemerintah Kota Jakarta Timur,no
4,Pemerintah Kota Jakarta Utara,Pemerintah Kota Jakarta Pusat,no
1,Pemerintah Provinsi DKI Jakarta,Pemprov DKI Jakarta,yes
2,Pemerintah Provinsi DKI Jakarta,Pemerintah Provinsi Daerah Khusus Ibukota Jakarta,yes
3,Pemerintah Provinsi DKI Jakarta,Pemerintah Provinsi Jawa Barat,no
4,Pemerintah Provinsi DKI Jakarta,Pemerintah Provinsi Bali,no
1,Perum Bulog,Perum Bulog Kanwil Kaltim & Kaltara,yes
2,Perum Bulog,Perum Bulog Kabupaten Probolinggo,yes
3,Perum Bulog,Perum Peruri,no
4,Perum Bulog,Perum DAMRI,no
1,Perum DAMRI,Perusahaan Umum DAMRI,yes
2,Perum DAMRI,Perum DAMRI UABK Bandung,yes
3,Perum DAMRI,Perum Bulog,no
4,Perum DAMRI,Perum Peruri,no
